Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,10.73170732,89.26829268,1977,1976,205,22,183,0,0,11,173,0,10,172,0,0,1,0,gRNA_CDK7_targ_29_40
HDR,19.62616822,80.37383178,1977,1976,642,126,516,0,0,1,515,0,1,515,0,0,0,0,gRNA_CDK7_targ_29_40
Reference,9.86547085,90.13452915,1977,1976,223,22,201,0,0,12,191,0,10,189,0,0,2,0,gRNA_CDK7_targ_29_41
HDR,0.0,100.0,1977,1976,395,0,395,0,0,0,395,0,0,395,0,0,0,0,gRNA_CDK7_targ_29_41
Reference,34.375,65.625,1977,1976,64,22,42,0,0,11,32,0,10,31,0,0,1,0,gRNA_CDK7_targ_29_42
HDR,40.2238806,59.7761194,1977,1976,1340,539,801,0,0,0,801,0,0,801,0,0,0,0,gRNA_CDK7_targ_29_42
Reference,4.65116279,95.34883721,1977,1976,473,22,451,0,0,11,441,0,10,440,0,0,1,0,gRNA_CDK7_targ_29_43
HDR,0.74626866,99.25373134,1977,1976,402,3,399,0,0,0,399,0,0,399,0,0,0,0,gRNA_CDK7_targ_29_43
Reference,2.1194605,97.8805395,1977,1976,1038,22,1016,0,0,12,1006,0,10,1004,0,0,2,0,gRNA_CDK7_targ_29_44
HDR,0.10706638,99.89293362,1977,1976,934,1,933,0,0,0,933,0,0,933,0,0,0,0,gRNA_CDK7_targ_29_44
Reference,10.52631579,89.47368421,1977,1976,209,22,187,0,0,11,177,0,10,176,0,0,1,0,gRNA_CDK7_targ_29_45
HDR,11.99773628,88.00226372,1977,1976,1767,212,1555,0,0,1,1555,0,0,1554,0,0,1,0,gRNA_CDK7_targ_29_45
Reference,1.91972077,98.08027923,1977,1976,1146,22,1124,0,0,11,1114,0,10,1113,0,0,1,0,gRNA_CDK7_targ_29_46
HDR,0.12062726,99.87937274,1977,1976,829,1,828,0,0,1,828,0,0,827,0,0,1,0,gRNA_CDK7_targ_29_46
Reference,3.50877193,96.49122807,1977,1976,627,22,605,0,0,12,595,0,10,593,0,0,2,0,gRNA_CDK7_targ_29_47
HDR,11.08630952,88.91369048,1977,1976,1344,149,1195,0,0,0,1195,0,0,1195,0,0,0,0,gRNA_CDK7_targ_29_47
Reference,10.67961165,89.32038835,1977,1976,206,22,184,0,0,11,174,0,10,173,0,0,1,0,gRNA_CDK7_targ_29_48
HDR,23.66071429,76.33928571,1977,1976,672,159,513,0,0,0,513,0,0,513,0,0,0,0,gRNA_CDK7_targ_29_48
Reference,0.25608195,99.74391805,877,877,781,2,779,0,0,0,779,0,0,779,0,0,0,0,gRNA_CDK7_targ_30_49
HDR,0.0,100.0,877,877,5,0,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_CDK7_targ_30_49
Reference,15.38461538,84.61538462,877,877,13,2,11,0,0,0,11,0,0,11,0,0,0,0,gRNA_CDK7_targ_30_50
HDR,43.49206349,56.50793651,877,877,630,274,356,0,0,0,356,0,0,356,0,0,0,0,gRNA_CDK7_targ_30_50
Reference,0.8097166,99.1902834,877,877,247,2,245,0,0,0,245,0,0,245,0,0,0,0,gRNA_CDK7_targ_30_51
HDR,1.04166667,98.95833333,877,877,96,1,95,0,0,0,95,0,0,95,0,0,0,0,gRNA_CDK7_targ_30_51
Reference,10.72961373,89.27038627,1443,1443,233,25,208,0,0,0,208,0,0,208,0,0,0,0,gRNA_CDK7_targ_31_52
HDR,21.20285423,78.79714577,1443,1443,981,208,773,0,0,1,772,0,1,772,0,0,0,0,gRNA_CDK7_targ_31_52
Reference,75.71580064,24.28419936,1273,1273,943,714,229,0,0,0,229,0,0,229,0,0,0,0,gRNA_CDK7_targ_33_53
HDR,22.74143302,77.25856698,1273,1273,321,73,248,0,0,1,248,0,0,247,0,0,1,0,gRNA_CDK7_targ_33_53
Reference,56.13207547,43.86792453,1273,1273,1272,714,558,0,0,1,558,0,0,557,0,0,1,0,gRNA_CDK7_targ_33_54
HDR,,,1273,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_33_54
Reference,75.07886435,24.92113565,1273,1273,951,714,237,0,0,0,237,0,0,237,0,0,0,0,gRNA_CDK7_targ_33_55
HDR,,,1273,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_33_55
Reference,41.45267792,58.54732208,1364,1364,1363,565,798,0,11,0,798,0,0,787,0,11,0,0,gRNA_CDK7_targ_34_56
HDR,,,1364,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_34_56
Reference,45.3815261,54.6184739,1364,1364,1245,565,680,0,11,0,680,0,0,669,0,11,0,0,gRNA_CDK7_targ_34_57
HDR,64.1025641,35.8974359,1364,1364,117,75,42,0,0,0,42,0,0,42,0,0,0,0,gRNA_CDK7_targ_34_57
Reference,45.30874098,54.69125902,1364,1364,1247,565,682,0,11,0,682,0,0,671,0,11,0,0,gRNA_CDK7_targ_34_58
HDR,,,1364,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_34_58
Reference,31.14754098,68.85245902,793,793,61,19,42,0,29,0,14,28,0,13,0,1,0,0,gRNA_CDK7_targ_36_59
HDR,26.43835616,73.56164384,793,793,730,193,537,0,0,0,537,0,0,537,0,0,0,0,gRNA_CDK7_targ_36_59
Reference,0.0,100.0,287,287,196,0,196,0,0,0,196,0,0,196,0,0,0,0,gRNA_CDK7_targ_37_60
HDR,66.66666667,33.33333333,287,287,90,60,30,0,0,0,30,0,0,30,0,0,0,0,gRNA_CDK7_targ_37_60
Reference,0.0,100.0,287,287,189,0,189,0,0,0,189,0,0,189,0,0,0,0,gRNA_CDK7_targ_37_61
HDR,0.0,100.0,287,287,98,0,98,0,0,0,98,0,0,98,0,0,0,0,gRNA_CDK7_targ_37_61
Reference,0.0,100.0,287,287,79,0,79,0,0,0,79,0,0,79,0,0,0,0,gRNA_CDK7_targ_37_62
HDR,42.30769231,57.69230769,287,287,208,88,120,0,0,0,120,0,0,120,0,0,0,0,gRNA_CDK7_targ_37_62
Reference,0.0,100.0,287,287,109,0,109,0,0,0,109,0,0,109,0,0,0,0,gRNA_CDK7_targ_37_63
HDR,0.0,100.0,287,287,10,0,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_CDK7_targ_37_63
Reference,,,287,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_37_64
HDR,8.33333333,91.66666667,287,287,12,1,11,0,0,0,11,0,0,11,0,0,0,0,gRNA_CDK7_targ_37_64
Reference,0.0,100.0,287,287,79,0,79,0,0,0,79,0,0,79,0,0,0,0,gRNA_CDK7_targ_37_65
HDR,74.48979592,25.51020408,287,287,98,73,25,0,0,0,25,0,0,25,0,0,0,0,gRNA_CDK7_targ_37_65
Reference,0.0,100.0,287,287,187,0,187,0,0,0,187,0,0,187,0,0,0,0,gRNA_CDK7_targ_37_66
HDR,7.07070707,92.92929293,287,287,99,7,92,0,0,0,92,0,0,92,0,0,0,0,gRNA_CDK7_targ_37_66
Reference,89.74358974,10.25641026,1566,1564,39,35,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_CDK7_targ_39_67
HDR,10.24930748,89.75069252,1566,1564,1083,111,972,0,0,0,972,0,0,972,0,0,0,0,gRNA_CDK7_targ_39_67
Reference,59.21787709,40.78212291,484,484,179,106,73,0,0,0,73,0,0,73,0,0,0,0,gRNA_CDK7_targ_40_68
HDR,58.06451613,41.93548387,484,484,93,54,39,0,0,0,39,0,0,39,0,0,0,0,gRNA_CDK7_targ_40_68
Reference,54.8625359,45.1374641,2969,2969,2437,1337,1100,0,0,1,1099,0,1,1099,0,0,0,0,gRNA_CDK7_targ_41_69
HDR,67.83505155,32.16494845,2969,2969,485,329,156,0,0,0,156,0,0,156,0,0,0,0,gRNA_CDK7_targ_41_69
Reference,15.72104019,84.27895981,1062,1062,846,133,713,0,0,3,713,0,0,710,0,0,3,0,gRNA_CDK7_targ_42_70
HDR,59.81308411,40.18691589,1062,1062,214,128,86,0,0,0,86,0,0,86,0,0,0,0,gRNA_CDK7_targ_42_70
Reference,82.10526316,17.89473684,718,718,95,78,17,0,0,0,17,0,0,17,0,0,0,0,gRNA_CDK7_targ_43_71
HDR,82.31511254,17.68488746,718,718,622,512,110,0,0,0,110,0,0,110,0,0,0,0,gRNA_CDK7_targ_43_71
Reference,0.0,100.0,922,922,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_44_72
HDR,58.54189336,41.45810664,922,922,919,538,381,0,0,0,381,0,0,381,0,0,0,0,gRNA_CDK7_targ_44_72
Reference,0.0,100.0,579,579,57,0,57,0,0,0,57,0,0,57,0,0,0,0,gRNA_CDK7_targ_54_73
HDR,66.58653846,33.41346154,579,579,416,277,139,0,0,0,139,0,0,139,0,0,0,0,gRNA_CDK7_targ_54_73
Reference,38.68613139,61.31386861,1680,1680,274,106,168,0,1,126,164,0,4,41,0,1,122,0,gRNA_CDK7_targ_55_74
HDR,8.01498127,91.98501873,1680,1680,1335,107,1228,0,0,0,1228,0,0,1228,0,0,0,0,gRNA_CDK7_targ_55_74
