gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_44,3536.0,1056.0,3157.0,5619.0,647.0,451.0,71.0,1096.0,307.0,815.0,2967.0,1563.0,8684.0
gRNA_CDK7_targ_45,723.0,1226.0,860.0,2740.0,2186.0,283.0,78.0,139.0,802.0,997.0,2634.0,1307.0,8787.0
gRNA_CDK7_targ_46,1794.0,1733.0,1907.0,1881.0,1404.0,1154.0,140.0,818.0,1727.0,2526.0,1344.0,1170.0,10794.0
gRNA_CDK7_targ_47,2.0,34.0,5.0,18.0,62.0,19.0,10.0,18.0,147.0,23.0,101.0,959.0,6419.0
gRNA_CDK7_targ_48,2.0,3.0,122.0,4.0,246.0,260.0,13.0,29.0,796.0,37.0,33.0,16.0,3032.0
gRNA_CDK7_targ_49,147.0,10.0,10387.0,272.0,27.0,555.0,33.0,25.0,1148.0,733.0,167.0,4263.0,2729.0
gRNA_CDK7_targ_50,861.0,848.0,4174.0,1502.0,290.0,114.0,37.0,336.0,854.0,852.0,512.0,4356.0,7086.0
gRNA_CDK7_targ_51,477.0,412.0,4805.0,1229.0,577.0,201.0,537.0,161.0,2162.0,380.0,155.0,3555.0,11509.0
gRNA_CDK7_targ_52,349.0,256.0,870.0,594.0,1391.0,800.0,68.0,571.0,2717.0,106.0,413.0,7458.0,7885.0
gRNA_CDK7_targ_53,189.0,149.0,61.0,20.0,506.0,3.0,253.0,33.0,2446.0,32.0,15.0,491.0,1887.0
gRNA_CDK7_targ_54,2182.0,1788.0,447.0,3589.0,2481.0,743.0,314.0,1859.0,9270.0,4647.0,3523.0,5187.0,3696.0
gRNA_CDK7_targ_55,1760.0,1291.0,6098.0,3822.0,3271.0,1093.0,370.0,1076.0,42.0,933.0,1369.0,2469.0,9090.0
gRNA_CDK7_targ_56,704.0,1266.0,3028.0,1390.0,559.0,516.0,1299.0,383.0,3321.0,692.0,1480.0,2421.0,9421.0
gRNA_CDK7_targ_57,2811.0,2224.0,1091.0,4671.0,2739.0,878.0,342.0,1307.0,1220.0,1465.0,273.0,6575.0,8470.0
