gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,PLASMID_LIBRARY
gRNA_CDK4_targ_7840,1217.0,2902.0,737.0,1312.0,783.0,540.0,296.0,587.0,3663.0,706.0,1375.0,1111.0,787.0,812.0,2034.0,499.0,720.0,15.0,210.0,978.0,1529.0,119.0,8.0,957.0,3773.0
gRNA_CDK4_targ_7841,1241.0,1312.0,1441.0,1507.0,303.0,4851.0,1374.0,1533.0,4489.0,2757.0,4551.0,3441.0,2982.0,4106.0,2804.0,1514.0,2799.0,66.0,517.0,4570.0,4074.0,323.0,41.0,2139.0,4726.0
gRNA_CDK4_targ_7842,2229.0,2498.0,2795.0,2439.0,631.0,3285.0,3119.0,2306.0,20085.0,7774.0,12869.0,5072.0,4909.0,5880.0,5347.0,7992.0,7616.0,161.0,3435.0,8309.0,4051.0,427.0,94.0,3992.0,7713.0
gRNA_CDK4_targ_7843,1605.0,859.0,324.0,793.0,272.0,41.0,560.0,751.0,5570.0,1095.0,1944.0,1987.0,2517.0,2167.0,1253.0,1173.0,761.0,31.0,494.0,1226.0,287.0,73.0,7.0,1400.0,2144.0
gRNA_CDK4_targ_7844,1257.0,1768.0,1479.0,2294.0,716.0,3005.0,1037.0,1075.0,6868.0,1626.0,2368.0,1866.0,1426.0,2555.0,3003.0,1523.0,3615.0,70.0,512.0,2784.0,6012.0,563.0,60.0,902.0,6494.0
gRNA_CDK4_targ_7845,663.0,2215.0,1032.0,1282.0,506.0,1493.0,908.0,759.0,6957.0,1708.0,1978.0,3365.0,3725.0,2929.0,3486.0,2300.0,3022.0,56.0,1098.0,2486.0,2103.0,213.0,51.0,383.0,4295.0
gRNA_CDK4_targ_7846,1986.0,3476.0,1149.0,2767.0,562.0,3121.0,4113.0,5861.0,17492.0,7807.0,15297.0,13643.0,11477.0,6392.0,4996.0,13401.0,13767.0,249.0,6837.0,5965.0,5432.0,631.0,127.0,1537.0,3980.0
gRNA_CDK4_targ_7847,1111.0,1250.0,1098.0,394.0,277.0,571.0,2136.0,2764.0,13238.0,6035.0,5268.0,5769.0,2487.0,4168.0,1793.0,3370.0,4847.0,76.0,1172.0,1444.0,336.0,54.0,41.0,4128.0,3520.0
gRNA_CDK4_targ_7848,1154.0,841.0,520.0,439.0,457.0,1788.0,411.0,953.0,10318.0,3060.0,3186.0,3204.0,3075.0,2718.0,2756.0,2143.0,3345.0,47.0,360.0,2200.0,180.0,68.0,51.0,365.0,3427.0
gRNA_CDK4_targ_7849,2008.0,3850.0,1546.0,1642.0,731.0,3209.0,1988.0,4582.0,11871.0,5500.0,16304.0,10201.0,10371.0,13213.0,5822.0,5580.0,10902.0,206.0,3099.0,12119.0,9507.0,1046.0,216.0,2324.0,6854.0
gRNA_CDK4_targ_7850,695.0,742.0,514.0,245.0,169.0,138.0,113.0,57.0,1356.0,223.0,323.0,172.0,491.0,970.0,713.0,242.0,1027.0,9.0,29.0,708.0,1251.0,143.0,11.0,105.0,4659.0
gRNA_CDK4_targ_7851,192.0,194.0,454.0,403.0,93.0,76.0,405.0,121.0,301.0,217.0,180.0,222.0,233.0,686.0,568.0,185.0,358.0,6.0,46.0,72.0,333.0,46.0,2.0,54.0,3429.0
