gRNA_id,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,PLASMID_LIBRARY,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3
gRNA_CDK6_targ_8337,972.0,1484.0,1385.0,771.0,1191.0,254.0,646.0,248.0,1333.0,357.0,1386.0,2192.0,3426.0,962.0,1066.0,5100.0,1497.0,1130.0,1723.0,3153.0,858.0,2365.0,788.0,1131.0,1610.0
gRNA_CDK6_targ_8338,3867.0,5502.0,2825.0,2046.0,2753.0,1763.0,1915.0,389.0,3458.0,1165.0,3012.0,3984.0,7356.0,4043.0,4483.0,5166.0,4213.0,3293.0,2277.0,5803.0,4692.0,5509.0,3437.0,2887.0,2422.0
gRNA_CDK6_targ_8339,609.0,1009.0,659.0,188.0,522.0,229.0,936.0,262.0,599.0,381.0,1655.0,2770.0,2612.0,1985.0,1714.0,4425.0,2395.0,969.0,1463.0,2838.0,899.0,1888.0,857.0,620.0,1380.0
gRNA_CDK6_targ_8340,404.0,1661.0,1433.0,496.0,553.0,149.0,441.0,301.0,468.0,237.0,1607.0,1572.0,2307.0,1523.0,1389.0,3015.0,1305.0,548.0,747.0,1815.0,711.0,2643.0,573.0,846.0,896.0
gRNA_CDK6_targ_8341,1332.0,2786.0,1578.0,1489.0,893.0,652.0,1335.0,881.0,2524.0,609.0,1660.0,199.0,4190.0,2194.0,2628.0,6395.0,2459.0,2111.0,1640.0,4028.0,1520.0,3172.0,1045.0,2086.0,1845.0
gRNA_CDK6_targ_8342,431.0,1095.0,1058.0,588.0,342.0,121.0,504.0,44.0,318.0,256.0,1713.0,2470.0,3271.0,629.0,1029.0,4542.0,1177.0,1257.0,839.0,2873.0,808.0,2134.0,520.0,662.0,1210.0
gRNA_CDK6_targ_8343,1716.0,4157.0,2590.0,2432.0,2198.0,1079.0,1710.0,1246.0,3035.0,1159.0,3361.0,4380.0,6196.0,1921.0,3366.0,6010.0,4414.0,3235.0,3292.0,4425.0,3655.0,5520.0,1460.0,2657.0,2051.0
gRNA_CDK6_targ_8344,1979.0,2749.0,1456.0,1391.0,2792.0,965.0,1701.0,1021.0,3254.0,421.0,2586.0,5192.0,3710.0,1396.0,3149.0,4717.0,2445.0,2243.0,1484.0,2817.0,3427.0,2522.0,2504.0,1776.0,1013.0
gRNA_CDK6_targ_8345,2491.0,2977.0,3420.0,3698.0,3567.0,2707.0,4498.0,2146.0,4151.0,3431.0,3003.0,5931.0,5406.0,3117.0,6205.0,7116.0,4119.0,4310.0,2178.0,4441.0,4215.0,6006.0,3005.0,4440.0,2053.0
gRNA_CDK6_targ_8346,2314.0,2746.0,3362.0,2662.0,3186.0,2062.0,3465.0,3149.0,2393.0,393.0,2943.0,4900.0,4952.0,3206.0,6306.0,5562.0,3126.0,3600.0,2484.0,5636.0,3938.0,4357.0,2390.0,3679.0,2233.0
