gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK9_targ_1262,17058.0,12621.0,9842.0,17017.0,9511.0,9537.0,3464.0,5123.0,3091.0,2924.0,12019.0,2463.0,9274.0,8400.0,1938.0,3438.0,2291.0,16941.0,2278.0,22976.0,5800.0,10565.0,509.0,11050.0,8309.0,9349.0,439.0,2956.0,6739.0,10199.0,12122.0
gRNA_CDK9_targ_1263,30439.0,22100.0,14580.0,43879.0,17994.0,45002.0,10324.0,11922.0,5231.0,6015.0,8197.0,1739.0,8397.0,7540.0,4789.0,27899.0,6496.0,57384.0,8030.0,75043.0,10218.0,17748.0,2015.0,46503.0,25614.0,15459.0,680.0,22107.0,12186.0,19574.0,16231.0
gRNA_CDK9_targ_1264,23355.0,16350.0,12280.0,36547.0,9316.0,19547.0,3763.0,4342.0,2556.0,4595.0,13904.0,1920.0,4626.0,4474.0,2720.0,3925.0,2921.0,14891.0,2414.0,7109.0,6153.0,10794.0,470.0,28382.0,11439.0,7525.0,493.0,9121.0,5819.0,9940.0,14016.0
gRNA_CDK9_targ_1265,26415.0,27819.0,23835.0,54477.0,25943.0,53423.0,25924.0,41592.0,16775.0,22683.0,48231.0,8709.0,31160.0,28320.0,6560.0,92030.0,19640.0,56883.0,9446.0,31745.0,17535.0,31343.0,3353.0,41187.0,22803.0,20672.0,2247.0,47406.0,24242.0,38313.0,22963.0
gRNA_CDK9_targ_1266,30322.0,22057.0,19053.0,33358.0,14880.0,35480.0,15820.0,17910.0,9782.0,9290.0,12135.0,3236.0,16501.0,15859.0,3726.0,24697.0,13278.0,22038.0,3996.0,21927.0,12112.0,22585.0,1167.0,16763.0,29759.0,16179.0,739.0,6389.0,11482.0,15494.0,23439.0
gRNA_CDK9_targ_1267,9356.0,9394.0,8026.0,8397.0,7396.0,18288.0,3109.0,4290.0,1600.0,2828.0,5329.0,1222.0,5040.0,4774.0,1525.0,11946.0,4157.0,8093.0,1502.0,1236.0,5251.0,10137.0,308.0,14209.0,1659.0,9058.0,269.0,1449.0,6396.0,9419.0,6963.0
gRNA_CDK9_targ_1268,23371.0,16045.0,13475.0,69617.0,18771.0,27826.0,15347.0,30295.0,7213.0,10747.0,8063.0,2960.0,19156.0,17196.0,3674.0,19084.0,16168.0,23965.0,3795.0,36007.0,10559.0,20506.0,1599.0,14672.0,19919.0,12901.0,553.0,18903.0,17388.0,25149.0,11769.0
gRNA_CDK9_targ_1269,22936.0,16409.0,15220.0,17431.0,17782.0,32300.0,18544.0,25284.0,6222.0,9378.0,21008.0,4403.0,17679.0,18037.0,3385.0,64866.0,5770.0,33548.0,4991.0,6516.0,10745.0,21709.0,1471.0,16260.0,7787.0,13167.0,828.0,11648.0,12318.0,17682.0,10411.0
gRNA_CDK9_targ_1270,15387.0,14009.0,10155.0,15635.0,9052.0,16911.0,12116.0,14146.0,5051.0,17355.0,11726.0,2080.0,7622.0,6703.0,2522.0,10464.0,5038.0,4886.0,1472.0,2508.0,7681.0,13791.0,1412.0,15310.0,5626.0,8281.0,447.0,13313.0,11229.0,14651.0,12143.0
gRNA_CDK9_targ_1271,59471.0,49896.0,36755.0,188869.0,37206.0,100985.0,20574.0,27613.0,8959.0,9496.0,72227.0,11559.0,35192.0,33715.0,10011.0,88193.0,15318.0,84050.0,17486.0,49960.0,17485.0,33900.0,4020.0,84339.0,66986.0,31950.0,8022.0,133509.0,25932.0,48918.0,27187.0
gRNA_CDK9_targ_1272,20203.0,21767.0,18655.0,32191.0,11357.0,25592.0,3964.0,12113.0,3125.0,345.0,6137.0,1262.0,6066.0,5709.0,3113.0,561.0,1553.0,20058.0,3097.0,22901.0,5617.0,9311.0,2401.0,32106.0,10793.0,9740.0,435.0,16271.0,9429.0,17369.0,13910.0
gRNA_CDK9_targ_1273,37772.0,30621.0,23940.0,85068.0,28393.0,71837.0,13819.0,24880.0,11738.0,16775.0,20534.0,4200.0,19406.0,16825.0,6217.0,33946.0,8480.0,61295.0,9534.0,48765.0,17700.0,30868.0,2000.0,53612.0,18195.0,26284.0,1202.0,44151.0,24203.0,37944.0,23852.0
gRNA_CDK9_targ_1274,32575.0,33105.0,24830.0,54824.0,25837.0,45769.0,28022.0,36879.0,15536.0,16432.0,28889.0,5944.0,27269.0,25319.0,6751.0,36866.0,22813.0,52700.0,8331.0,8851.0,19334.0,34998.0,1504.0,32242.0,40113.0,30123.0,2166.0,49368.0,27100.0,42126.0,17482.0
gRNA_CDK9_targ_1275,27749.0,22847.0,16586.0,39115.0,21849.0,39037.0,9297.0,19216.0,4584.0,9173.0,18432.0,3412.0,11623.0,10720.0,4304.0,43739.0,5749.0,20257.0,3917.0,10039.0,12477.0,22313.0,3109.0,33350.0,25794.0,21067.0,1714.0,9858.0,15977.0,25722.0,15010.0
gRNA_CDK9_targ_1276,40715.0,25258.0,20476.0,44807.0,19381.0,65073.0,19582.0,27157.0,8535.0,8132.0,35743.0,6154.0,23672.0,22183.0,5725.0,208851.0,11941.0,58466.0,9331.0,12451.0,14368.0,26077.0,4011.0,58143.0,32652.0,20610.0,1497.0,31899.0,13644.0,22275.0,15527.0
