gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK13_targ_4650,8431.0,3644.0,6761.0,5580.0,11626.0,2519.0,1148.0,1179.0,4888.0,4316.0,1891.0,1424.0,4955.0,942.0,8447.0,8127.0
gRNA_CDK13_targ_4651,4817.0,2745.0,2224.0,3676.0,5862.0,5929.0,6763.0,22007.0,5111.0,10260.0,2583.0,2064.0,760.0,1221.0,9576.0,6713.0
gRNA_CDK13_targ_4652,5358.0,3640.0,2884.0,12193.0,9225.0,834.0,1404.0,3026.0,3652.0,1676.0,1236.0,1993.0,878.0,792.0,6180.0,4967.0
gRNA_CDK13_targ_4653,2019.0,290.0,2054.0,228.0,3567.0,318.0,287.0,47.0,189.0,2505.0,70.0,69.0,2712.0,37.0,1367.0,4885.0
gRNA_CDK13_targ_4654,1009.0,439.0,795.0,836.0,2163.0,445.0,852.0,155.0,1202.0,499.0,487.0,3984.0,325.0,293.0,2898.0,5780.0
gRNA_CDK13_targ_4655,1289.0,435.0,878.0,337.0,274.0,192.0,1731.0,241.0,669.0,2699.0,636.0,885.0,221.0,72.0,1365.0,2798.0
gRNA_CDK13_targ_4656,974.0,1113.0,758.0,383.0,1178.0,5341.0,313.0,1139.0,595.0,546.0,162.0,534.0,1256.0,4121.0,5438.0,5742.0
gRNA_CDK13_targ_4657,625.0,473.0,4540.0,1425.0,1275.0,795.0,315.0,835.0,429.0,1003.0,793.0,1291.0,1595.0,1230.0,610.0,4856.0
gRNA_CDK13_targ_4658,3914.0,2085.0,1605.0,4399.0,2000.0,5016.0,1584.0,2682.0,8008.0,1949.0,954.0,3164.0,3454.0,833.0,6535.0,8207.0
gRNA_CDK13_targ_4659,1861.0,2461.0,8088.0,1670.0,1548.0,1517.0,927.0,1049.0,1450.0,4017.0,1340.0,2153.0,2776.0,613.0,1982.0,4813.0
gRNA_CDK13_targ_4660,2845.0,1323.0,5089.0,4223.0,3226.0,5261.0,4771.0,9432.0,12208.0,4490.0,4922.0,2564.0,2189.0,1450.0,1744.0,6968.0
gRNA_CDK13_targ_4661,7622.0,5638.0,11264.0,6541.0,10224.0,3752.0,3762.0,13166.0,6586.0,6318.0,1519.0,2638.0,3764.0,3110.0,12026.0,10147.0
gRNA_CDK13_targ_4662,9144.0,3672.0,7535.0,9776.0,11269.0,5527.0,6105.0,13952.0,20221.0,6180.0,6986.0,8016.0,7581.0,2310.0,9183.0,9963.0
gRNA_CDK13_targ_4663,9384.0,5229.0,13028.0,6590.0,5379.0,6078.0,5774.0,4939.0,4321.0,3227.0,2104.0,8709.0,6719.0,1585.0,5674.0,8584.0
gRNA_CDK13_targ_4664,6001.0,3948.0,3163.0,9832.0,10118.0,5376.0,4634.0,16610.0,6053.0,10177.0,3793.0,6060.0,3958.0,9483.0,7707.0,11390.0
gRNA_CDK13_targ_4665,4391.0,1408.0,6616.0,3001.0,2812.0,2813.0,3241.0,3197.0,9445.0,8784.0,1042.0,4071.0,5784.0,1000.0,5179.0,6009.0
