gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,PLASMID_LIBRARY
gRNA_CDK4_targ_7812,1044.0,1181.0,1358.0,1048.0,579.0,921.0,1360.0,779.0,7582.0,1326.0,2540.0,2297.0,1782.0,2852.0,2954.0,1359.0,1637.0,38.0,256.0,228.0,1751.0,140.0,27.0,758.0,3875.0
gRNA_CDK4_targ_7813,2486.0,1070.0,1489.0,3050.0,476.0,2495.0,913.0,664.0,14927.0,2584.0,1902.0,1364.0,3513.0,4775.0,5374.0,2626.0,3163.0,65.0,276.0,1229.0,10582.0,920.0,56.0,960.0,5267.0
gRNA_CDK4_targ_7814,2073.0,2022.0,1345.0,1653.0,567.0,4504.0,1025.0,1841.0,10083.0,4676.0,1957.0,3405.0,4575.0,2367.0,4805.0,4494.0,4205.0,63.0,464.0,1490.0,2382.0,302.0,137.0,1582.0,6241.0
gRNA_CDK4_targ_7815,1305.0,3201.0,1375.0,2158.0,1000.0,3364.0,2437.0,3599.0,22657.0,6188.0,7061.0,5489.0,6798.0,6049.0,8103.0,6704.0,10426.0,169.0,4361.0,5279.0,4678.0,481.0,124.0,3566.0,4922.0
gRNA_CDK4_targ_7816,1495.0,1624.0,764.0,1683.0,808.0,634.0,2621.0,1422.0,10035.0,2185.0,3842.0,1448.0,2965.0,4882.0,3571.0,1848.0,2819.0,45.0,1227.0,1459.0,876.0,152.0,79.0,2062.0,4600.0
gRNA_CDK4_targ_7817,916.0,1033.0,918.0,1388.0,499.0,2052.0,658.0,1126.0,5845.0,3781.0,3535.0,1959.0,3748.0,2845.0,3263.0,1547.0,1304.0,38.0,1386.0,450.0,2861.0,287.0,31.0,781.0,3715.0
gRNA_CDK4_targ_7818,925.0,1908.0,685.0,583.0,319.0,2786.0,3747.0,859.0,4427.0,1099.0,2296.0,2302.0,3256.0,2330.0,2269.0,2066.0,2956.0,55.0,442.0,307.0,1415.0,147.0,9.0,4142.0,5291.0
gRNA_CDK4_targ_7819,1809.0,3692.0,2961.0,1597.0,1165.0,4272.0,3003.0,3506.0,30368.0,15806.0,18844.0,18391.0,7394.0,12905.0,6553.0,7588.0,14368.0,236.0,714.0,6148.0,2900.0,352.0,145.0,2456.0,6051.0
gRNA_CDK4_targ_7820,1528.0,1770.0,718.0,1717.0,296.0,127.0,1110.0,1391.0,8631.0,1544.0,2606.0,2184.0,1706.0,2678.0,3712.0,398.0,1672.0,26.0,803.0,496.0,990.0,142.0,5.0,1873.0,4681.0
gRNA_CDK4_targ_7821,1441.0,977.0,775.0,2505.0,404.0,1106.0,1120.0,1011.0,12526.0,2488.0,1506.0,1092.0,1899.0,5992.0,2749.0,462.0,2280.0,24.0,573.0,963.0,878.0,112.0,21.0,558.0,5526.0
gRNA_CDK4_targ_7822,459.0,2299.0,1599.0,2235.0,379.0,726.0,1942.0,618.0,11184.0,3728.0,1043.0,2556.0,1195.0,2979.0,3624.0,622.0,779.0,33.0,607.0,2472.0,2385.0,275.0,72.0,387.0,3755.0
gRNA_CDK4_targ_7823,302.0,3355.0,423.0,1285.0,428.0,2551.0,493.0,1255.0,3697.0,729.0,1332.0,3935.0,1769.0,832.0,844.0,659.0,1640.0,28.0,1066.0,205.0,906.0,112.0,37.0,746.0,2234.0
gRNA_CDK4_targ_7824,1130.0,993.0,689.0,1869.0,699.0,1183.0,972.0,864.0,5258.0,1416.0,1503.0,5963.0,4827.0,3377.0,2852.0,2334.0,1576.0,38.0,149.0,703.0,2279.0,219.0,8.0,1916.0,3414.0
gRNA_CDK4_targ_7825,1195.0,1823.0,977.0,1862.0,561.0,6912.0,1909.0,2249.0,6441.0,2611.0,3140.0,3077.0,5537.0,2833.0,2038.0,1359.0,2745.0,45.0,1389.0,3083.0,4407.0,497.0,59.0,4231.0,3230.0
gRNA_CDK4_targ_7826,780.0,2736.0,852.0,1078.0,166.0,957.0,1253.0,732.0,6567.0,2408.0,6045.0,2206.0,2364.0,6296.0,1454.0,447.0,5145.0,75.0,79.0,1245.0,4105.0,423.0,23.0,947.0,3373.0
gRNA_CDK4_targ_7827,1835.0,1652.0,835.0,2679.0,630.0,972.0,1632.0,1222.0,6458.0,3582.0,7269.0,3775.0,3109.0,4104.0,5290.0,1288.0,5846.0,75.0,1297.0,3340.0,3225.0,250.0,35.0,1190.0,4473.0
gRNA_CDK4_targ_7828,1878.0,2500.0,1109.0,1950.0,402.0,192.0,2522.0,2812.0,21184.0,5915.0,5274.0,7986.0,7720.0,5558.0,2690.0,3151.0,5716.0,83.0,179.0,3760.0,3453.0,301.0,39.0,1127.0,3387.0
gRNA_CDK4_targ_7829,743.0,676.0,532.0,1755.0,67.0,481.0,812.0,298.0,11795.0,2178.0,2404.0,2461.0,3502.0,1523.0,1586.0,2895.0,1385.0,50.0,2044.0,754.0,9135.0,913.0,25.0,765.0,2279.0
gRNA_CDK4_targ_7830,1106.0,951.0,2190.0,979.0,424.0,2312.0,1404.0,1628.0,12646.0,2612.0,8510.0,2336.0,8719.0,3378.0,4609.0,1499.0,4203.0,71.0,2052.0,3306.0,1431.0,235.0,106.0,5230.0,3466.0
gRNA_CDK4_targ_7831,510.0,1057.0,743.0,2382.0,817.0,104.0,362.0,2323.0,13470.0,1785.0,1190.0,2902.0,4354.0,5397.0,1559.0,825.0,3041.0,47.0,1975.0,4910.0,1951.0,195.0,20.0,1821.0,2948.0
gRNA_CDK4_targ_7832,958.0,1849.0,1523.0,1060.0,1011.0,2644.0,1630.0,3027.0,15714.0,4022.0,9253.0,5682.0,3805.0,4549.0,6910.0,6923.0,5978.0,145.0,2735.0,2676.0,3288.0,473.0,130.0,2044.0,5365.0
gRNA_CDK4_targ_7833,1465.0,1642.0,906.0,2557.0,459.0,2621.0,1618.0,3671.0,16376.0,2632.0,6168.0,11107.0,4716.0,5577.0,3528.0,1570.0,2758.0,101.0,2686.0,5827.0,6092.0,653.0,178.0,3358.0,4949.0
gRNA_CDK4_targ_7834,1499.0,2114.0,1832.0,3951.0,1102.0,4194.0,1716.0,2493.0,21417.0,7483.0,10352.0,5517.0,7341.0,4754.0,5174.0,11670.0,18578.0,466.0,2559.0,5728.0,3036.0,467.0,248.0,5703.0,7544.0
gRNA_CDK4_targ_7835,2037.0,4434.0,2767.0,2313.0,875.0,9895.0,2561.0,1480.0,17849.0,5108.0,4819.0,4758.0,6504.0,7185.0,4940.0,3331.0,5216.0,133.0,1944.0,2007.0,3476.0,364.0,157.0,4041.0,7530.0
gRNA_CDK4_targ_7836,1790.0,951.0,1215.0,911.0,569.0,849.0,721.0,853.0,12854.0,5122.0,4642.0,2996.0,3255.0,5379.0,3307.0,2077.0,5609.0,94.0,729.0,4574.0,2425.0,311.0,22.0,970.0,7172.0
gRNA_CDK4_targ_7837,1456.0,1701.0,2312.0,2087.0,1387.0,740.0,2054.0,2968.0,15789.0,5979.0,10623.0,5927.0,4974.0,9025.0,7240.0,9263.0,9912.0,181.0,2794.0,9198.0,6495.0,758.0,149.0,1283.0,7155.0
gRNA_CDK4_targ_7838,522.0,1547.0,1216.0,1346.0,401.0,2482.0,400.0,675.0,10104.0,1994.0,3395.0,4132.0,3244.0,2901.0,3261.0,1299.0,5137.0,78.0,1400.0,182.0,3043.0,239.0,15.0,2493.0,4626.0
gRNA_CDK4_targ_7839,1494.0,2028.0,1461.0,2612.0,803.0,720.0,667.0,790.0,7232.0,2126.0,1314.0,3052.0,2344.0,5309.0,4076.0,441.0,1694.0,52.0,1247.0,3930.0,3003.0,263.0,60.0,1024.0,4763.0
gRNA_CDK4_targ_7840,1463.0,920.0,804.0,1867.0,747.0,4386.0,436.0,488.0,6515.0,1763.0,1432.0,2908.0,1682.0,3453.0,2971.0,1933.0,1343.0,36.0,280.0,4205.0,1533.0,99.0,12.0,673.0,3847.0
gRNA_CDK4_targ_7841,1638.0,1531.0,1221.0,2477.0,354.0,3690.0,2053.0,1172.0,4788.0,2914.0,5199.0,4462.0,4072.0,4788.0,4054.0,1584.0,2760.0,81.0,339.0,4481.0,6460.0,553.0,136.0,1841.0,4807.0
gRNA_CDK4_targ_7842,2882.0,3471.0,2622.0,3358.0,882.0,2112.0,3637.0,3072.0,22284.0,6402.0,8437.0,8305.0,5837.0,5777.0,6793.0,9085.0,5209.0,150.0,4907.0,3293.0,3355.0,321.0,100.0,3642.0,7943.0
gRNA_CDK4_targ_7843,1783.0,997.0,781.0,2288.0,392.0,1906.0,1475.0,1248.0,15539.0,5282.0,6030.0,4956.0,4607.0,5042.0,3165.0,3681.0,1111.0,30.0,244.0,835.0,397.0,65.0,6.0,646.0,2754.0
gRNA_CDK4_targ_7844,1404.0,1676.0,1484.0,2109.0,453.0,1238.0,2007.0,1578.0,6724.0,2879.0,4983.0,3076.0,4175.0,3342.0,3012.0,2742.0,4848.0,93.0,572.0,7594.0,925.0,147.0,35.0,2015.0,6539.0
gRNA_CDK4_targ_7845,1199.0,1643.0,1193.0,1426.0,575.0,2345.0,1339.0,2014.0,6728.0,6759.0,6189.0,6115.0,6307.0,3090.0,5410.0,2261.0,7880.0,111.0,3667.0,4457.0,4992.0,588.0,85.0,2349.0,4745.0
gRNA_CDK4_targ_7846,2007.0,3853.0,1176.0,1962.0,868.0,3556.0,3143.0,5787.0,24630.0,7118.0,15467.0,12910.0,11749.0,4055.0,3600.0,11541.0,12463.0,215.0,4431.0,7195.0,7808.0,676.0,248.0,1451.0,3877.0
gRNA_CDK4_targ_7847,1602.0,1421.0,886.0,448.0,307.0,2875.0,2573.0,2020.0,11827.0,11096.0,7254.0,8005.0,2997.0,3738.0,2464.0,10854.0,10288.0,132.0,757.0,6618.0,230.0,74.0,93.0,4649.0,4201.0
gRNA_CDK4_targ_7848,1421.0,980.0,1286.0,1215.0,438.0,1366.0,1389.0,1396.0,18024.0,5410.0,4835.0,7098.0,3039.0,2628.0,3069.0,4000.0,3524.0,66.0,956.0,1708.0,2144.0,203.0,52.0,507.0,3260.0
gRNA_CDK4_targ_7849,2096.0,4016.0,1695.0,5029.0,926.0,3982.0,2125.0,3733.0,8938.0,3864.0,13170.0,4496.0,8639.0,11209.0,5599.0,7071.0,9283.0,170.0,1149.0,5326.0,3512.0,570.0,110.0,2145.0,6547.0
gRNA_CDK4_targ_7850,764.0,695.0,966.0,671.0,102.0,416.0,411.0,537.0,3438.0,283.0,1039.0,328.0,365.0,542.0,1371.0,320.0,2527.0,24.0,404.0,1183.0,889.0,135.0,27.0,259.0,4893.0
