gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK9_targ_1406,7016.0,6898.0,10059.0,10336.0,10190.0,6311.0,571.0,8456.0,4551.0,10202.0,11444.0,14478.0,7020.0
gRNA_CDK9_targ_1407,1672.0,2855.0,10360.0,3696.0,708.0,1893.0,40.0,3547.0,176.0,816.0,7745.0,757.0,7955.0
gRNA_CDK9_targ_1408,19644.0,13179.0,12266.0,23341.0,13125.0,19610.0,1939.0,35297.0,15199.0,11245.0,19768.0,16048.0,17636.0
gRNA_CDK9_targ_1409,10321.0,7481.0,8493.0,6083.0,9960.0,5414.0,365.0,6774.0,6746.0,3691.0,10762.0,4526.0,8848.0
gRNA_CDK9_targ_1410,1051.0,510.0,4320.0,2729.0,1311.0,600.0,77.0,149.0,99.0,188.0,3264.0,1126.0,13723.0
gRNA_CDK9_targ_1411,3252.0,989.0,8557.0,841.0,1186.0,1080.0,90.0,348.0,135.0,2391.0,7336.0,2147.0,11174.0
gRNA_CDK9_targ_1412,11461.0,11218.0,31849.0,15516.0,6852.0,7674.0,612.0,6157.0,2207.0,6914.0,6708.0,9537.0,25518.0
gRNA_CDK9_targ_1413,16361.0,8773.0,5005.0,19701.0,9338.0,5664.0,539.0,7676.0,4398.0,9770.0,8047.0,12083.0,12831.0
gRNA_CDK9_targ_1414,50813.0,34887.0,21998.0,46123.0,22951.0,18764.0,3877.0,47019.0,21545.0,40063.0,16320.0,27597.0,26849.0
gRNA_CDK9_targ_1415,21284.0,11150.0,8952.0,18175.0,8943.0,6832.0,1363.0,3608.0,13912.0,10156.0,4766.0,3907.0,18013.0
gRNA_CDK9_targ_1416,11759.0,8220.0,11252.0,13104.0,21970.0,4499.0,3031.0,6003.0,6558.0,10114.0,19607.0,481.0,17123.0
