gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,Plasmid
gRNA_CDK8_targ_926,9567.0,16979.0,17740.0,15862.0,20692.0,11570.0,1316.0,2455.0,3701.0,10941.0,4970.0,44335.0,11321.0
gRNA_CDK8_targ_927,3520.0,6804.0,18110.0,8693.0,5125.0,2784.0,1755.0,1760.0,3356.0,1430.0,8730.0,3087.0,9793.0
gRNA_CDK8_targ_928,8467.0,14775.0,25165.0,12647.0,18244.0,6842.0,1126.0,13058.0,7465.0,8163.0,12045.0,11181.0,10510.0
gRNA_CDK8_targ_929,3888.0,4586.0,16358.0,3197.0,11862.0,2292.0,496.0,1105.0,4924.0,4578.0,5593.0,8403.0,6565.0
gRNA_CDK8_targ_930,7389.0,7990.0,19101.0,25473.0,20583.0,7333.0,1690.0,2217.0,6305.0,4405.0,25176.0,25661.0,15717.0
gRNA_CDK8_targ_931,7508.0,14051.0,26889.0,10385.0,16864.0,23315.0,910.0,1913.0,7557.0,2204.0,9416.0,24065.0,15469.0
gRNA_CDK8_targ_932,2537.0,4702.0,17131.0,2480.0,6959.0,7246.0,897.0,280.0,1651.0,1841.0,1044.0,1746.0,11293.0
gRNA_CDK8_targ_933,1693.0,8262.0,7696.0,6308.0,8649.0,2939.0,669.0,3556.0,850.0,150.0,20407.0,4088.0,8687.0
gRNA_CDK8_targ_934,1707.0,8500.0,14435.0,5080.0,9153.0,3147.0,62.0,439.0,1428.0,915.0,8790.0,1216.0,12998.0
gRNA_CDK8_targ_935,1214.0,7360.0,6360.0,3147.0,5511.0,4000.0,103.0,511.0,6855.0,317.0,11748.0,4050.0,8452.0
gRNA_CDK8_targ_936,7705.0,13973.0,28382.0,11912.0,19877.0,6011.0,2604.0,5500.0,4395.0,5089.0,23093.0,13781.0,17241.0
gRNA_CDK8_targ_937,9106.0,20418.0,24891.0,16387.0,19057.0,11625.0,4662.0,2471.0,9595.0,10006.0,17138.0,3480.0,19313.0
gRNA_CDK8_targ_938,5188.0,3658.0,13593.0,6229.0,20638.0,2159.0,3455.0,1905.0,4665.0,5243.0,6124.0,6331.0,8939.0
gRNA_CDK8_targ_939,7126.0,11256.0,13569.0,9246.0,12237.0,5387.0,1852.0,1992.0,4892.0,11557.0,10387.0,6299.0,15012.0
gRNA_CDK8_targ_940,6128.0,14471.0,38941.0,13045.0,13264.0,7783.0,1339.0,4259.0,5306.0,1179.0,18415.0,8017.0,20868.0
gRNA_CDK8_targ_941,8101.0,14233.0,21976.0,10041.0,14233.0,7874.0,1367.0,2723.0,11607.0,1956.0,33715.0,8968.0,15929.0
gRNA_CDK8_targ_942,7621.0,14151.0,26639.0,22247.0,21561.0,16621.0,2081.0,10618.0,4705.0,966.0,12402.0,1556.0,12168.0
gRNA_CDK8_targ_943,7565.0,8131.0,20528.0,7147.0,13420.0,3617.0,836.0,3060.0,3158.0,2912.0,2439.0,7814.0,16004.0
gRNA_CDK8_targ_944,4023.0,4227.0,14591.0,4072.0,13940.0,1735.0,1531.0,1202.0,4393.0,5391.0,4751.0,1787.0,15518.0
gRNA_CDK8_targ_945,7580.0,6419.0,17343.0,5170.0,19453.0,4544.0,506.0,1108.0,703.0,1022.0,8105.0,237.0,12971.0
gRNA_CDK8_targ_946,1332.0,6329.0,12373.0,4003.0,6531.0,3996.0,17119.0,2153.0,3909.0,4744.0,15612.0,2913.0,9344.0
gRNA_CDK8_targ_947,5604.0,3827.0,11516.0,7075.0,7615.0,1457.0,648.0,998.0,4061.0,147.0,4803.0,3177.0,8972.0
gRNA_CDK8_targ_948,1054.0,3461.0,8336.0,5283.0,6169.0,3413.0,620.0,1640.0,1844.0,849.0,5646.0,327.0,11853.0
gRNA_CDK8_targ_949,1790.0,1609.0,6974.0,2962.0,5383.0,2257.0,500.0,1235.0,1126.0,1678.0,12092.0,504.0,9467.0
gRNA_CDK8_targ_950,2817.0,2487.0,16849.0,3213.0,6828.0,1751.0,245.0,397.0,2185.0,390.0,16668.0,617.0,7181.0
gRNA_CDK8_targ_951,856.0,3512.0,9991.0,2397.0,1778.0,1299.0,1196.0,1410.0,785.0,2560.0,46499.0,9217.0,8426.0
gRNA_CDK8_targ_952,1269.0,5360.0,18826.0,5853.0,6432.0,1443.0,217.0,4902.0,4932.0,998.0,51396.0,5347.0,8983.0
gRNA_CDK8_targ_953,7511.0,6731.0,14316.0,13249.0,16270.0,3529.0,2888.0,2064.0,5925.0,4973.0,3647.0,1778.0,14034.0
gRNA_CDK8_targ_954,4496.0,5215.0,8579.0,8202.0,7264.0,1707.0,258.0,3880.0,1368.0,3239.0,11376.0,1228.0,9664.0
gRNA_CDK8_targ_955,3136.0,4775.0,5268.0,1257.0,10177.0,1645.0,833.0,963.0,2476.0,6299.0,5283.0,894.0,5676.0
gRNA_CDK8_targ_956,5290.0,8405.0,18455.0,16208.0,21973.0,2953.0,2802.0,2087.0,1898.0,1824.0,24257.0,24202.0,14541.0
gRNA_CDK8_targ_957,9840.0,15939.0,33668.0,12725.0,22098.0,16130.0,4963.0,3549.0,7505.0,10234.0,45912.0,18661.0,26219.0
gRNA_CDK8_targ_958,3050.0,22809.0,14340.0,9399.0,8749.0,5958.0,1081.0,4822.0,5829.0,3503.0,12154.0,14886.0,12831.0
gRNA_CDK8_targ_959,5566.0,5861.0,22453.0,4821.0,20067.0,5470.0,2629.0,4630.0,5310.0,4880.0,17411.0,9528.0,6044.0
gRNA_CDK8_targ_960,6802.0,16846.0,21656.0,17669.0,20623.0,12744.0,2048.0,4237.0,5238.0,7866.0,17223.0,13769.0,7597.0
gRNA_CDK8_targ_961,3828.0,8077.0,10057.0,5254.0,4740.0,4822.0,6223.0,4814.0,2694.0,3980.0,5383.0,7411.0,8882.0
gRNA_CDK8_targ_962,5995.0,7003.0,10482.0,4132.0,5727.0,6249.0,1996.0,3989.0,4471.0,2760.0,14233.0,3005.0,7601.0
gRNA_CDK8_targ_963,9026.0,14480.0,27634.0,11870.0,24150.0,13219.0,9356.0,8964.0,6162.0,4892.0,40564.0,23631.0,13408.0
gRNA_CDK8_targ_964,6373.0,7143.0,12219.0,8143.0,12490.0,7677.0,8152.0,1983.0,4727.0,20038.0,5377.0,8669.0,12442.0
gRNA_CDK8_targ_965,8405.0,10230.0,24022.0,9154.0,10937.0,9947.0,5819.0,2512.0,7115.0,11075.0,20399.0,11286.0,15561.0
gRNA_CDK8_targ_966,3655.0,6717.0,9230.0,4082.0,5046.0,1112.0,2554.0,5516.0,11671.0,1194.0,8057.0,1137.0,6436.0
