gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK19_targ_6860,18.5895578887179,93.44745113683541,129.70096492737463,111.15802861950908,96.18534906048916,196.3148684616855,2.3559061999087714,5.938918859109931,1.389790563773754,4.075079260291613,9.159279370465471,11.175814759412647,299.6156618317796
gRNA_CDK19_targ_6861,0.8725710845724728,17.786191512357465,1.3334919769448799,5.112609624932911,9.107784630681298,31.021040388274187,0.15706041332725143,5.482078946870706,0.17372382047171925,0.13813828000988518,0.09955738446158122,3.7657636689325225,107.44235103588599
gRNA_CDK19_targ_6862,0.03793787324228143,0.27978278783483657,0.07548067794027621,0.3023586337325915,23.537372829878333,12.044286561587269,0.27485572332269004,1.005047806926296,0.17372382047171925,0.06906914000494259,0.09955738446158122,1.457714968619041,64.7246473457724
gRNA_CDK19_targ_6863,131.03741417884004,168.50917621595298,122.12773690736692,158.6558212640471,95.54244661597048,171.4910336588792,18.061947532633912,2.466935526091818,25.36367778887101,22.861885341635997,2.4889346115395306,54.46185091090584,317.1141407180333
gRNA_CDK19_targ_6864,150.00635079998077,223.26666469219958,182.51227925958787,222.04118575380673,398.7066660090013,221.2437406472964,7.028453496394501,20.192324120973765,2.4321334866040694,3.3843878602421866,18.550859304674635,113.41832297505371,250.6706411789252
gRNA_CDK19_targ_6865,183.88487160533808,180.45989815346957,101.11894821399004,160.6898702546118,225.55160761863687,152.12914276190895,90.3882678698332,888.8277332526371,256.4163590162576,92.2763710466033,139159.91819701577,291.0570887342685,175.54834695871222
gRNA_CDK19_targ_6866,117.49359343134557,327.6256445545936,156.47144537019258,221.60139137746842,319.52251492578387,225.51526088134767,19.396961045915553,10.233214034158651,142.27980896633804,19.684704901408637,14.037591209082953,177.6387657592148,239.03316649289823
gRNA_CDK19_targ_6867,167.57158611115707,176.74278397223532,134.68268967143288,196.83547055991707,152.22501214103409,171.17592151046557,25.914968198996487,64.87126753797001,39.956478708495425,27.351379441957263,26.349521087498495,3.117890349546282,229.00183238097182
gRNA_CDK19_targ_6868,313.10126786854863,271.74902492700767,163.26470638481746,245.79008207607572,250.08905091776649,205.48813322661536,76.9596025303532,171.40633507215742,123.51763635539238,12.501514340894609,47.09064285032792,8.138908574789646,188.28475993228173
gRNA_CDK19_targ_6869,132.7446184747427,233.01909329672816,200.97988512897547,315.36005498309294,178.54829556382668,323.09498950676544,11.622470586216606,28.232706576384135,97.28533946416277,14.711726821052771,3.8163664043606134,32.15071347454219,272.45216159611374
gRNA_CDK19_targ_6870,513.2994249680677,362.4785861248761,471.5529553188856,448.2054437857852,174.08369525466918,316.6176842338188,43.348674078321395,7.035334648484073,43.25723129745809,36.951989902644286,24.723417141292668,28.95183896007262,308.2099227984582
gRNA_CDK19_targ_6871,284.64786293683756,217.47116408704937,171.4166196023673,159.23305138299114,251.94632464637598,144.98660073120024,7.617430046371695,4.11155921015303,25.711125429814448,17.267285001235646,29.568543185089624,36.7263187927075,251.60051203761503
gRNA_CDK19_targ_6872,574.4173387613831,559.1658859727662,395.8709955707687,703.7534635868673,829.4155870340435,595.2118358923941,256.4796549634016,251.26195173157404,6116.989442629706,54.84089716392441,62.72115221079617,119.65410367414628,536.0846389870786
gRNA_CDK19_targ_6873,387.42156155017796,202.00317281675197,172.47334909353114,246.8071065713581,303.09278578808426,312.3461639997675,229.11187794112803,5189.427299090258,70.3581472910463,4.420424960316326,37.10171860934927,351.75472034426696,283.7796793292441
gRNA_CDK19_targ_6874,212.52796590326054,718.642075038623,619.4447636298669,817.7151813555331,383.31272414302623,533.099730193976,106.21210451255378,895.4062279888819,12.334391253492065,29.8378684821352,61.02867667494929,472.9475231519555,372.73732481056913
gRNA_CDK19_targ_6875,520.2420557714051,446.89305011161537,507.2049955326761,299.9672518112519,518.5722551092617,332.2332418107605,911.9320248813536,233.6279311191399,284.90706557361955,11.672684660835298,78.25210418680284,95.60180669193211,413.28532983040645
gRNA_CDK19_targ_6876,209.45499817063575,278.1840290472089,279.7313924466637,192.68491113322423,348.59599213901754,205.69820799222444,4.319161366499414,36.54719297913804,1589.2255096752876,34.741777422486116,27.31190913729378,73.04771676079862,191.0180166987336
