gRNA_id,Plasmid,T0_REP1,T0_REP2,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3, Senexin B_2000nM_REP1, Senexin B_2000nM_REP2, Senexin B_2000nM_REP3, Senexin B_15000nM_REP1, Senexin B_15000nM_REP2, Senexin B_15000nM_REP3, SEL120_4000nM_REP1, SEL120_4000nM_REP2, SEL120_4000nM_REP3,T0_REP3
gRNA_CDK19_targ_6528,503.03195664637735,254.44684492783796,88.22224986598856,393.2562511358253,408.39807107325134,400.54448717652986,538.0898500416008,456.83859498750536,479.473741766019,11944.323010026352,238.0811063779067,538.9199241892621,450.41968053624356,597.2671865520085,606.7851368719695,306.66656193871864,275.77026531697254,229.8782075011881,688.7315500971815,414.33466833886547,588.471356564686,412.0204532778073,682.9641013011886,614.2386406505373,591.0531123272237,534.7778291082486,292.4870512014016,691.2864066068756,427.1819997320212,524.4646290921902,269.0456257535921
gRNA_CDK19_targ_6529,358.14117011962,123.01671991637008,95.89733802084069,231.87112405634775,231.61544940430846,142.82346874583277,190.8561443621397,135.69265354178307,186.32425511160756,63.53347815394656,290.0531366168195,205.4988098828183,240.4281620187842,243.87136577365877,248.24597934057525,211.11034064323167,121.59428675631278,123.57407729044016,287.6040603006435,216.70322987343422,305.59214305815277,209.14340609439,249.35999840839762,416.80665331203625,92.64072627795639,114.4981344767479,176.64754944593238,298.76306635710125,257.07942082869386,217.67291897211595,122.51611421416905
gRNA_CDK19_targ_6530,296.2343132547258,238.62562100398873,99.58358107729299,264.4217957973883,265.71879348362114,206.48255305685763,252.7821794683163,263.79131469094796,236.16928261973723,62.86378521281881,115.00064668879239,325.5281559021654,236.6968747244011,450.74060065989755,327.97889995504016,219.9286908686851,177.2913680164464,70.86942014049862,331.40141645852617,239.64897891118787,352.2835319604555,256.39116389261625,225.99678130684535,390.1210203877193,125.05178379058614,102.13220646710195,325.36919953092695,325.59004028919657,265.6899101922326,256.99961835719625,128.13118722057172
gRNA_CDK19_targ_6531,238.24418515825232,89.02790411386347,56.06390558992351,221.8521376357156,227.87572176743393,148.2557834018765,208.0173122069548,97.58946364197949,249.17453345180763,465.9315845185394,63.42349452884272,257.9869832712693,263.2689706708292,227.1069460224122,252.0789607993044,285.1266572896603,166.6509506479097,24.02580720672207,115.44249573455544,187.26115188732956,125.52057401767411,258.9506626027319,84.68830134624827,224.79518516128704,201.80370174394716,172.70216212424373,199.89064805723928,193.10950068786596,156.80536748115355,211.98756740355464,204.5917558183954
gRNA_CDK19_targ_6532,499.34065111642684,221.43009584946614,171.9054691027635,514.8964563131917,498.1763007664312,178.010672723925,320.3331193612608,553.7286119617437,339.60404021021145,394.85678150580634,304.29912269633445,482.0342454041417,451.3525023598393,702.8552446537825,560.8584220962058,263.9722542898021,388.55868942346183,141.42565471219453,436.3530167550688,380.2438411970601,391.3484386526104,406.84261680676883,356.7662726554649,518.0244250679415,193.8329042123395,271.4029854263654,355.07251231508235,483.3326470099169,439.5709316854674,354.08514418721506,234.22022615005207
gRNA_CDK19_targ_6533,183.71993935325904,23.865914054620028,8.307801515287979,130.55577899660736,135.52178562236696,24.48636304759404,161.95038365236005,38.13649688398175,56.727183590470425,127.76576633341776,139.42233711081803,75.94153550402092,136.9115916517564,117.30462770692701,139.64483800991604,31.22563358521208,24.87656198575138,8.76919592647584,75.27004247192107,98.33892444751554,66.40701103508681,87.8467028552326,24.008461302285617,101.37413288632118,125.26293074506583,105.11038808199051,248.42770692202723,42.69960017525168,122.43607238449664,247.65681132096176,43.24800911314402
gRNA_CDK19_targ_6534,152.13250806261436,43.87708075491238,23.685487101532946,86.35307018487569,90.07542659147452,13.21226278153346,77.88930656121705,80.0699899642726,103.28294532395195,148.35154500199712,20.624785816611208,109.26109562493879,116.92255257470417,131.19779324663412,222.52011279324898,37.441847678564486,424.14905096649846,8.992899904192061,110.75144492893996,62.698514253809904,77.7301723951317,149.0098961693748,136.73800020540276,214.37110980022572,378.48091590481323,117.83240302385138,112.83157134694713,63.53521659584569,73.0620004644578,103.49512600604017,46.77236344694996
gRNA_CDK19_targ_6535,225.62048380391795,219.452442858985,73.94493534137113,275.91935510388464,297.4693287847678,158.35606693321407,208.3558481431955,251.06804673489466,244.41774910077802,58.08858337173391,90.06257724043039,231.26368124535549,170.5997855096151,181.02794698238358,193.51376661908245,83.79842099488242,169.51285600910234,1023.9825875982274,200.35051531619558,170.51373505717692,221.26789434158314,177.95870916654457,136.11964117969995,130.248821636461,117.02819952035857,262.1123536494848,204.88107805319632,209.5633780328844,168.2133576083737,307.4435338667883,175.73983813656037
gRNA_CDK19_targ_6536,231.28424267048317,70.793273150783,7.757615984474205,220.39563300187922,217.44906391892943,82.84962302056623,59.13962393865729,69.64490391651165,52.12221150596301,18.634934013989827,66.1572658447411,133.78564495251794,157.8334525524044,279.1136956927158,314.8569814476791,45.34463148716754,138.61895454597155,48.58850395996307,91.04903154535495,138.50888510062188,75.66536061771176,256.9501348752852,95.44237135847025,222.76249046588006,46.98019737172717,99.47774024513608,183.62047902932446,223.82638584011508,221.0025603308288,201.848086899114,49.99804368467064
gRNA_CDK19_targ_6537,260.02570557544084,65.09495097482036,18.843854430371735,191.4200180893462,185.45086453587058,119.45632630576534,166.35135082348867,195.54530410991865,103.63717394583713,164.42417558906337,196.58853284993776,145.5123260103029,196.2923637366529,204.97050226247885,235.84921948756838,94.5924671724866,64.06265077746595,111.09139533387506,78.46848620302254,189.76432450962997,120.29193774259457,208.4079179592993,88.64042207573985,143.6958788522301,36.158915954643945,237.5747268659465,297.71674838894563,208.5797223220409,130.06561992180949,296.29010531190363,75.38534185191678
