gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK8_targ_846,121.56553645877165,181.15913786957896,188.4630376301304,78.5091874991822,114.34063371429852,249.5226469989877,16.33603410649767,6.397354492857491,12.86166256454947,13.816433210394711,72.94898599084088,70.09954378196393,343.9941459844425
gRNA_CDK8_targ_847,44.35396757812236,129.5135937108199,38.85005742335398,64.24228682968796,186.95997402706607,82.0770536858865,16.061148917205642,2.467551018673604,3.4761250174458023,3.3159439704947307,158.011884577977,3.0372419316275536,252.54981046224086
gRNA_CDK8_targ_848,170.28281136921572,69.67351661665403,73.85033584037821,59.81652380890072,152.66849999841045,60.12214214106958,2.120542888824217,11.972191979490448,11.297406306698857,8.289859926236826,58.14678046221712,2.5107866634787777,306.28920887236063
gRNA_CDK8_targ_849,465.2423870341629,119.72012751972395,84.06608928201143,253.285593003314,333.09166178876404,271.3725111201452,30.198101509367085,3.1986772464287454,20.682943853802524,19.273924328500623,16.693967221743844,25.67481846202492,327.53698359770425
gRNA_CDK8_targ_850,114.69807013572617,233.5641753247903,24.054828300988607,63.44509970172007,206.92761359166863,151.09321103011956,5.4191651603285536,4.569538923469636,4.3451562718072525,1.8652184834032859,250.5754523343261,37.37832403856309,316.4622150737519
gRNA_CDK8_targ_851,265.8582128485059,217.25505611676112,189.19273430453276,349.4153649517174,230.89592512628104,477.720666995115,30.119562883855078,209.6504458087869,37.36834393754238,75.92130049111893,14.237995900851109,63.74158400509026,364.8755797662457
gRNA_CDK8_targ_852,405.25639666546186,291.72537250048254,389.3309187251012,524.2192596671584,453.6476251707564,424.1114651209288,562.9648676700734,214.49415706766473,125.66191938066575,54.92032201131897,247.15700576605644,121.89464285598581,494.5602737795499
gRNA_CDK8_targ_853,555.2403434886592,1116.255279127977,267.4212501913252,611.7723976870798,534.232589138097,495.368634169896,88.63083889030105,124.74841261072108,174.1538633740347,35.09374035440256,102.48701944482104,79.94020764043721,416.98053396672367
gRNA_CDK8_targ_854,506.3333595637664,417.7612863801786,609.422532897431,482.4631476884267,381.34976742700746,434.8613181420752,42.64647365302036,66.98944061806486,38.06356894103154,14.230926206706553,67.83791053925331,133.9221209052309,423.0392495714304
gRNA_CDK8_targ_855,143.98914196661622,469.7665905214677,244.42322397050557,258.28862946159524,152.45417828573133,254.28479687154766,39.230043443248015,40.57750564041037,5.909412529657864,16.92513068273352,49.94914645869679,68.8846470093129,322.2109498800783
gRNA_CDK8_targ_856,356.08382012034076,287.44822604151415,302.39636665405965,254.4951183009204,203.9985501850543,363.5691332852216,13.11595046050534,55.20003019551321,53.87993777040994,5.112080287846043,195.18334240770486,92.25116160330089,349.4610800649686
gRNA_CDK8_targ_857,606.1961847695987,253.2710277011589,304.28351322579,305.0477778986081,199.8192767878119,129.03325206164322,39.46565931978403,105.83052146755678,157.64226954116714,23.004361295307195,16.62758961847647,16.68458234440736,320.80194625107674
gRNA_CDK8_targ_858,504.6259784337275,287.72803936125973,394.4639574002075,333.6090684489058,406.639729523141,461.8585060225439,1651.3531400154807,74.1179213386775,27.63519388869413,75.92130049111893,65.7802048379648,60.177886805313925,496.8992198036926
gRNA_CDK8_targ_859,490.3219187442902,432.191659012773,367.99358148740413,526.3084397266605,682.507494026586,398.44487794014606,86.51029600147685,205.44646999919485,112.97406306698858,22.037210970579565,137.36844996182458,74.31118592715414,602.0390705997894
gRNA_CDK8_targ_860,290.8618609528537,87.90135573151017,278.6183198502582,258.70096763123377,311.19512681004954,533.0806592636246,98.25182051552204,75.03182912337144,70.56533785414979,10.431407073848007,35.843905764380416,134.24609337793788,533.6742145206334
gRNA_CDK8_targ_861,109.61386854849916,180.95927121261778,202.35243639806524,262.3845219466716,225.93080544921528,229.31852584849432,34.83188041457556,4.843711258877815,178.84663214758652,59.894237967061066,4.148600204210696,136.35191445053297,515.8925887226337
gRNA_CDK8_targ_862,416.9424719555061,525.2495744938806,689.6388431731126,624.884751481586,649.6805517012376,654.5855126296766,508.96956263056796,84.62786086265767,62.04883156140757,56.025636668150554,83.10475929074866,111.64901340662887,648.1980294858807
gRNA_CDK8_targ_863,239.52660164301665,350.965849623765,216.74507425179482,415.5269181504335,248.47030556596704,210.760147668665,22.815470711238333,55.56559330939078,6.604637533147025,14.507254870914446,39.0964083244816,55.885251541946985,249.22456189779714
gRNA_CDK8_targ_864,109.91740297161718,95.21647537628796,266.5154198368947,67.62345982072416,279.0825901936314,281.17693732835687,154.95670813519183,64.97884349173822,87.59835043963422,5.457491118105911,7.235158756143455,4.373628381543677,231.27385566431718
gRNA_CDK8_targ_865,88.29057532445744,7.714852958700074,144.1779980801932,26.911937871743476,105.9463666343672,149.06229417270427,2.5132360163842566,1.645034012449069,14.94733757501695,2.417875811819074,80.25052235025171,58.679514119044335,194.4143207296362
gRNA_CDK8_targ_866,154.5369631699678,231.8453220749245,304.7112664487155,202.32059523598772,399.2456304357121,154.38469697144777,12.880334583969315,24.85829174367482,3.6499312683180927,7.599038265717091,31.064718329129693,12.22996084468695,437.3829065146664
gRNA_CDK8_targ_867,232.77296072864044,102.21180836992792,254.08541441776455,374.485525665742,336.69941061886215,211.6005270579403,17.160689674373753,29.24504911020567,8.168893790997634,23.69518295582693,26.84974052165163,45.680118651678406,320.2383447994761
gRNA_CDK8_targ_868,148.88363453939448,5.316453075166372,6.36597443530347,1.0995684523694986,23.682549251040275,3.816723059625268,0.5890396913400602,8.7735147330617,13.20927506629405,0.34541083025986774,248.94920105427548,1.1744002135626541,216.95837879366127
gRNA_CDK8_targ_869,130.67156915231257,46.6488777347305,30.14402123910497,201.88076785503992,40.471083410902914,12.955848917994029,1.0602714444121084,1.3708616770408908,157.64226954116714,0.6908216605197355,15.100904743326934,25.75581158020165,160.54187348843854
gRNA_CDK8_targ_870,44.80926921279941,11.312452784000625,46.952206704649306,12.535080357012284,59.29567384121697,112.40074331556981,9.778058876245,1.00529856316332,25.201906376482068,3.385026136546704,17.955141683823893,2.1868141907718384,249.42182240585734
gRNA_CDK8_targ_871,199.19446517120824,259.70673405530766,217.42444701761772,6.404986235052329,157.99082252994137,73.39313333004185,16.178956855473654,112.22787596041427,108.45510054430903,0.6908216605197355,13.142765446939485,40.45606252927901,250.66174559937875
gRNA_CDK8_targ_872,458.8302223457945,238.2010817662888,376.74994158023264,401.699844861887,427.10745308399476,226.69234025700902,46.534135615864756,62.60268325153401,1564.6038703523557,31.570549885751912,25.92045407590843,113.26887577016356,507.72036767442455
gRNA_CDK8_targ_873,56.3435772912846,115.68282104910888,189.94759293322488,385.3712533442,76.26280942831218,18.313267524623992,16.178956855473654,115.33516242837361,15.468756327633821,23.004361295307195,7.56704677248031,82.32950462665089,281.91344609063344
gRNA_CDK8_targ_874,148.6939255249457,423.0377661239528,169.2393045527713,333.9939174072352,438.10930100152177,554.6503969216903,20.65565850965811,93.85832948806633,231.33611991101816,14.369090538810498,366.03929321791816,23.123535239457777,437.4674467324065
gRNA_CDK8_targ_875,312.94399023469055,137.4682866578733,217.37412310903827,132.16812797481373,269.0094696977139,190.6960897497175,10.799061007901104,1214.8576181936376,176.58715088624677,3.0396153062868363,19.714148170409228,20.491258898713895,313.22150672704834
gRNA_CDK8_targ_876,107.71677840401145,198.74740368215942,41.466900669486634,148.60667633773772,175.06511897337614,63.72877035337603,11.702255201289196,10.327157967041376,20.682943853802524,12.43478988935524,71.88694433856296,1.7818485998881648,174.23738876233375
gRNA_CDK8_targ_877,252.92005806309982,664.1968744132664,345.8762236667253,126.72526413558472,329.98399695491713,325.40190268896896,11.427370011997168,20.471534377143968,33.02318766573512,19.61933515876049,177.85878795492098,18.628417180648995,287.01403922761915
gRNA_CDK8_targ_878,208.64197409075695,126.91532717032506,293.64000656123125,158.39283556382625,200.9266056366539,247.5967775652318,27.99901999503086,26.22915342071571,4.866575024424123,20.102910321124302,167.86895866318164,18.020968794323483,301.244975880535
gRNA_CDK8_targ_879,8.954265481981931,71.99196983740327,9.712514355838495,30.705449032418247,278.082422201129,108.89916252692278,44.21724616326052,51.08744516439053,45.711043979412295,17.132377180889442,189.83994534468147,100.59345277550456,205.99633056002907
gRNA_CDK8_targ_880,244.42109421579494,189.19377747941684,324.7653440176359,203.14527157526487,173.4577061282829,205.54279229358093,192.9694028830037,2170.1654255342,132.78797566642967,11.951214726991424,557.1736018263134,8.220801494938579,255.395997792824
gRNA_CDK8_targ_881,292.7589510973415,270.9792135079161,260.55203667022704,175.16125446246113,208.78506843488748,205.96298198821856,31.533258143071222,360.6280118402237,5.040381275296413,2.901450974182889,41.452813240473276,52.40254746034739,308.430894388443
gRNA_CDK8_targ_882,164.9330171617604,126.63551385057946,251.4434092173422,115.09732775177726,147.41761803777254,350.7883634066599,564.4963708675576,5.483446708163563,12.340243811932599,4.559422959430255,368.1965653241077,11.622512458361438,204.10826569716698
