gRNA_id,Gene,classification,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,LFC_avg_CBE_BSJ-4-116,LFC_median_CBE_BSJ-4-116,base_RPM,base_RAW,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,LFC_avg_CBE_CDK12-IN-2,LFC_median_CBE_CDK12-IN-2,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,LFC_avg_CBE_HQ461,LFC_median_CBE_HQ461,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_BSJ-4-116,FDR_CBE_BSJ-4-116,p_CBE_CDK12-IN-2,FDR_CBE_CDK12-IN-2,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_HQ461,FDR_CBE_HQ461,p_Plasmid,FDR_Plasmid
gRNA_CDK13_targ_6081,CDK13,targeting,2.4462578872834677,1.0477674921766282,-2.9396863573153342,0.1847796740482539,1.0477674921766282,109.09147048861016,981.0,0.8628549581241768,1.5053950674082204,0.6559366517180835,1.0080622257501604,0.8628549581241768,0.6062784029296633,0.8263217092579469,2.811023076582552,1.4145410629233872,0.8263217092579469,1.2620631208557516,-0.8974948348521407,0.6340168501631517,0.3328617120555875,0.6340168501631517,-4.161404870145435,-4.161404870145435,-4.161404870145435,0.05611038217506051,0.4817378138063396,0.023362896244147172,0.1498426599690493,0.003247174399112325,0.05625354083586761,0.15014322076147496,0.5728533331795632,9.999000099990012e-05,0.0008292186113586266
gRNA_CDK13_targ_6082,CDK13,targeting,1.2761600285046348,0.8144997612015261,-0.9674863407745027,0.3743911496438861,0.8144997612015261,70.24684782237766,578.0,0.37716325840034703,1.1030416147513775,2.3248607040751104,1.2683551924089451,1.1030416147513775,1.7140170140963054,0.5807167778356795,-0.7992757242154898,0.498486022572165,0.5807167778356795,0.47250154977369985,1.5452498876657457,1.4874650081702023,1.1684054818698826,1.4874650081702023,0.20144771435063905,0.20144771435063905,0.20144771435063905,0.21137773665562998,0.8719418156297759,0.0042855219839644096,0.048418158128331,0.06616126422357624,0.40820409916396594,0.028156467044185843,0.2826096527239107,0.40375962403759624,0.9658354450951089
gRNA_CDK13_targ_6083,CDK13,targeting,-0.16199061846668147,0.10182724213235898,-1.611551518900992,-0.5572382984117715,-0.16199061846668147,491.92749966522985,2912.0,-2.4926820382152113,-0.3233338533552321,-0.20503808939477594,-1.0070179936550732,-0.3233338533552321,-0.3323264993915035,-0.18548138848331064,-2.803157584962879,-1.1069884909458978,-0.3323264993915035,-0.6153431419575246,-2.442287659531327,0.007287084977943348,-1.0167812388369695,-0.6153431419575246,-0.16034397581786858,-0.16034397581786858,-0.16034397581786858,0.5236973167495349,0.9999997400520523,0.5178137682758688,0.8562542895440938,0.23496706421747734,0.9135939845133225,0.3745925440093907,0.9592048176966648,0.3062693730626937,0.9024935278869206
gRNA_CDK13_targ_6084,CDK13,targeting,0.013130995065330251,0.7735497306114453,-0.2968662599395132,0.16327148857908744,0.013130995065330251,283.18260528396,2516.0,-0.9763131299380781,-0.3169513209352963,0.28365661800310754,-0.336535944290089,-0.3169513209352963,0.16063724110503308,-0.6902419246814907,-0.5305365227974275,-0.35338040212462835,-0.5305365227974275,-0.2932195436018981,-0.7595995665035393,-0.41923005398841634,-0.49068305469795126,-0.41923005398841634,0.5366093452441603,0.5366093452441603,0.5366093452441603,0.38391693809867067,0.9999997400520523,0.39968578421394846,0.7200373508955555,0.5294270987983047,0.9989988810814047,0.6128129164901639,0.9184921109461877,0.47115288471152894,0.9145024891450251
gRNA_CDK13_targ_6085,CDK13,targeting,-1.665323478623117,-0.8268687936213981,-0.843677739198122,-1.111956670480879,-0.843677739198122,302.64360434411253,3279.0,-0.33198035229390804,-4.507766142370772,-2.0970188084638988,-2.31225510104286,-2.0970188084638988,-1.6186445507936325,-1.5566332508963352,-1.561072039309445,-1.5787832803331376,-1.561072039309445,-1.510028532572455,1.675238938846462,0.03383247803337418,0.06634762810246038,0.03383247803337418,-0.14364903681746163,-0.14364903681746163,-0.14364903681746163,0.33186697273628796,0.9999997400520523,0.09677572502705013,0.9802828203568071,0.14783224520051602,0.8049997335805176,0.2035058319973593,0.6296860470959234,0.3062693730626937,0.9024935278869206
gRNA_CDK13_targ_6086,CDK13,targeting,-0.6728661234961878,-0.15960006451534448,0.1647037702455957,-0.22258747258864553,-0.15960006451534448,327.2744114658305,3049.0,0.20172393778664477,0.26891122791490946,0.04261411878581831,0.17108309482912418,0.20172393778664477,-0.7516498872077274,-0.8347566533671975,-2.8523910682274134,-1.4795992029341127,-0.8347566533671975,-1.570210800126217,-2.1883425001004824,-0.049263424449820674,-1.26927224155884,-1.570210800126217,-0.5977610994184498,-0.5977610994184498,-0.5977610994184498,0.5881485693355526,0.9999997400520523,0.1998771284646061,0.5311299453060968,0.15000768486830982,0.8077847455076684,0.28364685804826756,0.9870470735556659,0.17378262173782622,0.6762380516544668
gRNA_CDK13_targ_6087,CDK13,targeting,-0.9139416582694869,-0.6201405813419928,-0.5762588198763781,-0.7034470198292859,-0.6201405813419928,850.8909388375644,9219.0,-0.07213039446127123,-0.20994025594729815,0.7378613194691934,0.151930223020208,-0.07213039446127123,-0.5097288360078543,-0.25493267360501903,-1.042156045209738,-0.6022725182742038,-0.5097288360078543,0.12190113758696228,0.030139657058661673,0.1582012722058765,0.10341402228383349,0.12190113758696228,-0.9742326584351442,-0.9742326584351442,-0.9742326584351442,0.5046757498641594,0.9999997400520523,0.19771967088732825,0.5289803448412533,0.5948452618380968,0.9999993686552315,0.3425425892842498,0.7536680585471311,0.07969203079692029,0.3852440972387368
gRNA_CDK13_targ_6088,CDK13,targeting,-1.1838814139328013,-0.8972600561363033,0.014043930718349517,-0.6890325131169184,-0.8972600561363033,362.8090038098937,2619.0,-1.012747008185482,-0.6418811284767665,-1.6675709607417288,-1.107399699134659,-1.012747008185482,-1.0286990941811074,-0.1759498529856916,1.6959627726600832,0.1637712751644281,-0.1759498529856916,-0.18434132056855146,-2.654202246279884,0.6104804085549921,-0.742687719431148,-0.18434132056855146,-0.014081810731501533,-0.014081810731501533,-0.014081810731501533,0.49424154867515313,0.9999997400520523,0.4887618433476296,0.9425418210756832,0.13449085617862122,0.5861248772404012,0.4341354116031413,0.8545680848799917,0.3453654634536546,0.9293748347663852
gRNA_CDK13_targ_6089,CDK13,targeting,-2.454520244386815,0.447693237057047,-2.338799829273942,-1.4485422788679034,-2.338799829273942,508.6909519864792,3540.0,-0.6991312028460973,-0.6650112165413652,-0.87322629923679,-0.7457895728747509,-0.6991312028460973,-0.6186316483665601,-0.4376972043497514,-0.9944384324726817,-0.6835890950629978,-0.6186316483665601,0.6622647767857043,-1.2541584142138964,0.869784160653427,0.09263017440841163,0.6622647767857043,-0.43179358753358377,-0.43179358753358377,-0.43179358753358377,0.19246563158227584,0.9999997400520523,0.6452613058482226,0.8788841737182842,0.5691685646140092,0.9999993686552315,0.22851408968101783,0.6568011481580824,0.20227977202279773,0.7192826371124759
gRNA_CDK13_targ_6090,CDK13,targeting,-2.0748975588243996,0.19755118015887208,-1.0854152165138036,-0.9875871983931104,-1.0854152165138036,242.9253363457711,2376.0,-0.7738552354796314,-2.187547518146787,-1.0215917664658727,-1.3276648400307638,-1.0215917664658727,-0.5530468799005439,-0.4558036231436238,-2.5274043728773905,-1.178751625307186,-0.5530468799005439,-1.0681591567342583,1.6532669233235848,0.8031325383645629,0.46274676831796313,0.8031325383645629,0.3521326008444125,0.3521326008444125,0.3521326008444125,0.353179263364991,0.9999997400520523,0.39364803784813884,0.9643992465795929,0.25951352364577523,0.9307348614519666,0.10163915880928603,0.49943843794077003,0.4477552244775522,0.9936490460340515
