gRNA_id,Gene,classification,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,base_RPM,base_RAW,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_CBE_T0,FDR_CBE_T0
gRNA_CDK9_targ_1063,CDK9,targeting,-1.221810329733465,-3.6521945658880623,-3.2521842917454746,-2.708729729122334,-3.2521842917454746,384.16560149138513,6781.0,-7.918447226935518,-8.389075194497712,-2.7978922184034256,-6.368471546612219,-7.918447226935518,-3.8210152901945973,-7.818234748538531,-4.627722332001461,-5.422324123578196,-4.627722332001461,-0.9391905803654669,-2.711991517474531,-3.209146503281526,-2.286776200373841,-2.711991517474531,0.04043840818964361,0.822784037255251,0.013616566674351857,0.9514648375295616,0.07295071230766385,0.6681396516661724,0.12320126992880158,0.7156158870332517
gRNA_CDK9_targ_1064,CDK9,targeting,-1.8163497020164399,-3.673141422686824,-7.495481965885795,-4.328324363529686,-3.673141422686824,256.9224307275375,4535.0,-8.010793435147628,-6.409078474279101,-5.102783396983679,-6.507551768803469,-6.409078474279101,-5.646052341464501,-4.2514636702315975,-8.010793435147628,-5.969436482281242,-5.646052341464501,-3.3280680886551894,-5.7539472621659975,-8.010793435147628,-5.697602928656271,-5.7539472621659975,0.001439662643420581,0.12703060209067146,0.10362739141257298,0.9999408379149222,0.014614799293231683,0.32973886008696274,0.0005255755661502908,0.10248723539930671
gRNA_CDK9_targ_1065,CDK9,targeting,0.3124055193540851,-0.24688389267666241,0.5300323833374955,0.19851800333830605,0.3124055193540851,673.4936839005437,11888.0,-3.138664445644298,-4.303583778060435,-0.911719935286001,-2.7846560529969113,-3.138664445644298,-2.493044740490362,-1.5772088804834654,-2.357963681143995,-2.1427391007059406,-2.357963681143995,0.23398632842060985,-0.04468663735896437,-0.23839504347620633,-0.01636511747152029,-0.04468663735896437,0.03192882675037145,0.10801201614437926,0.055772540215236525,0.27653600312108756,0.30130051282487325,0.7759909434074566,0.21248058697431793,0.5401042853257803
gRNA_CDK9_targ_1066,CDK9,targeting,-1.094782967826722,0.641169158058115,-0.6277525111321571,-0.3604554403002547,-0.6277525111321571,396.00612806736206,6990.0,-3.9847362328922067,-5.735280983352631,-2.009687166203361,-3.909901460816066,-3.9847362328922067,-2.8692012642436486,-2.031712652405314,-4.326182727129624,-3.075698881259529,-2.8692012642436486,-1.615550773312017,-0.7168912345902558,0.1628638690640888,-0.7231927129460614,-0.7168912345902558,0.18187086107576675,0.39002941927481793,0.28525369537131806,0.6429669501022234,0.5340065382731478,0.9999998529420563,0.5001462850255085,0.9377742844228285
gRNA_CDK9_targ_1067,CDK9,targeting,0.0668627433491754,0.5448244047593912,-0.8995069713586105,-0.09593994108334795,0.0668627433491754,455.6053336076861,8042.0,-4.175213308475232,-3.292092365306691,-1.3322860662568279,-2.9331972466795837,-3.292092365306691,-2.511632556524678,-1.7896570279817487,-5.065465804680723,-3.1222517963957164,-2.511632556524678,0.04679899143264541,-0.7356527642530392,-0.283301376098201,-0.3240517163061982,-0.283301376098201,0.09518779535079298,0.2466425920386581,0.10605612675454089,0.3819699551977528,0.46142744710688366,0.9329142808961245,0.385046607267491,0.804267205692617
gRNA_CDK9_targ_1068,CDK9,targeting,0.4147464369254216,-1.7396197745505415,-0.46810109987840526,-0.5976581458345084,-0.46810109987840526,334.0274865644016,5896.0,-1.8649074391864273,-4.188676689221907,-2.4605193206301896,-2.8380344830128412,-2.4605193206301896,-5.994618637524446,-3.722703420035509,-6.998575848946971,-5.5719659688356415,-5.994618637524446,-0.5468220576052784,-0.5482319977561965,-1.973761228121909,-1.0229384278277946,-0.5482319977561965,0.23623258655676294,0.46868819861915906,0.11096083852201714,0.3893368090528835,0.18059310713523788,0.8757001464994661,0.481041609266615,0.9999976296706047
gRNA_CDK9_targ_1069,CDK9,targeting,5.018494547923719,4.200063214489746,5.019412596761742,4.745990119725069,5.018494547923719,31.102627225891528,549.0,1.9649800899053302,-0.15435575125337814,1.6378382364858117,1.1494875250459213,1.6378382364858117,3.075853649998911,3.835617082880795,1.494003159808162,2.8018246308959562,3.075853649998911,4.290086804368993,5.5379608495049455,4.871193107492534,4.899746920455491,4.871193107492534,4.1025318572854354e-10,6.153797785928153e-09,2.8694965902891334e-05,0.0019912489665821543,4.062692467859466e-08,8.531654182504877e-06,4.1025318572854354e-10,8.420986443901683e-09
gRNA_CDK9_targ_1070,CDK9,targeting,5.186767873168388,6.545510895787485,5.652547519462258,5.794942096139377,5.652547519462258,9.291130901723516,164.0,-0.03017257026055061,-0.22702181068718535,2.9025195536207367,0.8817750575576669,-0.03017257026055061,7.601355819589079,2.221240924042391,5.936343317453965,5.252980020361812,5.936343317453965,4.489068355099892,5.736725650636365,4.8098038256098,5.011865943782019,4.8098038256098,4.1025318572854354e-10,6.153797785928153e-09,3.0496905187535747e-05,0.0020306475893164047,1.863951775028555e-08,5.6539870509199504e-06,4.1025318572854354e-10,8.420986443901683e-09
gRNA_CDK9_targ_1071,CDK9,targeting,1.1005171267791463,1.6976820471557754,0.8514973478967023,1.2165655072772081,1.1005171267791463,221.85407689725176,3916.0,-4.584473611654637,-4.242813219232174,-1.1313458083636967,-3.319544213083503,-4.242813219232174,-0.3367033539238786,-1.0706418868548735,-0.00575893104890265,-0.4710347239425516,-0.3367033539238786,1.2281450894277999,0.9053726306318095,0.3922382544499082,0.8419186581698392,0.9053726306318095,3.209778661078432e-06,2.7045357236864567e-05,0.12495794789201738,0.41551181211352917,0.02406466797130949,0.18524756792874697,0.0011233091944643084,0.006195220405833459
gRNA_CDK9_targ_1072,CDK9,targeting,1.477695339450758,-0.3050674468757753,1.762454651855888,0.9783608481436236,1.477695339450758,242.30589552848463,4277.0,-1.3667238072183514,-1.7621225991850793,0.07526049788047239,-1.0178619695076527,-1.3667238072183514,-2.173874144669965,0.937322176558876,-1.3378341173249182,-0.8581286951453357,-1.3378341173249182,0.5951386786629435,2.800115094447935,1.7850824254730324,1.7267787328613036,1.7850824254730324,6.216521767745104e-07,5.954773482787415e-06,0.0022120353452621906,0.041080656412012105,0.03581596483277091,0.22791977620854215,1.687139460015888e-07,2.2250679834992146e-06
