gRNA_id,Plasmid,T0_REP1,T0_REP2,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,T0_REP3
gRNA_CDK9_targ_1058,300.88534279910726,321.37059350386096,89.8434882737365,370.7924006123767,363.3107102704179,245.00830340246398,210.07732395043692,892.1921688092053,613.8785848067159,226.344885897776,444.5783619674071,479.58925286546577,525.183687801403,349.3823027054062,505.96488603690904,179.42656644758634,822.9390817229134,155.02976239823582,432.53941810529705,397.2940360966342,325.8356429953792,250.25989339169755,388.32325327818256,367.6232685759671,753.8690476540501,680.4691462372313,267.60030717985853,189.4949382513422,246.41596707168657,377.9686349127945,269.8167316633452
gRNA_CDK9_targ_1059,306.154093859231,430.0539318424143,213.18793827666286,347.3660975505414,355.78383376453746,553.7867377283436,490.2175813595364,275.3582253635155,373.3225462395996,116.95888156056084,108.352937791118,273.5407628695941,419.26995757042,212.3317861745562,339.62804271706125,407.82554069445587,231.45625625221396,206.98269525183355,525.0140036263049,385.2275936432954,579.2788935088341,325.5790757642832,346.9369334594465,332.2977296913531,309.074548710584,435.7550652629616,258.04315335200647,621.2064334383412,332.0212620890315,337.7080648982361,142.40696166983244
gRNA_CDK9_targ_1060,189.6183849272476,58.03992165440797,4.7007278315661685,96.15731125942125,96.03082038710575,45.973815316881016,223.17580395265307,15.54441594794039,8.547676497308704,127.71717539372652,276.8951349101447,36.20935807458832,137.22686597337022,83.8710555389497,104.17341552625281,44.491953468710435,94.72039223150259,23.765703326645774,120.91400579179017,92.55218094529023,4.891377870400288,123.62235697662167,108.54476586400618,85.23501584085749,60.92108684630234,21.27948530211041,101.10462733675105,48.55689476670258,93.83209580776978,108.01249940472944,22.296709748864725
gRNA_CDK9_targ_1061,493.3363895866364,174.27071404424967,64.41983352273073,515.7727547016043,525.2648450211076,200.1467578109914,213.25440207863403,261.604640745983,594.89608245555,370.1093487409731,99.57917216024038,563.338788548187,634.0207269347273,559.2047132251722,402.2172474133521,177.55102742548613,186.1745640412292,101.14241183200411,655.0360590472998,268.28579497317145,468.03498537058755,290.0602619792928,283.55143382121395,182.67732799352345,610.8573843237342,377.2025961514221,329.75773621062586,387.6979356031457,409.0893110031054,538.0344459221676,278.31071632957935
gRNA_CDK9_targ_1062,671.8507400215804,135.3258511396014,57.40184549250519,703.0956042315697,760.0629792448149,158.06588653303982,315.08811681926767,249.35535444599304,201.0369108652735,789.6227060342488,210.26360011900417,370.22221215038263,490.2164159310891,631.204491627999,469.7738493077613,296.0225756548158,144.60448594589892,60.05906422082575,432.63235738722767,492.67027804164206,592.4157369321948,302.24158691064775,278.1532181926832,575.4713933894142,379.63951416962146,437.58482992269717,532.3262823814156,690.8709062420314,510.7601509602423,299.55065898891587,101.13150493235072
gRNA_CDK9_targ_1063,384.16560149138513,41.96384452516362,16.220821390615654,467.60652410717654,484.5489895597676,82.74050901788128,294.07481060294646,71.63325321631517,75.70799183330566,29.02936268949172,114.36572822346768,173.28764221410125,345.5688427440831,323.4199161231536,322.73889224345896,93.04757481863798,66.957518646407,147.29209154769998,268.12982836995747,145.05404225822187,50.730576198722986,259.3054317070601,56.47810544688664,218.11089604903833,51.74764133662747,233.532185831441,431.3653716435797,277.616710235358,134.3452091342014,448.49974544203025,101.52966046358044
gRNA_CDK9_targ_1064,256.9224307275375,3.3208797825669056,2.251052764411968,88.58207681138853,86.73588564158894,16.86942416869424,58.357908775831106,17.04871426548301,13.765089424237392,40.02806532339852,44.72779821615233,101.85421472001545,135.70899404330837,265.70427606297875,110.91488315227053,25.73656324770838,12.025629734720548,1.289611808422639,52.789512136615535,74.96598290159432,56.53035281648333,97.45059945083933,24.088811675701905,194.45250762172807,5.88041378825312,18.704260966186222,259.26474444278455,103.4555282261324,120.84083802539085,282.65023314325236,21.63311719681518
gRNA_CDK9_targ_1065,673.4936839005437,544.6242843409725,281.7126327227331,733.8344168472863,749.6566936058124,830.6183138299926,646.7304828328256,601.6476937638311,1710.312360961496,611.47978468507,333.70986899540816,1338.021993613359,520.4052020956526,711.3114836847633,1107.019947009226,512.126349645695,416.59156834105994,600.2221816915654,597.7854613780127,912.428435726939,597.0276074957152,923.4288548209794,939.9860633164258,678.8553099416329,1181.1399135085217,874.0853548618473,575.9442701521392,878.5674409834958,955.0850049713937,813.0231526820525,1191.015912418524
gRNA_CDK9_targ_1066,396.00612806736206,43.397860794908425,24.960202711273883,376.0906859777637,351.2373982911869,109.12601861506971,463.0173335251471,94.4842609923197,265.97705048768375,81.07786804994684,31.106987236747916,338.07716977804404,374.18353949969367,434.7010749682733,399.9464372656409,204.95473647061692,153.06696612959118,122.05254615428547,293.1304952093053,417.4475623218916,273.77740708897613,252.97355488630632,326.15670555606994,400.3561073589579,98.9085599184175,220.9271403977068,205.80216964637884,290.5841460697406,196.74471701629147,230.07113051229922,45.257012049779
gRNA_CDK9_targ_1067,455.6053336076861,158.72295869859553,86.00345708738666,496.15596260496454,484.3469257609521,718.2790715637431,834.6797363114334,383.7393374798003,479.4469453490427,218.5917020738745,330.7034737792333,411.9738189098569,541.8240615531922,399.76284469773265,532.2211283698201,620.907612927507,189.8861781568837,1038.7823116844356,587.0974439559865,359.04084619136864,459.92927347106706,375.4501436763154,299.16562741341596,235.39556339319194,657.547869802464,253.52405896558935,251.64776470028588,625.2765045396437,565.0880807083307,312.31986962786164,1178.5403724399928
gRNA_CDK9_targ_1068,334.02748656440156,64.0778848954387,26.681596001706563,232.07365650042473,224.44236453440865,116.47935735526976,243.7432044667712,96.77652509524178,89.80610761458105,521.8674042088129,239.71400223663534,117.2493499558098,382.2788564600236,252.57831109946073,218.28162544874223,171.40342729749102,185.13531208884595,200.35040595137426,300.47269848182754,239.14662011244897,258.9635198243352,225.11329687498963,280.1267593902106,308.31525375134,47.04331030602496,193.9550539319745,287.00204803339284,263.5134406052631,284.4455178953484,291.51356758675587,73.12789923585991
