ArrayTaskID R1_FILE R2_FILE folder_name
17 ./D25-213017-7224E/250728San_D25-213017_1_sequence.fastq ./D25-213017-7224E/250728San_D25-213017_2_sequence.fastq D25-213017-7224E_guide_split_BARCODES
18 ./D25-213018-7224E/250728San_D25-213018_1_sequence.fastq ./D25-213018-7224E/250728San_D25-213018_2_sequence.fastq D25-213018-7224E_guide_split_BARCODES
19 ./D25-213019-7224E/250728San_D25-213019_1_sequence.fastq ./D25-213019-7224E/250728San_D25-213019_2_sequence.fastq D25-213019-7224E_guide_split_BARCODES
20 ./D25-213020-7224E/250728San_D25-213020_1_sequence.fastq ./D25-213020-7224E/250728San_D25-213020_2_sequence.fastq D25-213020-7224E_guide_split_BARCODES
21 ./D25-213021-7224E/250728San_D25-213021_1_sequence.fastq ./D25-213021-7224E/250728San_D25-213021_2_sequence.fastq D25-213021-7224E_guide_split_BARCODES
22 ./D25-213022-7224E/250728San_D25-213022_1_sequence.fastq ./D25-213022-7224E/250728San_D25-213022_2_sequence.fastq D25-213022-7224E_guide_split_BARCODES
23 ./D25-213023-7224E/250728San_D25-213023_1_sequence.fastq ./D25-213023-7224E/250728San_D25-213023_2_sequence.fastq D25-213023-7224E_guide_split_BARCODES
24 ./D25-213024-7224E/250728San_D25-213024_1_sequence.fastq ./D25-213024-7224E/250728San_D25-213024_2_sequence.fastq D25-213024-7224E_guide_split_BARCODES
25 ./D25-213025-7224E/250728San_D25-213025_1_sequence.fastq ./D25-213025-7224E/250728San_D25-213025_2_sequence.fastq D25-213025-7224E_guide_split_BARCODES
26 ./D25-213026-7224E/250728San_D25-213026_1_sequence.fastq ./D25-213026-7224E/250728San_D25-213026_2_sequence.fastq D25-213026-7224E_guide_split_BARCODES
27 ./D25-213027-7224E/250728San_D25-213027_1_sequence.fastq ./D25-213027-7224E/250728San_D25-213027_2_sequence.fastq D25-213027-7224E_guide_split_BARCODES
28 ./D25-213028-7224E/250728San_D25-213028_1_sequence.fastq ./D25-213028-7224E/250728San_D25-213028_2_sequence.fastq D25-213028-7224E_guide_split_BARCODES
29 ./D25-213029-7224E/250728San_D25-213029_1_sequence.fastq ./D25-213029-7224E/250728San_D25-213029_2_sequence.fastq D25-213029-7224E_guide_split_BARCODES
30 ./D25-213030-7224E/250728San_D25-213030_1_sequence.fastq ./D25-213030-7224E/250728San_D25-213030_2_sequence.fastq D25-213030-7224E_guide_split_BARCODES
31 ./D25-213031-7224E/250728San_D25-213031_1_sequence.fastq ./D25-213031-7224E/250728San_D25-213031_2_sequence.fastq D25-213031-7224E_guide_split_BARCODES
32 ./D25-213032-7224E/250728San_D25-213032_1_sequence.fastq ./D25-213032-7224E/250728San_D25-213032_2_sequence.fastq D25-213032-7224E_guide_split_BARCODES
33 ./D25-213033-7224E/250728San_D25-213033_1_sequence.fastq ./D25-213033-7224E/250728San_D25-213033_2_sequence.fastq D25-213033-7224E_guide_split_BARCODES
34 ./D25-213034-7224E/250728San_D25-213034_1_sequence.fastq ./D25-213034-7224E/250728San_D25-213034_2_sequence.fastq D25-213034-7224E_guide_split_BARCODES
35 ./D25-213035-7224E/250728San_D25-213035_1_sequence.fastq ./D25-213035-7224E/250728San_D25-213035_2_sequence.fastq D25-213035-7224E_guide_split_BARCODES
36 ./D25-213036-7224E/250728San_D25-213036_1_sequence.fastq ./D25-213036-7224E/250728San_D25-213036_2_sequence.fastq D25-213036-7224E_guide_split_BARCODES
37 ./D25-213037-7224E/250728San_D25-213037_1_sequence.fastq ./D25-213037-7224E/250728San_D25-213037_2_sequence.fastq D25-213037-7224E_guide_split_BARCODES
38 ./D25-213038-7224E/250728San_D25-213038_1_sequence.fastq ./D25-213038-7224E/250728San_D25-213038_2_sequence.fastq D25-213038-7224E_guide_split_BARCODES
39 ./D25-213039-7224E/250728San_D25-213039_1_sequence.fastq ./D25-213039-7224E/250728San_D25-213039_2_sequence.fastq D25-213039-7224E_guide_split_BARCODES
40 ./D25-213040-7224E/250728San_D25-213040_1_sequence.fastq ./D25-213040-7224E/250728San_D25-213040_2_sequence.fastq D25-213040-7224E_guide_split_BARCODES
41 ./D25-213041-7224E/250728San_D25-213041_1_sequence.fastq ./D25-213041-7224E/250728San_D25-213041_2_sequence.fastq D25-213041-7224E_guide_split_BARCODES
42 ./D25-213042-7224E/250728San_D25-213042_1_sequence.fastq ./D25-213042-7224E/250728San_D25-213042_2_sequence.fastq D25-213042-7224E_guide_split_BARCODES
43 ./D25-213043-7224E/250728San_D25-213043_1_sequence.fastq ./D25-213043-7224E/250728San_D25-213043_2_sequence.fastq D25-213043-7224E_guide_split_BARCODES
44 ./D25-213044-7224E/250728San_D25-213044_1_sequence.fastq ./D25-213044-7224E/250728San_D25-213044_2_sequence.fastq D25-213044-7224E_guide_split_BARCODES
45 ./D25-213045-7224E/250728San_D25-213045_1_sequence.fastq ./D25-213045-7224E/250728San_D25-213045_2_sequence.fastq D25-213045-7224E_guide_split_BARCODES
46 ./D25-213046-7224E/250728San_D25-213046_1_sequence.fastq ./D25-213046-7224E/250728San_D25-213046_2_sequence.fastq D25-213046-7224E_guide_split_BARCODES
47 ./D25-213047-7224E/250728San_D25-213047_1_sequence.fastq ./D25-213047-7224E/250728San_D25-213047_2_sequence.fastq D25-213047-7224E_guide_split_BARCODES
48 ./D25-213048-7224E/250728San_D25-213048_1_sequence.fastq ./D25-213048-7224E/250728San_D25-213048_2_sequence.fastq D25-213048-7224E_guide_split_BARCODES
49 ./D25-213049-7224E/250728San_D25-213049_1_sequence.fastq ./D25-213049-7224E/250728San_D25-213049_2_sequence.fastq D25-213049-7224E_guide_split_BARCODES
