gRNA_id,Gene,classification,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,LFC_avg_CBE_ABEMA,LFC_median_CBE_ABEMA,base_RPM,base_RAW,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,LFC_avg_CBE_ATIRMO,LFC_median_CBE_ATIRMO,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,LFC_avg_CBE_INX,LFC_median_CBE_INX,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,LFC_avg_CBE_PALBO,LFC_median_CBE_PALBO,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3,LFC_avg_CBE_RIBO,LFC_median_CBE_RIBO,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,LFC_avg_CBE_TAGTO,LFC_median_CBE_TAGTO,p_CBE_ABEMA,FDR_CBE_ABEMA,p_CBE_ATIRMO,FDR_CBE_ATIRMO,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_INX,FDR_CBE_INX,p_CBE_PALBO,FDR_CBE_PALBO,p_CBE_RIBO,FDR_CBE_RIBO,p_CBE_T0,FDR_CBE_T0,p_CBE_TAGTO,FDR_CBE_TAGTO
gRNA_CDK4_targ_7651,CDK4,targeting,0.05162259206550885,0.4251645569734779,0.519844312270564,0.3322104871031836,0.4251645569734779,514.9299660926982,3601.0,1.2358433647143074,0.26012180076700386,0.3330478890805678,0.6096710181872931,0.3330478890805678,0.4647521172087162,-0.16287811690117984,0.29662394531797964,0.1994993152085053,0.29662394531797964,0.604003109976703,-0.09551906560649183,1.514781505499841,0.674421849956684,0.604003109976703,0.05968171852549744,-0.46861228694550605,0.4986665341654793,0.02991198858182355,0.05968171852549744,0.29700390221223044,0.31784119558541807,0.5269685054778152,0.3806045344251546,0.31784119558541807,0.4105664171676307,0.056763502976008275,-0.45386676521875857,0.004487718308293476,0.056763502976008275,-1.5078087590618712,0.3608999123104667,0.3236498367944849,-0.2744196699856398,0.3236498367944849,0.06339310341595557,0.22957458676894194,0.07866255543358525,0.4280365078131698,0.09954940789656339,0.2964907298143081,0.00021759579015256039,0.0033656171280606302,0.4036002020528499,0.9999999803254236,0.05195937517432056,0.21076658312132482,0.15737076814393908,0.3841425092599103,0.2563398281376005,0.6389193005538084
gRNA_CDK4_targ_7652,CDK4,targeting,0.7968350450326217,1.1344722597317118,0.6471323884949522,0.8594798977530953,0.7968350450326217,561.6897825082252,3928.0,0.6516923885926055,0.8675355879230512,0.731967253006566,0.7503984098407409,0.731967253006566,0.7926363695749552,0.1819518602369596,0.11691647693265647,0.36383490224819043,0.1819518602369596,-0.16210542382489893,0.6869415939848421,-0.8553074118737636,-0.11015708057127345,-0.16210542382489893,0.2366451224617821,-1.1210950386578507,0.6441485189868924,-0.08010046573639207,0.2366451224617821,0.9619315091499907,1.0167787734287583,0.6338779691641645,0.8708627505809711,0.9619315091499907,0.6041015612581795,0.5989195497792988,0.1559155661312537,0.4529788923895774,0.5989195497792988,0.09664133853905901,0.033942782088082865,-0.67946381997096,-0.1829598997812727,0.033942782088082865,0.003273899416812002,0.028668272671025733,0.05808075834264725,0.35601353724844886,0.029193922056454324,0.12170262217489146,0.16081809409070458,0.403263554121388,0.3785597070056749,0.9999999803254236,0.0032790201353090436,0.029968004006547866,0.007886588785122899,0.04183430910057179,0.37317608270518177,0.7662610631229229
gRNA_CDK4_targ_7653,CDK4,targeting,0.665641579253385,1.9320942784579902,0.7891595021479278,1.128965119953101,0.7891595021479278,331.7516027034324,2320.0,1.0887997387960604,0.4916818939407553,0.6194898242015535,0.7333238189794563,0.6194898242015535,0.5709511380429435,1.0998369184507786,1.6346590427429577,1.10181569974556,1.0998369184507786,1.1707388229277707,1.038640078636642,1.4319709289055391,1.2137832768233172,1.1707388229277707,1.39544353032865,0.650195269830767,1.0146585286668104,1.0200991096087426,1.0146585286668104,0.6392004664276296,1.6597676709576914,0.5957971331201593,0.9649217568351602,0.6392004664276296,0.7444906653936005,-0.2591229577396495,1.3463884292478878,0.6105853789672796,0.7444906653936005,0.6747264644106579,0.6504105184738669,0.8287480421876731,0.7179616750240659,0.6747264644106579,5.820585763327889e-05,0.0008600954855631836,0.051304430276771194,0.3329758121884562,4.681838674833408e-06,0.00013593759661139105,9.454349286014351e-07,4.889671271360557e-05,0.008177592121813954,0.08731558039743287,0.0014953510867654748,0.018064277726984386,0.00010455904008321017,0.0013109485707402488,0.022886861377911114,0.14912502197024763
gRNA_CDK4_targ_7654,CDK4,targeting,0.20622974826476387,0.08248903378839381,0.3279562083188395,0.20555833012399907,0.20622974826476387,601.01378713902,4203.0,-0.02588343679305368,-0.6809795012643044,-0.9988732774582239,-0.568578738505194,-0.6809795012643044,-0.7126782679778951,-1.0785720012614823,-0.4576120739836243,-0.7496207810743339,-0.7126782679778951,-0.36286084712423305,-0.36046698006548106,-0.9261781074723957,-0.5498353115540366,-0.36286084712423305,-0.7888965334144623,-0.7626595641737346,0.06350345995670412,-0.49601754587716423,-0.7626595641737346,-1.7139215149099682,-0.31260790149835893,0.2617611024108389,-0.5882561046658296,-0.31260790149835893,-0.1501969698121514,-0.4023643634923976,-0.0033488325469572294,-0.18530338861716877,-0.1501969698121514,-1.686946060398446,-0.5151429869390644,-1.0957722262843117,-1.099287091207274,-1.0957722262843117,0.10020505090433213,0.3146311929423793,0.41102399040855775,0.9130801397666618,0.2214555967550837,1.0,0.6109457905498903,0.8922254468078212,0.40636461854942285,0.9289135962697442,0.18189495006430975,0.6259190142864123,0.4142006432582341,0.7309014735343384,0.32644189729280654,0.9999999815069656
gRNA_CDK4_targ_7655,CDK4,targeting,-0.6372593468043778,-0.13898369833772445,0.3675198871549457,-0.13624105266238554,-0.13898369833772445,536.8084123054678,3754.0,-0.16192357043356842,0.6424732641743918,-1.3367722820698373,-0.2854075294430047,-0.16192357043356842,0.06114269647988022,0.05664781959164173,0.11000044374053455,0.07593031993735216,0.06114269647988022,0.5492835228601463,-0.7612136000957505,0.6475800593807629,0.1452166607150529,0.5492835228601463,-0.14388220378674915,-0.7165299297867583,0.025878635232845407,-0.27817783278022074,-0.14388220378674915,-0.15913269630903834,0.23409570599189844,0.8439250196532346,0.30629600977869825,0.23409570599189844,0.10475784812875606,-0.5721217922871323,0.009561877482390329,-0.15260068889199532,0.009561877482390329,-1.4090286945690074,-0.40108991047050313,-0.855784557478603,-0.888634387506038,-0.855784557478603,0.28524518044697217,0.6449190896717745,0.45865663440189197,1.0,0.16736170342948237,0.42474216305833284,0.07483582753474974,0.24261470777046512,0.5983828095101507,0.9999999803254236,0.09059821190963217,0.3238445803681237,0.3433808122456007,0.6554731767779344,0.4690797573607597,0.9999999815069656
gRNA_CDK4_targ_7656,CDK4,targeting,1.0178645254519034,1.2933854725371419,0.37279484915777095,0.8946816157156054,1.0178645254519034,463.30827274100034,3240.0,1.18631971647614,1.062176700625727,1.099134769335759,1.1158770621458753,1.099134769335759,0.5573511055452193,0.920403667649012,0.3719657225859662,0.6165734985933992,0.5573511055452193,-0.9558714186595331,1.1682809479335399,0.8330342421127246,0.3484812571289105,0.8330342421127246,0.7362175750663607,1.4412590676454153,0.9205713562937226,1.032682666335166,0.9205713562937226,0.671420329294317,1.0585904382762596,0.8698055437511159,0.8666054371072308,0.8698055437511159,0.5172619916293588,0.41540672733691225,-0.18304927275479244,0.24987314873715952,0.41540672733691225,0.7274768174077705,0.35517942327996466,0.7363538464539734,0.6063366957139028,0.7274768174077705,0.0016446438697419947,0.016496276390442433,0.011778091479263642,0.14436470489934994,0.0048872640326665,0.033154223412670686,0.005897525389247095,0.04135764626781332,0.006564176295896535,0.07759794121220547,0.0032292049944766116,0.029779016265874227,0.03999787924066753,0.13995029628605657,0.028916392570560563,0.17382055297491997
gRNA_CDK4_targ_7657,CDK4,targeting,3.0949304433297127,3.1164918772083934,2.78504367035813,2.9988219969654124,3.0949304433297127,659.6423031340231,4613.0,1.4381282396262356,1.762726826891458,2.407322999191391,1.869392688569695,1.762726826891458,0.4174005262622689,1.0948216251759235,1.1924661676148143,0.9015627730176689,1.0948216251759235,-0.3601950677055504,-0.17014186462477784,-0.14219284525439232,-0.22417659252824018,-0.17014186462477784,1.6632196098917464,2.272928598544927,1.3519741014833488,1.7627074366400075,1.6632196098917464,1.8181874591941511,2.394424374599377,1.2327190400875,1.815110291293676,1.8181874591941511,0.6261018197598546,0.8852875276133269,0.4701485199264379,0.6605126224332064,0.6261018197598546,0.12841207127883345,-0.0016301809218303507,-0.1408764608110439,-0.0046981901513469355,-0.0016301809218303507,4.1025318572854354e-10,2.121778194939811e-08,7.95784550505241e-06,0.0003292558577715435,0.0002080563540689981,0.002918078525289762,0.38625717292935474,0.6851614375113421,1.5609948328892136e-06,0.0001722297632287772,2.517006890533684e-08,4.165646403833247e-06,0.0017735109321604656,0.013958543492737077,0.29058357072344926,0.6899796406704569
gRNA_CDK4_targ_7658,CDK4,targeting,3.733045225158657,3.6733684430537,3.0553465745866935,3.48725341426635,3.6733684430537,433.4220292215964,3031.0,2.713699525141754,3.271266677120672,3.6153004926608374,3.2000888983077544,3.271266677120672,0.5725789173430438,1.615503497663216,0.6079067702207774,0.9319963950756792,0.6079067702207774,-1.840719018758813,0.6988626208326206,0.24681765463051195,-0.2983462477652267,0.24681765463051195,2.0354083299888126,2.9515290822168274,2.1924628991306316,2.3931334371120907,2.1924628991306316,3.0508873278717052,2.9224554065623205,1.9372468464035226,2.6368631936125158,2.9224554065623205,0.7199755403286044,1.5208406871867008,1.0349227408342974,1.0919129894498676,1.0349227408342974,1.3347603158276853,0.8844305954175783,1.0222620725821694,1.0804843279424776,1.0222620725821694,4.1025318572854354e-10,2.121778194939811e-08,4.1025318572854354e-10,8.487112779759244e-08,4.773003509411687e-05,0.0008586218269648197,0.1229933649360837,0.34501328215021976,1.2458769901350105e-08,5.154816046683606e-06,4.1025318572854354e-10,3.394845111903698e-07,1.4987087740189272e-06,4.066168886887417e-05,0.0022900806941990445,0.03239387648631981
gRNA_CDK4_targ_7659,CDK4,targeting,1.7526709699303344,1.6265296445532011,1.1915967973124928,1.5235991372653428,1.6265296445532011,658.7843248511693,4607.0,1.4511917968645762,1.7292389749895485,1.3555398711322453,1.5119902143287902,1.4511917968645762,0.22295893631303557,0.5131019377128095,0.0652704766191812,0.26711045021500873,0.22295893631303557,-0.5803924046041273,0.5104913150199998,0.8486325089115669,0.25957713977581315,0.5104913150199998,0.30767860817915915,1.7337876452481886,0.07219860992975825,0.7045549544523687,0.30767860817915915,1.301695507287655,0.9544419119016374,0.7973707894389283,1.0178360695427402,0.9544419119016374,0.5839950582072252,0.2700268032979299,0.32716857238184954,0.3937301446290016,0.32716857238184954,0.905211119544619,0.24963871758434797,0.5312739853557958,0.5620412741615876,0.5312739853557958,3.1543218694041125e-08,9.849816403516614e-07,0.0013455981634016903,0.03050636932095613,0.06721961794343352,0.22259931621276852,0.03837247033478042,0.15524755284496136,0.01492489787037601,0.1313867339120867,0.0009247218818181515,0.012671843595637626,0.01663827076653889,0.07402241429737061,0.03924868520476004,0.20426595601848388
gRNA_CDK4_targ_7660,CDK4,targeting,-0.0026419721118897577,0.4938453581294585,0.2797295678104646,0.25697765127601113,0.2797295678104646,994.539826207919,6955.0,0.7109964958678654,0.2771609909468667,0.21860266830055775,0.40225338503842994,0.2771609909468667,0.3252788597652035,0.25199408965632514,0.4926849577605614,0.35665263572736333,0.3252788597652035,0.8366132064258336,0.541103080607061,-0.37196180428637415,0.3352514942488402,0.541103080607061,0.17881937420799845,-0.22786113719180617,-0.06059645799668139,-0.03654607366016304,-0.06059645799668139,0.35712824075014893,0.04857828725819772,0.33300687688978736,0.24623780163271136,0.33300687688978736,0.35761016105924887,0.0845644592406811,0.4104116050284779,0.2841954084428026,0.35761016105924887,0.563830314359013,0.5860527622434064,0.17939877767418513,0.4430939514255349,0.563830314359013,0.08788534257406241,0.29102786221257876,0.15865489394019353,0.6509907590785559,0.04871312563895315,0.17757758355169045,0.03610023582277862,0.1493278317712686,0.47044399080960675,0.9999999803254236,0.1286591401896497,0.4126567383989733,0.043696831774459155,0.15050608078982475,0.0644736037447436,0.2741639291339061
gRNA_CDK4_targ_7661,CDK4,targeting,0.3206874751426671,0.054449745160294834,0.8105706098245455,0.39523594337583584,0.3206874751426671,744.5821531365399,5207.0,0.39239561271963863,1.0248754567934604,0.32104869915161194,0.579439922888237,0.39239561271963863,0.1559979601917156,0.8969069949531396,0.3980364634676472,0.4836471395375008,0.3980364634676472,0.1045679291790687,0.4582092758877505,0.5630891218028078,0.375288775623209,0.4582092758877505,0.6039434306533112,-0.23876348809959433,0.5906577637132407,0.3186125687556525,0.5906577637132407,0.9146714873089262,0.6675344137957022,0.6446675798360071,0.742291160313545,0.6675344137957022,0.604938233023295,0.0672337583498546,0.44809514511318055,0.3734223788287767,0.44809514511318055,0.34580860482405823,0.193303648764494,-0.04799907438162025,0.1637043930689773,0.193303648764494,0.047003285191532566,0.18532245632960292,0.0865395775819123,0.4475718778064527,0.014156359594277261,0.07195514443450943,0.05394571753794384,0.19408730983760228,0.22320598741483777,0.771202315598239,0.005842208069222767,0.043164528368587855,0.0178817762135289,0.07686841463218268,0.17083795440062927,0.5079458217619347
gRNA_CDK4_targ_7662,CDK4,targeting,0.623592931043126,-0.35833767788512644,0.48293256812928437,0.24939594042909463,0.48293256812928437,545.2451987535292,3813.0,0.6592029785443572,-0.09698518661338709,0.6373340505991288,0.3998506141766997,0.6373340505991288,0.2339830223656008,0.31004413846431633,0.7165283494522423,0.42018517009405315,0.31004413846431633,0.14947029075346757,0.7009591063572834,0.47107372792644775,0.44050104167906623,0.47107372792644775,0.3877950409031168,0.5993493518273311,0.2360182129589603,0.4077208685631361,0.3877950409031168,0.9596544679555928,0.6428725471811073,0.15895014930536858,0.587159054814023,0.6428725471811073,0.505266112515556,0.1227296716872207,0.5358392694394759,0.38794501788075086,0.505266112515556,1.1587365054394867,0.7838096958795505,1.2897949370936768,1.0774470461375714,1.1587365054394867,0.08971114319937008,0.2949451489457574,0.1598943679610955,0.653395503643489,0.026501531190020286,0.11242922681283328,0.029648459265832594,0.13105474658312152,0.1880698536640744,0.7010261437253223,0.018776988629158206,0.09950009007405596,0.02006349749434356,0.08406351481807238,0.002332061619983252,0.032708152381968496
