gRNA_id,Plasmid,T0_REP1,T0_REP2,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,T0_REP3
gRNA_CDK7_targ_11,379.08807983023235,383.41863504951664,247.55753857430676,417.39195390023167,406.14637808682596,317.16414961745323,630.433284647065,325.55062385358366,589.4038312574964,941.0367175593493,358.7764234363887,580.940331280053,410.61223215748373,499.3334565338508,439.91125857714934,443.2234866313324,134.0292761654309,394.7810900705632,497.49288819496246,471.94071824167867,576.648077979061,317.7826031024055,322.3729546689416,365.1268818658148,334.7876630579933,516.4043026726177,408.14087553515014,420.16794921809725,367.6507202601471,386.6981024451458,1273.6865928639854
gRNA_CDK7_targ_12,438.4098364859963,918.8147074581549,925.7799755552098,428.3783976506384,423.0767525089693,765.6825918779598,670.2026507498821,409.64684707269026,506.87774816232286,285.83937340232853,791.5234295614013,509.73823536543483,318.71009597457413,476.123417209692,373.3927128532445,560.8661008274687,274.6248281084189,197.06085431343791,400.2023858749512,545.3523173374042,642.1874441326075,278.31839488504335,558.9608647041961,392.06966800890393,606.9619432534357,469.3006610131633,256.66072320952725,452.13928492620335,303.71476994195365,389.7022474046469,384.07480095908227
gRNA_CDK7_targ_13,619.9378048987726,625.7129184895942,726.4471985702671,573.385518863724,605.0326255358567,739.5324264206903,511.64451139425137,861.202458243386,757.0548265427432,391.65985707668204,193.23382422660717,681.66669344403,692.437964373859,528.6025377026322,739.572571350885,543.6476381384088,675.1676505394041,399.0199707799823,483.20799276400203,577.2649196934499,447.5713520335713,591.9940029225747,496.29138123994244,578.5291126407102,659.8785632832906,486.11366605635004,568.3561197010973,450.0796381163107,514.9846937639034,537.3997033882192,432.27702168044544
gRNA_CDK7_targ_14,273.73399722805095,362.80804318418853,36.93751487447481,261.6771147824157,255.57300187016725,215.7244967996939,103.37301896965964,161.99148217433537,485.02636883378074,169.0343785544577,59.93399621457771,404.26901918549663,221.61495576178112,219.98230955234334,176.0227891226222,255.13710302201238,179.52970478873857,51.29045658397081,223.3761093100026,326.4419561163877,218.11332465890905,207.29517195864815,306.16093930776,158.58381253264275,403.32992376682114,177.55758564839167,139.33010688517194,164.91217525572154,261.17949740565246,160.55063315207056,807.8346568782625
gRNA_CDK7_targ_15,381.5480382806859,250.71655187673989,141.90890932294408,320.69731260436834,320.71190007061716,166.87253935204777,271.66166989408964,158.6471418971878,215.9680015189891,61.76139753484572,281.55928333199915,295.00551979278947,150.73746832688596,448.2713700207014,326.21773108300533,133.54437091485642,183.701221165069,181.23569966494003,220.67234361329085,452.389519169793,262.0872187769371,230.39315924079756,262.6459661393527,372.0409165990719,338.610958117742,417.70447549601516,516.3050374591652,412.959185383473,285.1649817402423,289.5767578050728,145.03869231140015
gRNA_CDK7_targ_16,286.3730940941742,288.71947043241124,230.42914168446242,488.2580001634263,478.25046884615455,194.1434261860573,126.6333148827163,473.78153926257227,98.01298300763553,241.75002690146124,221.94357706014358,145.1906185636136,272.30990321026457,204.93243142215192,323.0484465934217,78.90107314575134,280.9593529761799,138.84689257074928,168.66991671320147,224.27117386975937,250.88300773568236,252.19420071298666,286.21421883719614,305.0406276363187,356.12054128992435,200.70099340014676,306.05173633136064,246.40865471079144,200.3605196951236,254.47769707571206,291.8672238045155
gRNA_CDK7_targ_17,287.89996485652466,192.75354186345018,31.660727035264124,296.42493687672544,318.62495098930515,255.43826456007446,286.44876753094474,182.85877202862073,263.7546344680581,479.7780293556976,390.9555366455964,232.04413273090393,482.75288273478304,221.35048029145165,321.00844738173566,458.41624782756173,558.3651920021525,62.40574377755861,367.6220092295746,424.63943016453595,336.5829291797625,408.6923284481914,332.1058225297557,312.7777617425826,168.88990350889833,224.9335026931609,300.80349185116586,193.23231889174525,336.06286371174116,222.53488991139673,92.57788870940436
gRNA_CDK7_targ_18,404.39454894696667,570.8312261970345,472.31483878453736,425.2427318867803,434.26801695750476,478.66297365025997,670.6399771125248,485.4867302325888,412.20611684812945,209.2806591626619,41.88695646223275,349.6076266515433,304.11354410679377,307.54523685527516,444.8655423769583,1770.5137472712534,465.5875777804335,58.68494848817965,215.49012602792666,293.83560153521057,347.43591103477104,350.1753686892701,455.6906097856743,320.29540268271137,347.033289263855,384.418809641285,406.2356908950795,455.65004653397483,456.6364870228646,328.13628931056775,542.3829906521637
gRNA_CDK7_targ_19,386.89208594891244,646.9397738990683,505.188944841652,424.7549616568468,418.4593776665666,554.9582366052603,199.8854806253625,316.5278724808626,323.2625170084082,1072.457466943884,157.07608673337282,322.5733587605642,260.15546675113205,403.36605183353936,455.24768122214607,387.4154105038497,86.82934087028492,2676.758970649048,354.4636828389107,452.07417724927876,315.86040719123497,363.731540369569,318.60995633903383,402.3858468172558,380.99966421495566,594.2750628726408,473.38446273757205,519.6863382597277,476.0985598902339,389.0938129824695,541.9509605048532
gRNA_CDK7_targ_20,386.7789844109605,344.3201368598079,782.1779792250323,338.58222103526305,349.2770156210747,264.9212915940293,353.1683707316161,206.4781752359754,595.9274226589788,154.23706184963677,134.41384281155692,442.44899401398465,225.88164015390154,260.68538904081555,285.6727467507457,280.55965675703624,358.827658667681,265.6365244569287,192.14761551298184,318.11692941481056,334.7916603299068,302.9912449364302,413.8449366282788,300.5410177305482,654.7254264636293,221.08761287558985,282.8659987305,245.05116022245306,255.97187243918845,248.24124424839334,371.6076452795491
