Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,100.0,0.0,184,184,11,11,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_28_33
Reference,0.021777,99.978223,4773,4764,4592,1,4591,0,121,263,4590,1,0,4207,0,120,263,0,gRNA_CDK7_targ_29_34
HDR,0.0,100.0,4773,4764,153,0,153,0,0,0,153,0,0,153,0,0,0,0,gRNA_CDK7_targ_29_34
Reference,0.04003203,99.95996797,4773,4764,2498,1,2497,0,121,261,2496,1,0,2115,0,120,261,0,gRNA_CDK7_targ_29_35
HDR,0.0,100.0,4773,4764,2253,0,2253,0,0,2,2253,0,0,2251,0,0,2,0,gRNA_CDK7_targ_29_35
Reference,0.02977963,99.97022037,4773,4764,3358,1,3357,0,121,261,3356,1,0,2975,0,120,261,0,gRNA_CDK7_targ_29_36
HDR,0.0,100.0,4773,4764,1399,0,1399,0,0,2,1399,0,0,1397,0,0,2,0,gRNA_CDK7_targ_29_36
Reference,0.25773196,99.74226804,4773,4764,388,1,387,0,120,258,387,0,0,9,0,120,258,0,gRNA_CDK7_targ_29_37
HDR,46.96170603,53.03829397,4773,4764,4361,2048,2313,0,0,5,2310,0,3,2308,0,0,2,0,gRNA_CDK7_targ_29_37
Reference,0.03984064,99.96015936,4773,4764,2510,1,2509,0,121,261,2508,1,0,2127,0,120,261,0,gRNA_CDK7_targ_29_38
HDR,0.0,100.0,4773,4764,161,0,161,0,0,0,161,0,0,161,0,0,0,0,gRNA_CDK7_targ_29_38
Reference,0.03109453,99.96890547,4773,4764,3216,1,3215,0,121,261,3214,1,0,2833,0,120,261,0,gRNA_CDK7_targ_29_39
HDR,0.0,100.0,4773,4764,9,0,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_CDK7_targ_29_39
Reference,0.24813896,99.75186104,4773,4764,403,1,402,0,121,258,401,1,0,23,0,120,258,0,gRNA_CDK7_targ_29_40
HDR,0.58139535,99.41860465,4773,4764,172,1,171,0,0,0,171,0,0,171,0,0,0,0,gRNA_CDK7_targ_29_40
Reference,0.03984064,99.96015936,4773,4764,2510,1,2509,0,121,261,2508,1,0,2127,0,120,261,0,gRNA_CDK7_targ_29_41
HDR,0.0,100.0,4773,4764,1402,0,1402,0,0,2,1402,0,0,1400,0,0,2,0,gRNA_CDK7_targ_29_41
Reference,0.24937656,99.75062344,4773,4764,401,1,400,0,120,258,400,0,0,22,0,120,258,0,gRNA_CDK7_targ_29_42
HDR,30.26140895,69.73859105,4773,4764,2257,683,1574,0,0,2,1574,0,0,1572,0,0,2,0,gRNA_CDK7_targ_29_42
Reference,0.24813896,99.75186104,4773,4764,403,1,402,0,121,258,401,1,0,23,0,120,258,0,gRNA_CDK7_targ_29_43
HDR,0.07112376,99.92887624,4773,4764,1406,1,1405,0,0,2,1405,0,0,1403,0,0,2,0,gRNA_CDK7_targ_29_43
Reference,0.03115265,99.96884735,4773,4764,3210,1,3209,0,121,261,3208,1,0,2827,0,120,261,0,gRNA_CDK7_targ_29_44
HDR,0.0,100.0,4773,4764,1546,0,1546,0,0,2,1546,0,0,1544,0,0,2,0,gRNA_CDK7_targ_29_44
Reference,0.0400641,99.9599359,4773,4764,2496,1,2495,0,121,261,2494,1,0,2113,0,120,261,0,gRNA_CDK7_targ_29_45
HDR,6.34709277,93.65290723,4773,4764,2253,143,2110,0,0,2,2110,0,0,2108,0,0,2,0,gRNA_CDK7_targ_29_45
Reference,0.0312989,99.9687011,4773,4764,3195,1,3194,0,121,261,3193,1,0,2812,0,120,261,0,gRNA_CDK7_targ_29_46
HDR,0.0,100.0,4773,4764,1547,0,1547,0,0,1,1547,0,0,1546,0,0,1,0,gRNA_CDK7_targ_29_46
Reference,0.03995206,99.96004794,4773,4764,2503,1,2502,0,121,261,2501,1,0,2120,0,120,261,0,gRNA_CDK7_targ_29_47
HDR,60.00887705,39.99112295,4773,4764,2253,1352,901,0,0,2,900,0,1,899,0,0,1,0,gRNA_CDK7_targ_29_47
Reference,0.03984064,99.96015936,4773,4764,2510,1,2509,0,121,261,2508,1,0,2127,0,120,261,0,gRNA_CDK7_targ_29_48
HDR,0.25740026,99.74259974,4773,4764,1554,4,1550,0,0,2,1550,0,0,1548,0,0,2,0,gRNA_CDK7_targ_29_48
Reference,0.0,100.0,51,51,10,0,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_CDK7_targ_30_49
HDR,0.0,100.0,51,51,41,0,41,0,0,0,41,0,0,41,0,0,0,0,gRNA_CDK7_targ_30_49
Reference,,,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_30_50
HDR,4.16666667,95.83333333,51,51,48,2,46,0,0,0,46,0,0,46,0,0,0,0,gRNA_CDK7_targ_30_50
Reference,0.0,100.0,51,51,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_CDK7_targ_30_51
