Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,0.15515904,99.84484096,2779,2779,1289,2,1287,0,15,8,1287,0,0,1264,0,15,8,0,gRNA_CDK7_targ_20_28
Reference,39.08996898,60.91003102,2779,2779,967,378,589,0,0,0,589,0,0,589,0,0,0,0,gRNA_CDK7_targ_20_29
HDR,23.75628843,76.24371157,2779,2779,1789,425,1364,0,15,8,1364,0,0,1341,0,15,8,0,gRNA_CDK7_targ_20_29
Reference,38.49287169,61.50712831,2779,2779,982,378,604,0,0,0,604,0,0,604,0,0,0,0,gRNA_CDK7_targ_20_30
HDR,79.28902628,20.71097372,2779,2779,1294,1026,268,0,15,8,248,12,8,245,0,3,0,0,gRNA_CDK7_targ_20_30
Reference,32.82442748,67.17557252,3514,3499,131,43,88,0,1,1,87,0,0,87,1,0,0,0,gRNA_CDK7_targ_23_31
HDR,46.83544304,53.16455696,3514,3499,2844,1332,1512,0,8,12,1504,0,0,1500,8,0,4,0,gRNA_CDK7_targ_23_31
Reference,22.22222222,77.77777778,3139,3134,18,4,14,0,0,0,14,0,0,14,0,0,0,0,gRNA_CDK7_targ_24_32
HDR,29.099068,70.900932,3139,3134,2897,843,2054,0,420,10,1699,355,0,1624,0,65,10,0,gRNA_CDK7_targ_24_32
Reference,15.74344023,84.25655977,1057,1057,1029,162,867,0,0,0,867,0,0,867,0,0,0,0,gRNA_CDK7_targ_28_33
HDR,10.52631579,89.47368421,1057,1057,19,2,17,0,0,0,17,0,0,17,0,0,0,0,gRNA_CDK7_targ_28_33
Reference,1.41267123,98.58732877,3343,3267,2336,33,2303,0,2,7,2296,1,5,2295,1,0,1,0,gRNA_CDK7_targ_29_34
HDR,0.0,100.0,3343,3267,754,0,754,0,0,1,754,0,0,753,0,0,1,0,gRNA_CDK7_targ_29_34
Reference,3.78006873,96.21993127,3343,3267,873,33,840,0,2,7,833,1,5,832,1,0,1,0,gRNA_CDK7_targ_29_35
HDR,0.0,100.0,3343,3267,2222,0,2222,0,0,1,2222,0,0,2221,0,0,1,0,gRNA_CDK7_targ_29_35
Reference,1.44104803,98.55895197,3343,3267,2290,33,2257,0,2,4,2255,1,0,2252,1,0,3,0,gRNA_CDK7_targ_29_36
HDR,0.12484395,99.87515605,3343,3267,801,1,800,0,0,0,800,0,0,800,0,0,0,0,gRNA_CDK7_targ_29_36
Reference,47.82608696,52.17391304,3343,3267,69,33,36,0,0,0,36,0,0,36,0,0,0,0,gRNA_CDK7_targ_29_37
HDR,0.09920635,99.90079365,3343,3267,3024,3,3021,0,0,3,3020,0,1,3018,0,0,2,0,gRNA_CDK7_targ_29_37
Reference,6.76229508,93.23770492,3343,3267,488,33,455,0,2,7,448,1,5,447,1,0,1,0,gRNA_CDK7_targ_29_38
HDR,0.79575597,99.20424403,3343,3267,377,3,374,0,0,0,374,0,0,374,0,0,0,0,gRNA_CDK7_targ_29_38
Reference,2.12355212,97.87644788,3343,3267,1554,33,1521,0,2,8,1514,1,5,1512,1,0,2,0,gRNA_CDK7_targ_29_39
HDR,0.0,100.0,3343,3267,14,0,14,0,0,0,14,0,0,14,0,0,0,0,gRNA_CDK7_targ_29_39
Reference,44.59459459,55.40540541,3343,3267,74,33,41,0,2,7,33,1,6,33,1,0,0,0,gRNA_CDK7_targ_29_40
HDR,41.26149803,58.73850197,3343,3267,761,314,447,0,0,2,445,0,2,445,0,0,0,0,gRNA_CDK7_targ_29_40
Reference,7.03624733,92.96375267,3343,3267,469,33,436,0,2,8,429,1,5,427,1,0,2,0,gRNA_CDK7_targ_29_41
HDR,0.0,100.0,3343,3267,394,0,394,0,0,0,394,0,0,394,0,0,0,0,gRNA_CDK7_targ_29_41
Reference,45.83333333,54.16666667,3343,3267,72,33,39,0,1,5,33,1,5,33,0,0,0,0,gRNA_CDK7_targ_29_42
HDR,52.69784173,47.30215827,3343,3267,2224,1172,1052,0,0,2,1051,0,1,1050,0,0,1,0,gRNA_CDK7_targ_29_42
Reference,44.0,56.0,3343,3267,75,33,42,0,1,6,36,0,5,36,1,0,0,0,gRNA_CDK7_targ_29_43
HDR,38.75776398,61.24223602,3343,3267,805,312,493,0,0,0,493,0,0,493,0,0,0,0,gRNA_CDK7_targ_29_43
Reference,1.41085934,98.58914066,3343,3267,2339,33,2306,0,2,9,2299,1,5,2296,1,0,3,0,gRNA_CDK7_targ_29_44
HDR,0.0,100.0,3343,3267,748,0,748,0,0,0,748,0,0,748,0,0,0,0,gRNA_CDK7_targ_29_44
Reference,6.7761807,93.2238193,3343,3267,487,33,454,0,2,7,446,1,6,446,1,0,0,0,gRNA_CDK7_targ_29_45
HDR,9.95024876,90.04975124,3343,3267,2613,260,2353,0,0,2,2353,0,0,2351,0,0,2,0,gRNA_CDK7_targ_29_45
Reference,2.12903226,97.87096774,3343,3267,1550,33,1517,0,2,8,1509,1,6,1508,1,0,1,0,gRNA_CDK7_targ_29_46
HDR,0.0,100.0,3343,3267,1542,0,1542,0,0,1,1542,0,0,1541,0,0,1,0,gRNA_CDK7_targ_29_46
Reference,7.06638116,92.93361884,3343,3267,467,33,434,0,2,7,427,1,5,426,1,0,1,0,gRNA_CDK7_targ_29_47
HDR,11.45793681,88.54206319,3343,3267,2627,301,2326,0,0,1,2326,0,0,2325,0,0,1,0,gRNA_CDK7_targ_29_47
Reference,40.74074074,59.25925926,3343,3267,81,33,48,0,2,8,40,1,6,39,1,0,1,0,gRNA_CDK7_targ_29_48
HDR,0.65963061,99.34036939,3343,3267,758,5,753,0,0,0,753,0,0,753,0,0,0,0,gRNA_CDK7_targ_29_48
Reference,0.34722222,99.65277778,925,925,864,3,861,0,0,0,861,0,0,861,0,0,0,0,gRNA_CDK7_targ_30_49
HDR,0.0,100.0,925,925,58,0,58,0,0,0,58,0,0,58,0,0,0,0,gRNA_CDK7_targ_30_49
Reference,37.5,62.5,925,925,8,3,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_CDK7_targ_30_50
HDR,45.54794521,54.45205479,925,925,292,133,159,0,0,0,159,0,0,159,0,0,0,0,gRNA_CDK7_targ_30_50
