gRNA_id,Gene,classification,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,base_RPM,base_RAW,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_CBE_T0,FDR_CBE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK19_targ_6420,CDK19,targeting,-5.029691850426932,-4.891605542200448,-3.6009698095913505,-4.507422400739578,-4.891605542200448,85.82374512973881,2451.0,4.2375118325167875,-3.2633138450282266,-4.814431626912698,-1.2800778798080457,-3.2633138450282266,-0.14581679379037935,-1.2144456991519976,-4.873138102941848,-2.077800198628075,-1.2144456991519976,0.5331395824073566,0.5331395824073566,0.5331395824073566,0.1607925589839193,0.990548116525694,0.0036502086449632085,0.11454102989367311,0.01422321909036869,0.3874425601515794,0.49065093490650946,0.7700974088637649
gRNA_CDK19_targ_6421,CDK19,targeting,-5.604761057664112,-3.707182064495592,-2.7365540252333194,-4.0161657157976745,-3.707182064495592,434.2660494080053,12402.0,-2.255387599790028,-2.292834824420813,-2.7676064191970147,-2.4386096144692853,-2.292834824420813,-0.2304454033214731,-1.109928738271578,-0.14866896162360238,-0.49634770107221776,-0.2304454033214731,0.02395456400953846,0.02395456400953846,0.02395456400953846,0.2203745868629281,0.9518266294069158,0.53327921962525,0.9999995379539554,0.32253766890002794,0.8779017156850142,0.16228377162283772,0.414826494878602
gRNA_CDK19_targ_6422,CDK19,targeting,-4.989002720761803,-2.194634704591423,-1.4791085230980823,-2.887581982817103,-2.194634704591423,245.7535491045829,8940.0,1.311088023336123,-2.0457156882878773,-2.3330852603105052,-1.02257097508742,-2.0457156882878773,-0.18157918559462136,-0.5600384527040833,0.41285765582929823,-0.10958666082313546,-0.18157918559462136,0.5006043861944318,0.5006043861944318,0.5006043861944318,0.3435253338663948,0.8485521518631043,0.1748984788027995,0.9135992410560563,0.5943751632745446,0.9907037613396776,0.49065093490650946,0.7700974088637649
gRNA_CDK19_targ_6423,CDK19,targeting,-2.4321921218940337,-3.4549045493447115,-4.714078617277586,-3.5337250961721103,-3.4549045493447115,587.5272550242992,16448.0,0.6025695984451205,-3.7370668125875306,-2.198418430130421,-1.7776385480909436,-2.198418430130421,-1.4148854579494792,-1.000878649122876,0.2634589288303632,-0.7174350594139973,-1.000878649122876,-0.7455367548438271,-0.7455367548438271,-0.7455367548438271,0.44462850732818027,0.9310122655226069,0.3443963836554009,0.9999995379539554,0.18304195183493033,0.7630464641739073,0.007299270072992699,0.0740780940493311
gRNA_CDK19_targ_6424,CDK19,targeting,-0.5978310274878967,-2.2413836819735087,-3.0556932019923173,-1.9649693038179077,-2.2413836819735087,42.33411173474265,1209.0,-0.4031770315892421,0.6861908030306361,-3.811845105013048,-1.1762771111905514,-0.4031770315892421,1.2589585548439384,1.560260950783347,0.44332331581017714,1.0875142738124874,1.2589585548439384,2.2048532423640896,2.2048532423640896,2.2048532423640896,0.11195046745125407,0.6643957932529617,0.17030294172982188,0.9100198432394845,0.011262441540125012,0.5090497749013773,0.026797320267973195,0.8814058353200822
gRNA_CDK19_targ_6425,CDK19,targeting,-6.084778668517589,-5.16769514363148,-5.753035798421248,-5.668503203523439,-5.753035798421248,118.45101153150424,4309.0,-3.6670570360273476,-4.5462223278427825,-5.195632879354371,-4.469637414408168,-4.5462223278427825,0.1183216796172717,-1.5227026878106826,-0.7393123311945792,-0.7145644464626634,-0.7393123311945792,0.4866662648248581,0.4866662648248581,0.4866662648248581,0.0044565690160641375,0.4055477804618365,0.05630132821634699,0.548187329359555,0.18522148703502042,0.7661434236448572,0.49585041495850424,0.7700974088637649
gRNA_CDK19_targ_6426,CDK19,targeting,7.821388702808513,0.47618949011208295,-2.381038995168849,1.9721797325839159,0.47618949011208295,463.0282752927958,16844.0,-2.6740710477233716,-2.4929856063077773,-0.023451909326862114,-1.730169521119337,-2.4929856063077773,-0.16830096839329228,-1.5574373473978391,0.9826232070118655,-0.24770503625975535,-0.16830096839329228,-0.31251253198368073,-0.31251253198368073,-0.31251253198368073,3.906269340700167e-05,0.009694650272828596,0.41542456567446134,0.9999995379539554,0.33226424718903136,0.9045505870680604,0.032496750324967495,0.15295884204682977
gRNA_CDK19_targ_6427,CDK19,targeting,-4.7070430488459305,0.4947387395443479,-1.0640917960323888,-1.7587987017779907,-1.0640917960323888,189.31751286653613,6027.0,-2.292213228922644,-5.440853219125029,-5.201723556735765,-4.311596668261146,-5.201723556735765,-2.221733630751301,-0.8312114977577225,-0.22850939562502795,-1.0938181747113505,-0.8312114977577225,0.8291193866780705,0.8291193866780705,0.8291193866780705,0.021616492122500365,0.3972502428229547,0.04639258397455212,0.515696355648362,0.08121799627561284,0.6263421746678617,0.32536746325367455,0.8543707354826702
gRNA_CDK19_targ_6428,CDK19,targeting,-5.294432279632179,-5.788848393963274,-3.586736752569577,-4.890005808721677,-5.294432279632179,190.06763886091292,5321.0,-5.527770567938116,-3.77290617571333,-1.2671156873216172,-3.5225974769910215,-3.77290617571333,-0.7533540645895646,-0.411376627950509,0.1584019743724659,-0.33544290605586924,-0.411376627950509,0.7912235857140093,0.7912235857140093,0.7912235857140093,0.05904756607994695,0.8529092878214558,0.1027405316283751,0.6374582985124182,0.40654856323478206,0.9233590496097795,0.3415658434156584,0.8492197544534633
gRNA_CDK19_targ_6429,CDK19,targeting,-3.8820883337918364,-4.060966965329117,-2.5099922480023564,-3.484349182374437,-3.8820883337918364,547.4751324347733,17527.0,-1.6741858648991308,-2.059294979472885,-1.2930897439101827,-1.6755235294273996,-1.6741858648991308,-0.6827827381293767,0.33929682842298803,-0.6461172124610178,-0.3298677073891355,-0.6461172124610178,-0.46275680613085624,-0.46275680613085624,-0.46275680613085624,0.4959345475874096,0.9310122655226069,0.47571981612474035,0.9999995379539554,0.40000547699874134,0.9223105361524881,0.015498450154984505,0.08513233183723884
