gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_2373,15643.0,2230.0,2721.0,3373.0,5639.0,669.0,2211.0,1634.0,5018.0,16.0,155.0,242.0,5052.0,118.0,2640.0,4342.0
gRNA_CDK12_targ_2374,7350.0,9819.0,1318.0,2448.0,4023.0,2708.0,3097.0,25568.0,1360.0,2575.0,3774.0,405.0,420.0,12093.0,1384.0,4109.0
gRNA_CDK12_targ_2375,1098.0,124.0,1641.0,1112.0,2091.0,7.0,947.0,604.0,1825.0,6.0,102.0,14.0,5683.0,104.0,590.0,4696.0
gRNA_CDK12_targ_2376,7837.0,5626.0,7234.0,3458.0,8374.0,2787.0,7049.0,2241.0,4122.0,184.0,2603.0,900.0,3228.0,1573.0,11209.0,7136.0
gRNA_CDK12_targ_2377,223.0,2411.0,579.0,194.0,1830.0,8.0,627.0,721.0,440.0,265.0,951.0,63.0,13.0,18.0,339.0,1644.0
gRNA_CDK12_targ_2378,12331.0,4355.0,4149.0,1614.0,4164.0,2352.0,5808.0,4831.0,6658.0,2877.0,4957.0,2568.0,5984.0,2192.0,1178.0,5219.0
gRNA_CDK12_targ_2379,707.0,526.0,2608.0,1554.0,3563.0,692.0,2088.0,789.0,209.0,13.0,2022.0,1328.0,134.0,852.0,70.0,2238.0
gRNA_CDK12_targ_2380,3672.0,1308.0,821.0,1524.0,1949.0,330.0,513.0,435.0,1140.0,193.0,121.0,239.0,2090.0,104.0,5.0,1851.0
gRNA_CDK12_targ_2381,357.0,1189.0,870.0,2984.0,2346.0,1420.0,528.0,1141.0,1975.0,688.0,1811.0,295.0,99.0,872.0,968.0,1929.0
gRNA_CDK12_targ_2382,402.0,79.0,91.0,1302.0,2008.0,257.0,763.0,459.0,599.0,562.0,524.0,465.0,6.0,511.0,64.0,1434.0
gRNA_CDK12_targ_2383,233.0,108.0,173.0,554.0,3128.0,184.0,539.0,1997.0,281.0,68.0,1516.0,90.0,176.0,154.0,740.0,1966.0
gRNA_CDK12_targ_2384,3959.0,2272.0,6467.0,3309.0,1909.0,1986.0,4770.0,1431.0,1793.0,1996.0,1834.0,913.0,685.0,1732.0,1255.0,2638.0
gRNA_CDK12_targ_2385,5772.0,4625.0,3546.0,3055.0,5961.0,3618.0,4618.0,2264.0,5565.0,1116.0,1702.0,3294.0,5065.0,1258.0,1253.0,7836.0
gRNA_CDK12_targ_2386,3729.0,1540.0,910.0,775.0,5475.0,863.0,13304.0,3357.0,4341.0,967.0,1847.0,153.0,2026.0,1314.0,636.0,8129.0
gRNA_CDK12_targ_2387,3718.0,946.0,1471.0,1663.0,2104.0,1206.0,300.0,1189.0,1772.0,573.0,1403.0,263.0,726.0,1383.0,1558.0,5366.0
gRNA_CDK12_targ_2388,5959.0,5070.0,2919.0,3847.0,7749.0,845.0,6028.0,10892.0,14891.0,4180.0,6567.0,4066.0,6395.0,5789.0,3029.0,8273.0
gRNA_CDK12_targ_2389,1307.0,472.0,230.0,403.0,2815.0,371.0,669.0,1038.0,1963.0,41.0,103.0,232.0,295.0,601.0,615.0,4796.0
gRNA_CDK12_targ_2390,1528.0,76.0,470.0,317.0,1094.0,511.0,295.0,279.0,75.0,295.0,737.0,175.0,1525.0,158.0,328.0,4957.0
gRNA_CDK12_targ_2391,4105.0,1722.0,1326.0,729.0,5433.0,618.0,1061.0,2162.0,2539.0,14.0,652.0,35.0,756.0,169.0,424.0,5191.0
gRNA_CDK12_targ_2392,3903.0,341.0,759.0,1322.0,3344.0,1032.0,969.0,1801.0,3342.0,253.0,331.0,173.0,1746.0,239.0,162.0,7315.0
gRNA_CDK12_targ_2393,2666.0,986.0,52.0,604.0,2248.0,647.0,1523.0,570.0,438.0,186.0,514.0,95.0,119.0,1764.0,1055.0,6367.0
gRNA_CDK12_targ_2394,3917.0,3186.0,4530.0,1262.0,7324.0,1846.0,4361.0,3554.0,4871.0,2485.0,3108.0,3431.0,2593.0,1819.0,2362.0,8705.0
gRNA_CDK12_targ_2395,5241.0,768.0,407.0,1012.0,4276.0,483.0,1624.0,1933.0,540.0,1392.0,1378.0,424.0,391.0,577.0,299.0,5972.0
gRNA_CDK12_targ_2396,2490.0,312.0,690.0,758.0,3262.0,432.0,2015.0,1580.0,1440.0,483.0,1477.0,946.0,21.0,381.0,97.0,3154.0
gRNA_CDK12_targ_2397,3303.0,130.0,743.0,792.0,3992.0,363.0,1019.0,915.0,309.0,178.0,1443.0,1128.0,97.0,142.0,1033.0,3888.0
gRNA_CDK12_targ_2398,2452.0,1341.0,1432.0,1764.0,5260.0,2330.0,2953.0,3993.0,6447.0,1870.0,3794.0,612.0,2044.0,2699.0,3038.0,4862.0
gRNA_CDK12_targ_2399,3856.0,939.0,221.0,95.0,889.0,469.0,376.0,670.0,33.0,198.0,400.0,31.0,39.0,179.0,126.0,2952.0
gRNA_CDK12_targ_2400,2247.0,2898.0,2826.0,2015.0,8553.0,371.0,2057.0,1644.0,3928.0,540.0,4368.0,2359.0,236.0,2356.0,2099.0,3504.0
gRNA_CDK12_targ_2401,5463.0,3665.0,5432.0,3123.0,5305.0,2081.0,1426.0,3123.0,8381.0,1580.0,304.0,950.0,5416.0,723.0,966.0,5558.0
gRNA_CDK12_targ_2402,7764.0,760.0,3671.0,1472.0,10288.0,424.0,2227.0,3133.0,8284.0,240.0,8860.0,4452.0,1556.0,1722.0,878.0,5724.0
gRNA_CDK12_targ_2403,3814.0,2688.0,4607.0,1572.0,7227.0,2337.0,4555.0,2128.0,1249.0,38.0,1134.0,4560.0,264.0,3988.0,1414.0,5453.0
gRNA_CDK12_targ_2404,4583.0,3262.0,2170.0,1687.0,7273.0,1653.0,3315.0,3321.0,3711.0,2854.0,2068.0,128.0,256.0,1656.0,60.0,6422.0
gRNA_CDK12_targ_2405,2875.0,2440.0,3096.0,3325.0,3177.0,2979.0,7189.0,6534.0,2511.0,1016.0,4625.0,4527.0,1001.0,5371.0,1977.0,4374.0
gRNA_CDK12_targ_2406,4065.0,1461.0,2216.0,1385.0,4616.0,1841.0,1314.0,2552.0,1233.0,105.0,2380.0,572.0,163.0,4780.0,2794.0,6393.0
gRNA_CDK12_targ_2407,260.0,31.0,270.0,93.0,262.0,186.0,89.0,75.0,173.0,156.0,1.0,1.0,5.0,122.0,118.0,1446.0
gRNA_CDK12_targ_2408,2638.0,1035.0,3140.0,1766.0,7594.0,4184.0,5074.0,12653.0,6002.0,2312.0,246.0,1305.0,362.0,5824.0,10110.0,5254.0
gRNA_CDK12_targ_2409,387.0,511.0,603.0,626.0,4199.0,91.0,507.0,1490.0,2417.0,249.0,283.0,23.0,99.0,13.0,1281.0,5098.0
gRNA_CDK12_targ_2410,2970.0,2213.0,1240.0,272.0,1129.0,354.0,473.0,361.0,787.0,750.0,93.0,128.0,1615.0,501.0,48.0,7961.0
gRNA_CDK12_targ_2411,6453.0,1386.0,1346.0,669.0,2080.0,829.0,1254.0,1384.0,423.0,115.0,168.0,64.0,47.0,271.0,90.0,4253.0
gRNA_CDK12_targ_2412,3624.0,444.0,988.0,1274.0,4470.0,499.0,2346.0,1511.0,8318.0,17.0,1389.0,88.0,754.0,46.0,940.0,4904.0
gRNA_CDK12_targ_2413,1887.0,333.0,967.0,858.0,3087.0,634.0,1004.0,754.0,690.0,812.0,394.0,776.0,522.0,1439.0,106.0,3768.0
gRNA_CDK12_targ_2414,14361.0,1555.0,3906.0,2290.0,3295.0,4098.0,1060.0,2217.0,4309.0,5242.0,10580.0,4024.0,847.0,2451.0,3076.0,4452.0
gRNA_CDK12_targ_2415,1934.0,585.0,1972.0,1118.0,3804.0,446.0,2070.0,2265.0,2301.0,1111.0,2114.0,1435.0,104.0,119.0,973.0,7146.0
gRNA_CDK12_targ_2416,1597.0,1414.0,491.0,506.0,2519.0,298.0,1344.0,744.0,1759.0,1415.0,461.0,220.0,1021.0,302.0,1143.0,6731.0
gRNA_CDK12_targ_2417,9595.0,3096.0,3105.0,6531.0,5743.0,2266.0,4015.0,4157.0,8308.0,3312.0,8003.0,542.0,10906.0,5979.0,3233.0,5850.0
gRNA_CDK12_targ_2418,675.0,444.0,672.0,360.0,3279.0,63.0,1156.0,696.0,435.0,122.0,2.0,4.0,1127.0,82.0,105.0,3679.0
gRNA_CDK12_targ_2419,13287.0,2175.0,4781.0,4725.0,7718.0,1838.0,4121.0,3059.0,2795.0,702.0,1363.0,1820.0,668.0,6355.0,7794.0,8351.0
gRNA_CDK12_targ_2420,3800.0,1519.0,2374.0,1561.0,3183.0,924.0,1856.0,1312.0,2384.0,199.0,1406.0,494.0,1740.0,1313.0,863.0,7519.0
gRNA_CDK12_targ_2421,7319.0,1361.0,1029.0,1561.0,5124.0,1618.0,3343.0,3161.0,3579.0,515.0,4527.0,614.0,1811.0,1277.0,820.0,6024.0
gRNA_CDK12_targ_2422,145.0,17.0,723.0,488.0,2155.0,476.0,272.0,532.0,782.0,199.0,299.0,22.0,155.0,74.0,317.0,1514.0
