gRNA_id,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,PLASMID_LIBRARY,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3
gRNA_CDK2_targ_7414,2202.0,3834.0,2034.0,1844.0,2970.0,2515.0,2144.0,3135.0,2911.0,1891.0,2359.0,6006.0,3736.0,2393.0,3267.0,2717.0,2355.0,3720.0,1390.0,3125.0,4289.0,3912.0,2110.0,3394.0,1238.0
gRNA_CDK2_targ_7415,210.0,320.0,59.0,597.0,27.0,96.0,337.0,766.0,109.0,88.0,139.0,222.0,222.0,358.0,77.0,393.0,156.0,31.0,38.0,357.0,215.0,168.0,81.0,162.0,25.0
gRNA_CDK2_targ_7416,1476.0,1098.0,998.0,2067.0,1316.0,489.0,896.0,573.0,1238.0,1238.0,1751.0,5156.0,1572.0,628.0,1274.0,1642.0,1343.0,1676.0,1197.0,2081.0,2245.0,2824.0,2151.0,2396.0,672.0
gRNA_CDK2_targ_7417,1178.0,1328.0,1530.0,712.0,2461.0,1162.0,334.0,215.0,797.0,5595.0,2098.0,7743.0,1048.0,906.0,1767.0,2397.0,1687.0,3180.0,2032.0,1512.0,1828.0,4530.0,1045.0,886.0,977.0
gRNA_CDK2_targ_7418,3078.0,4824.0,5266.0,3187.0,3847.0,3861.0,2929.0,1427.0,3013.0,1509.0,1677.0,1985.0,3040.0,2999.0,4661.0,6799.0,3492.0,4312.0,1948.0,3095.0,6100.0,3729.0,2885.0,2899.0,1958.0
gRNA_CDK2_targ_7419,2496.0,3067.0,1162.0,3080.0,3900.0,3216.0,1839.0,2042.0,1738.0,899.0,2363.0,7375.0,2994.0,1792.0,2232.0,877.0,2020.0,3531.0,1213.0,2876.0,2383.0,4200.0,1320.0,1898.0,1113.0
gRNA_CDK2_targ_7420,1008.0,1871.0,1917.0,886.0,718.0,609.0,1242.0,993.0,1419.0,363.0,1171.0,3417.0,1330.0,2017.0,1459.0,1092.0,1655.0,1236.0,947.0,2649.0,1608.0,1630.0,619.0,778.0,1046.0
gRNA_CDK2_targ_7421,3274.0,5725.0,5115.0,4857.0,6051.0,3408.0,3842.0,1222.0,4772.0,3345.0,3656.0,6668.0,6623.0,1401.0,4495.0,2431.0,4195.0,5185.0,3627.0,6135.0,5400.0,6873.0,3492.0,5810.0,2252.0
gRNA_CDK2_targ_7422,846.0,1885.0,1542.0,161.0,442.0,417.0,624.0,530.0,153.0,322.0,727.0,1487.0,1594.0,603.0,372.0,209.0,769.0,581.0,622.0,982.0,1191.0,1639.0,1426.0,937.0,597.0
gRNA_CDK2_targ_7423,909.0,2026.0,2322.0,1934.0,1163.0,742.0,1086.0,1795.0,1637.0,308.0,1277.0,4475.0,1857.0,3192.0,3587.0,173.0,1397.0,2078.0,1439.0,767.0,1749.0,2658.0,1290.0,2367.0,1384.0
gRNA_CDK2_targ_7424,958.0,951.0,791.0,1505.0,253.0,654.0,1005.0,367.0,1537.0,436.0,801.0,1341.0,1970.0,2180.0,870.0,764.0,872.0,465.0,415.0,1878.0,1709.0,3286.0,536.0,845.0,704.0
gRNA_CDK2_targ_7425,1.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,54.0,92.0,53.0,44.0,8.0,123.0,15.0,1.0,2.0,72.0,26.0,15.0,0.0,82.0,1.0
gRNA_CDK2_targ_7426,13.0,32.0,201.0,27.0,11.0,94.0,36.0,11.0,88.0,14.0,87.0,18.0,112.0,18.0,396.0,413.0,0.0,13.0,26.0,194.0,190.0,459.0,7.0,387.0,82.0
gRNA_CDK2_targ_7427,924.0,1072.0,489.0,340.0,325.0,754.0,490.0,399.0,1189.0,424.0,576.0,360.0,1613.0,1186.0,513.0,1372.0,975.0,616.0,411.0,1392.0,1877.0,1972.0,414.0,1083.0,525.0
gRNA_CDK2_targ_7428,1940.0,3675.0,2596.0,2188.0,4185.0,1598.0,2689.0,2546.0,2847.0,384.0,1261.0,3862.0,1642.0,1684.0,2781.0,2469.0,2067.0,2636.0,1281.0,3513.0,4990.0,4204.0,3642.0,3593.0,1301.0
gRNA_CDK2_targ_7429,2173.0,2656.0,2250.0,1053.0,1529.0,2025.0,1422.0,5017.0,2012.0,1700.0,1081.0,1449.0,2371.0,1742.0,1564.0,2680.0,1928.0,2756.0,1834.0,2458.0,4517.0,3015.0,1965.0,2693.0,1013.0
gRNA_CDK2_targ_7430,1972.0,3252.0,2608.0,2781.0,1752.0,1338.0,2540.0,2536.0,1877.0,1330.0,1251.0,1335.0,4167.0,3193.0,3297.0,3929.0,2221.0,3874.0,1657.0,3491.0,4258.0,3957.0,1921.0,3532.0,1253.0
gRNA_CDK2_targ_7431,3952.0,6537.0,3568.0,3386.0,4556.0,4250.0,3539.0,7380.0,3474.0,3097.0,2269.0,1433.0,4634.0,3906.0,2495.0,4951.0,3575.0,8055.0,2364.0,3777.0,5847.0,6786.0,2251.0,4847.0,1449.0
gRNA_CDK2_targ_7432,1545.0,2825.0,3123.0,5041.0,1623.0,1693.0,2154.0,2235.0,2644.0,437.0,1571.0,4217.0,1978.0,1457.0,3344.0,3858.0,2977.0,3826.0,1981.0,2481.0,3276.0,4302.0,3162.0,3984.0,1302.0
gRNA_CDK2_targ_7433,2416.0,2340.0,3485.0,3951.0,3633.0,3013.0,3869.0,2240.0,2673.0,5744.0,2372.0,2558.0,4198.0,5484.0,3562.0,4839.0,3728.0,7127.0,3203.0,6264.0,4912.0,6318.0,2302.0,3205.0,1972.0
gRNA_CDK2_targ_7434,753.0,1171.0,878.0,530.0,954.0,126.0,633.0,804.0,841.0,517.0,1004.0,1350.0,1578.0,652.0,3636.0,3789.0,2595.0,1346.0,1021.0,2438.0,1525.0,1916.0,1212.0,1099.0,896.0
