gRNA_id,T0_REP1,T0_REP2,T0_REP3,DMSO_REP1,DMSO_REP2,DMSO_REP3,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,Plasmid
gRNA_CDK19_targ_6896,1980.0,2845.0,2644.0,2206.0,2007.0,2187.0,3891.0,6065.0,3562.0,3292.0,2401.0,558.0,1798.0,1705.0,520.0,892.0,436.0,2208.0,403.0,294.0,1389.0,4622.0,104.0,213.0,649.0,2209.0,86.0,942.0,3957.0,8307.0,5565.0
gRNA_CDK19_targ_6897,10393.0,7029.0,7541.0,7219.0,4499.0,11335.0,6468.0,16673.0,7506.0,16063.0,12312.0,2449.0,8802.0,8141.0,1860.0,54435.0,6751.0,19812.0,2418.0,2232.0,4026.0,10324.0,384.0,12110.0,3965.0,6101.0,440.0,5030.0,2954.0,5750.0,9637.0
gRNA_CDK19_targ_6898,7799.0,2968.0,2863.0,2645.0,2931.0,6967.0,2849.0,3213.0,1495.0,3334.0,2526.0,721.0,3556.0,3243.0,626.0,4557.0,573.0,10416.0,1119.0,413.0,1291.0,3231.0,168.0,2178.0,1080.0,2536.0,136.0,1683.0,1820.0,3230.0,3816.0
gRNA_CDK19_targ_6899,7242.0,3791.0,3277.0,3719.0,2305.0,7435.0,5653.0,6503.0,4818.0,4578.0,5521.0,1527.0,7529.0,7102.0,1040.0,58968.0,5958.0,9727.0,1397.0,5045.0,1911.0,4560.0,844.0,5530.0,2155.0,3685.0,273.0,10513.0,3286.0,6891.0,4882.0
gRNA_CDK19_targ_6900,5714.0,5337.0,4074.0,10393.0,4400.0,23296.0,9429.0,12692.0,2812.0,2131.0,6348.0,1895.0,9694.0,8942.0,1471.0,35937.0,4529.0,7912.0,1295.0,6021.0,3279.0,8177.0,268.0,19101.0,1658.0,3343.0,243.0,10924.0,5790.0,11561.0,6630.0
gRNA_CDK19_targ_6901,3760.0,3024.0,2407.0,2447.0,2295.0,5506.0,3211.0,5479.0,1694.0,1195.0,1575.0,540.0,2827.0,2828.0,484.0,4428.0,169.0,5619.0,804.0,722.0,1074.0,3012.0,85.0,5439.0,405.0,1552.0,88.0,835.0,2169.0,4360.0,2461.0
gRNA_CDK19_targ_6902,783.0,1899.0,1701.0,1952.0,3470.0,5283.0,2613.0,3922.0,1524.0,668.0,1046.0,452.0,2380.0,2312.0,361.0,3197.0,955.0,4708.0,581.0,233.0,534.0,1492.0,93.0,1419.0,271.0,1412.0,57.0,316.0,1785.0,3535.0,3165.0
gRNA_CDK19_targ_6903,3835.0,3400.0,2671.0,2230.0,4063.0,4135.0,2367.0,4179.0,3635.0,3627.0,947.0,776.0,4538.0,4681.0,706.0,672.0,445.0,6311.0,790.0,494.0,1358.0,4202.0,170.0,6945.0,1581.0,2965.0,92.0,1830.0,2842.0,5681.0,5867.0
gRNA_CDK19_targ_6904,2839.0,1672.0,1530.0,1187.0,767.0,3751.0,1647.0,2682.0,419.0,3241.0,377.0,97.0,335.0,309.0,314.0,538.0,2456.0,94.0,116.0,160.0,607.0,2044.0,54.0,132.0,138.0,1039.0,43.0,314.0,1085.0,2101.0,3588.0
gRNA_CDK19_targ_6905,3726.0,3941.0,3859.0,3884.0,4561.0,5985.0,4938.0,7525.0,2557.0,6176.0,4165.0,1108.0,4338.0,4227.0,1185.0,16915.0,6723.0,12157.0,1500.0,3166.0,2126.0,6076.0,260.0,13396.0,1217.0,4750.0,184.0,1519.0,3343.0,6622.0,5892.0
