gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_68,471.0,233.0,108.0,925.0,48.0,329.0,52.0,180.0,318.0,264.0,654.0,1069.0,4141.0
gRNA_CDK7_targ_69,429.0,75.0,103.0,981.0,418.0,47.0,27.0,12.0,17.0,110.0,9.0,176.0,2382.0
gRNA_CDK7_targ_70,715.0,690.0,823.0,1729.0,1827.0,287.0,84.0,370.0,58.0,1005.0,671.0,278.0,4147.0
gRNA_CDK7_targ_71,414.0,340.0,307.0,454.0,43.0,181.0,7.0,124.0,0.0,26.0,2.0,3.0,3493.0
gRNA_CDK7_targ_72,715.0,316.0,545.0,1094.0,654.0,114.0,2314.0,258.0,961.0,367485.0,6809.0,535.0,2923.0
gRNA_CDK7_targ_73,763.0,354.0,301.0,1256.0,609.0,295.0,23.0,60.0,7.0,171.0,285.0,178.0,5546.0
gRNA_CDK7_targ_74,2.0,66.0,14.0,10.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,22.0,1467.0
gRNA_CDK7_targ_75,119.0,519.0,95.0,1157.0,262.0,116.0,33.0,7.0,539.0,2.0,9.0,68.0,3113.0
gRNA_CDK7_targ_76,84.0,122.0,542.0,18.0,308.0,3.0,4.0,13.0,27.0,16.0,22.0,36.0,2485.0
gRNA_CDK7_targ_77,369.0,677.0,1135.0,2267.0,401.0,276.0,35.0,92.0,12.0,218.0,164.0,10.0,3480.0
gRNA_CDK7_targ_78,2541.0,3226.0,2367.0,6278.0,392.0,1419.0,74.0,639.0,71.0,1123.0,343.0,8014.0,6858.0
gRNA_CDK7_targ_79,10361.0,9643.0,18116.0,13716.0,5672.0,6203.0,546.0,11750.0,11075.0,16269.0,5054.0,8482.0,7437.0
gRNA_CDK7_targ_80,6362.0,3647.0,3335.0,8268.0,2081.0,1869.0,293.0,3968.0,63.0,975.0,6225.0,4886.0,7115.0
gRNA_CDK7_targ_81,2433.0,3652.0,6152.0,4482.0,9867.0,2336.0,404.0,4651.0,8814.0,5460.0,3964.0,3843.0,10751.0
