gRNA_id,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_3890,728.0,1142.0,759.0,2109.0,1216.0,1891.0,891.0,1335.0,681.0,4616.0,1096.0,1061.0,526.0,907.0,3592.0,2619.0
gRNA_CDK12_targ_3891,1851.0,699.0,6247.0,1038.0,2287.0,3785.0,860.0,5538.0,3958.0,2942.0,1042.0,1558.0,1369.0,13382.0,2081.0,3921.0
gRNA_CDK12_targ_3892,2345.0,1796.0,1672.0,1410.0,1085.0,384.0,365.0,2825.0,1116.0,2560.0,342.0,493.0,1748.0,546.0,3089.0,3809.0
gRNA_CDK12_targ_3893,5259.0,2750.0,16045.0,9251.0,5735.0,8708.0,3441.0,15917.0,10885.0,4155.0,4857.0,3105.0,2245.0,8121.0,4586.0,4488.0
gRNA_CDK12_targ_3894,775.0,619.0,896.0,792.0,4594.0,789.0,69.0,111.0,86.0,2352.0,262.0,269.0,605.0,4918.0,393.0,493.0
gRNA_CDK12_targ_3895,2346.0,1619.0,3238.0,2965.0,1801.0,562.0,2385.0,1710.0,3197.0,1203.0,270.0,1390.0,125.0,190.0,759.0,1758.0
gRNA_CDK12_targ_3896,2079.0,927.0,3563.0,2036.0,2082.0,1777.0,2063.0,3202.0,1948.0,1803.0,725.0,3782.0,2613.0,1360.0,2622.0,351.0
gRNA_CDK12_targ_3897,627.0,189.0,592.0,1091.0,867.0,2895.0,260.0,903.0,251.0,28.0,537.0,1375.0,128.0,208.0,523.0,816.0
gRNA_CDK12_targ_3898,103.0,361.0,196.0,2492.0,427.0,707.0,1192.0,1876.0,2373.0,255.0,1594.0,612.0,952.0,933.0,302.0,287.0
gRNA_CDK12_targ_3899,6262.0,2873.0,6696.0,13824.0,7902.0,12145.0,7114.0,17204.0,3104.0,1871.0,8564.0,3319.0,4059.0,2233.0,6019.0,3227.0
gRNA_CDK12_targ_3900,2524.0,1186.0,2289.0,3941.0,2480.0,3610.0,2542.0,3022.0,1743.0,2072.0,1878.0,7335.0,2015.0,5925.0,2991.0,5552.0
gRNA_CDK12_targ_3901,2759.0,3970.0,5831.0,4866.0,2212.0,2211.0,2052.0,3571.0,4292.0,7027.0,2186.0,2902.0,3332.0,2834.0,7016.0,5644.0
gRNA_CDK12_targ_3902,3940.0,3460.0,6625.0,1880.0,9673.0,4374.0,2861.0,5754.0,3705.0,1143.0,679.0,3605.0,5121.0,11582.0,9520.0,4798.0
gRNA_CDK12_targ_3903,3088.0,1476.0,4451.0,1265.0,1635.0,1467.0,1475.0,1067.0,2284.0,185.0,504.0,1544.0,2121.0,3235.0,14517.0,4484.0
gRNA_CDK12_targ_3904,3688.0,2787.0,1352.0,2931.0,4592.0,2079.0,2548.0,1328.0,5429.0,6404.0,1590.0,1941.0,2037.0,1739.0,195.0,293.0
gRNA_CDK12_targ_3905,1741.0,4181.0,2784.0,2930.0,4864.0,2425.0,5530.0,10086.0,9840.0,988.0,1183.0,2620.0,5572.0,1849.0,3990.0,527.0
gRNA_CDK12_targ_3906,700.0,186.0,551.0,140.0,777.0,1747.0,805.0,1295.0,348.0,1430.0,400.0,190.0,3044.0,972.0,2144.0,4485.0
gRNA_CDK12_targ_3907,1720.0,364.0,334.0,984.0,160.0,827.0,354.0,764.0,51.0,1073.0,526.0,845.0,351.0,98.0,590.0,3436.0
gRNA_CDK12_targ_3908,1210.0,540.0,1990.0,580.0,1157.0,2101.0,1153.0,179.0,1887.0,71.0,1121.0,1095.0,3363.0,912.0,1403.0,3050.0
gRNA_CDK12_targ_3909,319.0,892.0,1510.0,863.0,617.0,1941.0,204.0,103.0,160.0,947.0,702.0,780.0,289.0,797.0,3799.0,2585.0
gRNA_CDK12_targ_3910,1179.0,278.0,1285.0,156.0,171.0,392.0,412.0,955.0,305.0,674.0,215.0,1316.0,915.0,272.0,734.0,7514.0
gRNA_CDK12_targ_3911,1953.0,261.0,1681.0,332.0,546.0,255.0,438.0,2139.0,678.0,1055.0,648.0,2178.0,386.0,1898.0,934.0,3966.0
gRNA_CDK12_targ_3912,1061.0,570.0,1450.0,243.0,767.0,1482.0,333.0,2391.0,1708.0,416.0,131.0,737.0,325.0,164.0,680.0,3642.0
gRNA_CDK12_targ_3913,919.0,66.0,1708.0,177.0,56.0,298.0,899.0,1099.0,81.0,588.0,108.0,2153.0,404.0,902.0,2262.0,3487.0
gRNA_CDK12_targ_3914,411.0,269.0,305.0,724.0,743.0,904.0,375.0,1172.0,1323.0,1138.0,320.0,460.0,1572.0,173.0,2442.0,2636.0
gRNA_CDK12_targ_3915,1471.0,786.0,1709.0,1216.0,882.0,608.0,131.0,627.0,407.0,1423.0,260.0,1352.0,158.0,330.0,266.0,1169.0
gRNA_CDK12_targ_3916,1129.0,619.0,1305.0,543.0,1037.0,511.0,2193.0,491.0,2021.0,2358.0,677.0,3375.0,1854.0,2049.0,1220.0,2622.0
gRNA_CDK12_targ_3917,3006.0,3082.0,3740.0,3631.0,649.0,577.0,2659.0,11535.0,1852.0,2658.0,875.0,2187.0,1313.0,482.0,4237.0,2186.0
gRNA_CDK12_targ_3918,1354.0,3939.0,8554.0,5963.0,5790.0,270.0,1137.0,4350.0,2790.0,591.0,1229.0,2389.0,714.0,6399.0,7630.0,1291.0
gRNA_CDK12_targ_3919,7393.0,6183.0,4907.0,9878.0,8505.0,11997.0,8895.0,8400.0,4697.0,4103.0,6584.0,1844.0,1728.0,2254.0,8097.0,2749.0
gRNA_CDK12_targ_3920,6341.0,2324.0,3881.0,2427.0,17647.0,2937.0,4416.0,7299.0,3433.0,1819.0,3004.0,2075.0,2656.0,2940.0,2023.0,2042.0
gRNA_CDK12_targ_3921,1599.0,2234.0,3797.0,1971.0,1037.0,960.0,1248.0,3769.0,2951.0,2376.0,721.0,2037.0,1390.0,1451.0,670.0,543.0
gRNA_CDK12_targ_3922,1753.0,736.0,1316.0,2135.0,552.0,1105.0,335.0,597.0,534.0,652.0,928.0,102.0,391.0,3794.0,935.0,614.0
gRNA_CDK12_targ_3923,6240.0,3294.0,6174.0,11144.0,6373.0,5647.0,4927.0,7047.0,9447.0,4330.0,10687.0,4773.0,2864.0,11155.0,9462.0,1346.0
gRNA_CDK12_targ_3924,5351.0,2563.0,5414.0,6246.0,4589.0,3249.0,2272.0,2847.0,5737.0,3755.0,3024.0,3793.0,3676.0,5286.0,7315.0,1906.0
gRNA_CDK12_targ_3925,5944.0,4360.0,5944.0,5851.0,7395.0,3148.0,2959.0,8230.0,3808.0,5020.0,5902.0,9348.0,3457.0,1628.0,9085.0,4317.0
gRNA_CDK12_targ_3926,4539.0,3002.0,5819.0,1927.0,1869.0,964.0,2171.0,3162.0,3359.0,912.0,725.0,1725.0,1560.0,3089.0,5349.0,2395.0
gRNA_CDK12_targ_3927,697.0,1760.0,353.0,1209.0,298.0,254.0,503.0,1271.0,51.0,705.0,532.0,200.0,184.0,647.0,1035.0,261.0
gRNA_CDK12_targ_3928,114.0,229.0,1985.0,627.0,170.0,329.0,994.0,1120.0,1100.0,34.0,155.0,1538.0,405.0,191.0,760.0,1973.0
gRNA_CDK12_targ_3929,695.0,291.0,649.0,115.0,103.0,2010.0,1565.0,2925.0,1219.0,930.0,483.0,983.0,328.0,394.0,363.0,608.0
gRNA_CDK12_targ_3930,0.0,0.0,5.0,24.0,0.0,0.0,1.0,108.0,52.0,2.0,252.0,54.0,8.0,7.0,76.0,178.0
gRNA_CDK12_targ_3931,647.0,191.0,1631.0,377.0,550.0,570.0,470.0,2534.0,1785.0,1706.0,397.0,149.0,1293.0,118.0,2336.0,1454.0
gRNA_CDK12_targ_3932,595.0,90.0,274.0,65.0,414.0,178.0,55.0,377.0,133.0,130.0,67.0,199.0,488.0,64.0,949.0,7067.0
gRNA_CDK12_targ_3933,275.0,42.0,140.0,39.0,198.0,229.0,132.0,590.0,63.0,227.0,18.0,39.0,107.0,320.0,595.0,3847.0
gRNA_CDK12_targ_3934,311.0,118.0,647.0,131.0,72.0,38.0,341.0,868.0,113.0,612.0,38.0,39.0,254.0,6.0,1218.0,6288.0
gRNA_CDK12_targ_3935,1136.0,878.0,581.0,315.0,1119.0,196.0,56.0,115.0,3101.0,510.0,230.0,1087.0,1283.0,675.0,4261.0,4632.0
gRNA_CDK12_targ_3936,1074.0,100.0,2543.0,163.0,347.0,16.0,359.0,277.0,21.0,195.0,95.0,549.0,231.0,41.0,993.0,4499.0
gRNA_CDK12_targ_3937,59.0,28.0,589.0,43.0,175.0,139.0,214.0,58.0,121.0,38.0,32.0,88.0,120.0,72.0,142.0,2346.0
