gRNA_id,Gene,classification,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,base_RPM,base_RAW,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,LFC_avg_ABE_SY-5609_100nM,LFC_median_ABE_SY-5609_100nM,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,LFC_avg_ABE_SY-5609_10nM,LFC_median_ABE_SY-5609_10nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_SY-5609_100nM,FDR_ABE_SY-5609_100nM,p_ABE_SY-5609_10nM,FDR_ABE_SY-5609_10nM,p_Plasmid,FDR_Plasmid
gRNA_CDK9_targ_1288,CDK9,targeting,0.36221277525478085,0.4511523110800092,-0.4623733513860205,0.1169972449829232,0.36221277525478085,1036.2397412746593,24776.0,-0.2797725320014103,-0.15004067026271936,0.6522102958544405,0.07413236453010359,-0.15004067026271936,0.23332443131666453,0.20397931291474872,0.4545468408510376,0.29728352836081695,0.23332443131666453,-0.4960360350799991,-0.4960360350799991,-0.4960360350799991,0.3488199616295843,0.8213273682655574,0.41164314312408085,0.9999904821558694,0.12057223645988942,0.6816078559210501,0.061593840615938394,0.31607365579231544
gRNA_CDK9_targ_1289,CDK9,targeting,-0.0866239298424157,-0.5382325585325257,-0.653276821553568,-0.4260444366428365,-0.5382325585325257,837.365383649451,25040.0,-0.5991659893737215,-0.09013932332103729,-0.747893671054366,-0.47906632791637493,-0.5991659893737215,-0.5828605904206243,-0.720870880200235,0.05439420513958643,-0.4164457551604243,-0.5828605904206243,-0.539640396887249,-0.539640396887249,-0.539640396887249,0.22107716173885283,0.9999517546399953,0.37534965036652923,0.956773618581349,0.6125159349128217,0.9999675946877082,0.061593840615938394,0.31607365579231544
gRNA_CDK9_targ_1290,CDK9,targeting,0.07638850304491168,-0.15783884965225958,-0.43829663641218614,-0.17324899433984467,-0.15783884965225958,741.9244569347732,22186.0,-0.27951497293774513,-1.2731018140386456,-1.1123102033669179,-0.8883089967811029,-1.1123102033669179,-0.4978709396104488,-0.14970656879359837,0.8922340866208553,0.08155219273893606,-0.14970656879359837,-0.35299335239785645,-0.35299335239785645,-0.35299335239785645,0.46593210839000865,0.9999517546399953,0.15519910217063074,0.8691943458768858,0.18536607197501767,0.7696020316001331,0.08289171082891712,0.3454875886457156
gRNA_CDK9_targ_1291,CDK9,targeting,-0.021540848982944772,-0.43199174957702335,-0.27428499539722845,-0.24260586465239886,-0.27428499539722845,479.18141410170216,11457.0,-0.16523463476350075,-0.008493655275729761,0.028905556684443803,-0.04827424445159557,-0.008493655275729761,1.071764066985513,-0.8092139396007858,-1.6755819699680778,-0.4710106141944502,-0.8092139396007858,0.4247089482090105,0.4247089482090105,0.4247089482090105,0.3993499370321939,0.9999517546399953,0.5695895729733964,0.9999904821558694,0.18605763401321898,0.7696020316001331,0.3592640735926408,0.8105710090148012
gRNA_CDK9_targ_1292,CDK9,targeting,0.21769630846268762,-0.6971537625307462,-0.5659060588564855,-0.3484545043081814,-0.5659060588564855,414.6363175666751,12399.0,0.6910797779710985,-0.5187197352778415,0.7908918065047635,0.3210839497326735,0.6910797779710985,-0.10668566185989597,-0.7494624046001164,-0.3365110096469601,-0.3975530253689908,-0.3365110096469601,-0.07321292894187278,-0.07321292894187278,-0.07321292894187278,0.2650936943728109,0.9999517546399953,0.18682646792679872,0.8630550434855148,0.6166485466163931,0.9999675946877082,0.161983801619838,0.5433671508882171
gRNA_CDK9_targ_1293,CDK9,targeting,0.3365139843219575,-0.46390902444899096,0.3366238379901763,0.06974293262104762,0.3365139843219575,231.62317110022053,5538.0,-0.23192396499013412,0.0009001171205247607,0.20386951969146225,-0.009051442726049038,0.0009001171205247607,0.6179367901422105,0.7495575456157061,1.2879244340159441,0.8851395899246203,0.7495575456157061,0.302345245678742,0.302345245678742,0.302345245678742,0.40654369466527146,0.8540539335066317,0.5215867207681952,0.9999904821558694,0.006568329315588387,0.1829748880771051,0.3147685231476846,0.7618067980435984
gRNA_CDK9_targ_1294,CDK9,targeting,-0.7171133096576446,0.025299202245636483,-0.6360848319441201,-0.4426329797853761,-0.6360848319441201,329.4232851235813,10465.0,-0.6085560142206334,-0.8307424316686527,-1.3028755181542797,-0.914057988014522,-0.8307424316686527,-0.5056529485192381,-1.2767478153578713,-0.3323259120224604,-0.7049088919665234,-0.5056529485192381,0.1966232285419447,0.1966232285419447,0.1966232285419447,0.21924191223733291,0.9999517546399953,0.14961464255854287,0.8628668960461289,0.4212987539566976,0.9999675946877082,0.25427457254274566,0.6832377785843461
gRNA_CDK9_targ_1295,CDK9,targeting,-0.6154257752815991,0.2535495273223679,-0.20102536323656758,-0.1876338703985996,-0.20102536323656758,427.1432925461038,12773.0,-0.1567882566781693,0.5216094196351893,1.0566916340784926,0.47383759901183753,0.5216094196351893,-0.10457955833964934,-0.9954617258667271,-0.09872685999582949,-0.39958938140073536,-0.10457955833964934,0.4705036833740927,0.4705036833740927,0.4705036833740927,0.41121610883722665,0.9999517546399953,0.12573957550421577,0.7786281348208428,0.5784147184742467,0.9999675946877082,0.3833616638336166,0.8253764528909884
gRNA_CDK9_targ_1296,CDK9,targeting,0.0016167344947922403,-1.0708737417204206,-0.0659737707475152,-0.3784102593243812,-0.0659737707475152,730.8802663373698,19702.0,0.3841348668879505,0.014446806962635873,-1.8591244052656446,-0.4868475771383527,0.014446806962635873,-0.6777115860168523,-0.14973845413968617,-0.0014985119093522672,-0.2763161840219636,-0.14973845413968617,-0.14504001336967268,-0.14504001336967268,-0.14504001336967268,0.23174352704354081,0.9999517546399953,0.25290995201902616,0.9075420991272445,0.5213024158617834,0.9999675946877082,0.1311868813118688,0.471237086817634
gRNA_CDK9_targ_1297,CDK9,targeting,-0.8659708512548341,0.7515358501364764,-0.9186096719766946,-0.3443482243650175,-0.8659708512548341,285.91115883732533,6836.0,-0.9288164247624117,-0.522565770194865,-2.200620277482645,-1.2173341574799739,-0.9288164247624117,-0.8025414795925425,-1.1308054445503883,-1.3389212381516737,-1.0907560540982015,-1.1308054445503883,0.15873063285824074,0.15873063285824074,0.15873063285824074,0.19594199079314648,0.9341516175663163,0.06466094268655109,0.7824702443912235,0.20192327753536152,0.9999675946877082,0.2473752624737526,0.6821560268215603
gRNA_CDK9_targ_1298,CDK9,targeting,-0.03460226393861367,-0.1829548279883415,-0.10372723261118132,-0.1070947748460455,-0.10372723261118132,281.67028717494554,6995.0,-0.20225283914007525,-0.16372329383641002,0.773370691448264,0.13579818615725958,-0.16372329383641002,-1.8249869738172984,-0.4616237370883718,-2.3387807086095815,-1.5417971398384172,-1.8249869738172984,0.6768231703974694,0.6768231703974694,0.6768231703974694,0.55277530078249,0.9999517546399953,0.35336035600484356,0.9999904821558694,0.06403293111010733,0.9999675946877082,0.4463553644635536,0.8615175443441286
gRNA_CDK9_targ_1299,CDK9,targeting,-0.24949250800897932,-1.7827884208106954,-0.5947228054466689,-0.8756679114221145,-0.5947228054466689,554.0188622572067,16567.0,-0.03071019606111,0.4613859582844746,-0.5224067741048584,-0.030577003960497933,-0.03071019606111,-1.4181824424735907,-1.2375381397066438,-0.20949024186692253,-0.9550702746823857,-1.2375381397066438,-0.022661318295847256,-0.022661318295847256,-0.022661318295847256,0.055018162380464856,0.9825571341540713,0.4707601734462705,0.9999904821558694,0.25660507691086776,0.9999675946877082,0.16858314168583144,0.5433671508882171
gRNA_CDK9_targ_1300,CDK9,targeting,-0.18380421089254734,-0.49802562942617334,-0.11627772991306931,-0.26603585674393,-0.18380421089254734,1311.995051785899,39233.0,0.10533314033226812,0.6714888975141391,0.05573162590717459,0.27751788791786064,0.10533314033226812,-0.34223744981606674,-0.06283170321160925,0.5862868392777054,0.06040589541667648,-0.06283170321160925,-0.8237088807950317,-0.8237088807950317,-0.8237088807950317,0.3534494949944768,0.9999517546399953,0.2749232369377071,0.9484086483162222,0.22532311509967157,0.8290190083855842,0.028897110288971118,0.2266928479565838
gRNA_CDK9_targ_1301,CDK9,targeting,0.5509854233233978,0.7708146019037739,-0.8000862506167038,0.17390459153682267,0.5509854233233978,220.205127454435,5988.0,-1.078320923456554,-0.42751260919694145,0.46614038644043493,-0.3465643820710202,-0.42751260919694145,0.08953270166230272,-0.3190535984400792,0.6154599170414052,0.12864634008787626,0.08953270166230272,0.689623294967809,0.689623294967809,0.689623294967809,0.21617563990525387,0.6951148689144556,0.411247818913639,0.9762665614210734,0.18901284801721968,0.774385351234496,0.4533546645335468,0.8615175443441286
