gRNA_id,Gene,classification,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,base_RPM,base_RAW,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_Plasmid,FDR_Plasmid
gRNA_CDK9_targ_1126,CDK9,targeting,0.024950264283069703,-0.24321307056589153,-0.24634377651233308,-0.15486886093171828,-0.24321307056589153,141.98890805698608,5643.0,-5.170426691179774,-5.982687120041414,-0.9908372174573081,-4.047983676226165,-5.170426691179774,-0.6229150890403453,-1.704850687993054,-1.9994341609624637,-1.4423999793319542,-1.704850687993054,1.4504783650608148,1.4504783650608148,1.4504783650608148,0.4448942759040134,0.9999999640647834,0.0674062971403961,0.8291189946796873,0.40430207350596536,0.9898909654146271,0.18818118188181182,0.944088332283522
gRNA_CDK9_targ_1127,CDK9,targeting,0.5525688464609121,-0.0013276293207268865,-0.47652050138134744,0.024906905252945904,-0.0013276293207268865,159.85335223752122,3999.0,-4.124713747153969,-2.6688673273802888,-0.031702676554121116,-2.2750945836961263,-2.6688673273802888,-3.997436893295107,-1.2677966120481514,-3.6108090485950823,-2.95868085131278,-3.6108090485950823,0.8671053292860111,0.8671053292860111,0.8671053292860111,0.5384417397551995,0.9999999640647834,0.15292592644129346,0.5923796636059392,0.30188212433175854,0.9999939522601892,0.3845615438456153,0.9172598024040393
gRNA_CDK9_targ_1128,CDK9,targeting,0.3531016943387881,0.3303016583078694,0.8350101852907468,0.5061378459791347,0.3531016943387881,190.3753461561504,4942.0,-3.4558043699183565,-2.0785975181829186,-2.94965300476665,-2.8280182976226413,-2.94965300476665,-3.6269608809468012,-1.4397200780975064,-1.5510664440404036,-2.205915801028237,-1.5510664440404036,0.4113056380924108,0.4113056380924108,0.4113056380924108,0.2283321796410513,0.7544473690450534,0.5381956345240073,0.8552832931304596,0.5537087214316267,0.9999939522601892,0.4597540245975402,0.8978865673933298
gRNA_CDK9_targ_1129,CDK9,targeting,-2.6640308308768796,0.10318635250063082,0.28309073798000567,-0.7592512467987477,0.10318635250063082,240.19601564982972,9546.0,-4.6150349285952155,-4.776662293892542,-1.5361139857119657,-3.642603736066574,-4.6150349285952155,-4.194496900130713,-3.578345819347772,0.8502135591880648,-2.3075430534301398,-3.578345819347772,0.7606700029686734,0.7606700029686734,0.7606700029686734,0.023457359797840263,0.49106836277726823,0.3350628032591576,0.8756259899128578,0.3486819024756917,0.9898909654146271,0.42245775422457754,0.9037038989510792
gRNA_CDK9_targ_1130,CDK9,targeting,2.502993552494326,1.444155884099114,-0.05013193359948799,1.2990058343313173,1.444155884099114,50.82714766526881,2020.0,-3.2028842834596185,-0.9503510105766569,-1.322556978037437,-1.8252640906912376,-1.322556978037437,-4.448057329143957,0.32614442373466884,2.438799830535949,-0.5610376916244464,0.32614442373466884,2.7009301834133077,2.7009301834133077,2.7009301834133077,0.017543872836049617,0.22276638531356027,0.09467673845361367,0.49583317390013554,0.04396409628830693,0.6001099143353895,0.04379562043795622,0.6951281616024447
gRNA_CDK9_targ_1131,CDK9,targeting,0.4754881364936085,0.6159954277472302,0.5790578336060576,0.5568471326156321,0.5790578336060576,124.15716730426128,3106.0,-2.353597799858511,-2.419009981460798,-2.6229916509018416,-2.4651998107403834,-2.419009981460798,1.8991025534128345,-1.5187128776742223,-5.342010978812001,-1.65387376769113,-1.5187128776742223,1.6414958601269176,1.6414958601269176,1.6414958601269176,0.2261926141427314,0.7503108585779548,0.42325639695594086,0.7946973615472618,0.17839841609054058,0.8778325393363636,0.15118488151184883,0.9415106393552259
gRNA_CDK9_targ_1132,CDK9,targeting,0.7510657079959476,-2.281522639714516,-0.4727801142858304,-0.6677456820014661,-0.4727801142858304,142.6232370625851,5376.0,-5.280881651645597,-1.9929954155600975,-2.9289654344446316,-3.4009475005501084,-2.9289654344446316,-1.920025272940501,-5.4910617306110305,-2.5332108589133986,-3.3147659541549768,-2.5332108589133986,0.1808999242526326,0.1808999242526326,0.1808999242526326,0.02784126081253402,0.5135583920149857,0.40401847696606913,0.8935607623674288,0.07726413725482247,0.8295169221519334,0.29737026297370267,0.7111170238908314
gRNA_CDK9_targ_1133,CDK9,targeting,2.0207522485072773,1.078633562477183,1.6297196636590332,1.576368491547831,1.6297196636590332,40.013304723620585,1180.0,-2.0589927545468876,-0.8238265118092053,-1.8719322372187528,-1.5849171678582819,-1.8719322372187528,-1.2587511869019625,1.3180918915995776,-4.327445639688137,-1.4227016449968406,-1.2587511869019625,2.6965272623177805,2.6965272623177805,2.6965272623177805,0.006252470114933014,0.13029956804402387,0.08088882565680425,0.4663438134658169,0.19535175233530264,0.8918005952080881,0.04379562043795622,0.6951281616024447
gRNA_CDK9_targ_1134,CDK9,targeting,-0.3861715338097148,2.9250756761570624,1.550753519161896,1.3632192205030813,1.550753519161896,26.06601858526096,697.0,-2.719729670143241,0.9515160294521003,-2.8815410853894554,-1.5499182420268653,-2.719729670143241,-0.17746463554147648,-2.926962438188333,-4.152993484865466,-2.419140186198425,-2.926962438188333,2.7794528745576224,2.7794528745576224,2.7794528745576224,0.01432850438558996,0.2029695445497011,0.05470535273595081,0.4018230314707561,0.3914696039290045,0.9999939522601892,0.0365963403659634,0.6951281616024447
gRNA_CDK9_targ_1135,CDK9,targeting,-0.4676615428804641,0.6564807382438165,1.063443414590083,0.4174208699844785,0.6564807382438165,110.81324669200193,4084.0,-3.281323975692535,-4.28238965664059,-3.645104124675726,-3.7362725856696173,-3.645104124675726,-4.741163330619673,-0.7650179740555437,-3.380945659887108,-2.9623756548541085,-3.380945659887108,1.1425023432969672,1.1425023432969672,1.1425023432969672,0.23573586793592244,0.7679700709607019,0.37803970815842924,0.9416244491366078,0.2640664545693152,0.9999939522601892,0.261973802619738,0.9462110783740278
