Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_XENOBIOTIC_METABOLISM,-0.3175142427174781,-1.2922002764209082,0.058823529411764705,0.14392817059483726,0.85,25/150,7.40%,HNF4A;SERPINE1;CDA;ETS2;RBP4;IGFBP1;AOX1;MT2A;DDC;PINK1;CFB;ASL;BCAT1;GSTM4;PROS1;CSAD;SLC22A1;APOE;LCAT;CYB5A;ID2;ALDH2;IL1R1;ITIH4;NDRG2
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.31537041305672187,-1.2786902847752286,0.07142857142857142,0.15202020202020203,0.87,45/145,17.65%,IL18BP;MT2A;TMT1B;IL4R;CFB;PARP12;SP110;NOD1;C1R;PELI1;IRF7;TRIM26;STAT2;ARID5B;IFIH1;IRF5;SAMD9L;PML;RNF213;NFKB1;AUTS2;B2M;TNFAIP3;IFIT1;EIF4E3;HIF1A;RIGI;IL6;CD274;TRAFD1;ISG15;HLA-B;MYD88;SLAMF7;IRF9;TRIM25;OGFR;UBE2L6;OASL;HLA-DMA;TNFSF10;MVP;HLA-A;NUP93;SOD2
prerank,HALLMARK_ESTROGEN_RESPONSE_LATE,0.29966594102196975,1.2771892157404483,0.023255813953488372,0.22913441238564392,0.76,50/166,16.00%,CYP4F11;AREG;TFPI2;TFAP2C;CA12;CHPT1;TOB1;ACOX2;OLFM1;ALDH3A2;GLA;TJP3;EEIG1;SLC1A4;AGR2;ALDH3B1;KRT19;JAK2;MYOF;PAPSS2;TNNC1;TSPAN13;SCNN1A;RET;IL17RB;BLVRB;ISG20;BTG3;NBL1;XBP1;MDK;SLC29A1;CD9;RBBP8;KLF4;DNAJC12;SORD;SFN;MICB;PTGES;TST;OPN3;FKBP5;PRKAR2B;RAB31;FDFT1;PERP;IMPA2;WFS1;DHCR7
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3507742372189015,1.2567612295003217,0.15217391304347827,0.23842364532019703,0.79,14/56,13.59%,CSF1;CXCL3;TNFRSF21;PDGFC;CXCL1;CD38;PIM1;IFNGR2;IL17RB;SOCS3;CD9;FAS;HMOX1;LTBR
prerank,HALLMARK_KRAS_SIGNALING_UP,-0.31769642483118654,-1.2168996023824117,0.11475409836065574,0.21794414735591205,0.97,26/123,11.22%,USH1C;EPHB2;PLEK2;RBP4;DOCK2;IGFBP3;HKDC1;CFB;SEMA3B;MAP3K1;SCN1B;ST6GAL1;SNAP25;ID2;NR1H4;MAP7;ITGBL1;ADAM8;TNFAIP3;G0S2;ANXA10;CPE;ADGRA2;STRN;KIF5C;TMEM158
prerank,HALLMARK_UV_RESPONSE_UP,-0.28895407979932103,-1.1809092658511458,0.10606060606060606,0.25559296670407783,0.99,30/144,15.83%,NTRK3;PTPRD;RASGRP1;TUBA4A;BCL2L11;JUNB;C4BPB;MMP14;HLA-F;FURIN;GAL;NPTXR;KLHDC3;SULT1A1;GLS;SLC25A4;PRPF3;AGO2;IL6;PRKCD;TMBIM6;MSX1;RXRB;EIF5;WIZ;PRKACA;CHKA;RAB27A;BAK1;RHOB
prerank,HALLMARK_KRAS_SIGNALING_DN,-0.3089659965919623,-1.1730164847183113,0.1746031746031746,0.2560340244550771,0.99,22/94,11.23%,HNF1A;TENM2;EDN2;SGK1;CLSTN3;TCF7L1;NPY4R;SIDT1;SLC29A3;SKIL;LFNG;HTR1D;THRB;MACROH2A2;SYNPO;SLC25A23;FGFR3;MAST3;TGM1;CDH16;YBX2;KCNN1
prerank,HALLMARK_ANDROGEN_RESPONSE,0.3000026264511192,1.1671869882152224,0.14285714285714285,0.40821018062397374,0.96,22/90,13.18%,DHCR24;TSC22D1;AKAP12;MERTK;LMAN1;HSD17B14;GSR;SCD;SPDEF;PTK2B;KRT19;SPCS3;ALDH1A3;MYL12A;BMPR1B;PDLIM5;SAT1;SORD;DNAJB9;PLPP1;FKBP5;ANKH
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.2599672213726554,1.1601058886576145,0.02631578947368421,0.38364532019704434,0.96,80/199,36.40%,PDHX;PHYH;NDUFAB1;ATP6V1G1;PDK4;ALAS1;ISCU;COX15;NQO2;GPX4;ATP6V1E1;ATP5MC1;ACADM;MTRR;SURF1;ATP6AP1;NDUFB4;CPT1A;IDH3A;SLC25A11;NDUFA7;PMPCA;NDUFB5;UQCRC2;SUPV3L1;DECR1;PDP1;DLD;VDAC2;MRPS30;SDHD;ACAT1;MRPS15;ATP5PD;COX7A2;COX7A2L;ACADSB;NDUFA5;NDUFV2;ETFA;ATP5MC2;AIFM1;ATP6V1F;DLAT;SLC25A5;ATP6V0B;RHOT1;NDUFA8;ECH1;TIMM17A;LRPPRC;TIMM10;UQCRFS1;IDH1;DLST;GOT2;COX6C;MTX2;HSPA9;AFG3L2;UQCRQ;COX7C;MTRF1;COX17;MRPL11;TIMM9;SLC25A6;NDUFA4;PRDX3;COX7B;MRPL35;CYC1;OXA1L;IDH2;ISCA1;ACAA1;MDH1;ACO2;GRPEL1;ETFB
prerank,HALLMARK_APICAL_SURFACE,-0.3959419015355376,-1.1274294033427412,0.38,0.3243097643097643,1.0,5/30,6.66%,AFAP1L2;MDGA1;HSPB1;CROCC;B4GALT1
