Cell Line,Drug,Concentration (nM or % for DMSO),Measurement,Measurement-Ref,Error?
A549-NT,SY-5609,5,1.1722,1.0668,
A549-NT,SY-5609,5,1.287,1.1714,
A549-NT,SY-5609,5,1.256,1.1438,
A549-NT,SY-5609,5,1.2504,1.1364,
A549-NT,SY-5609,10,0.8848,0.7947,
A549-NT,SY-5609,10,0.9216,0.829,
A549-NT,SY-5609,10,0.8911,0.8006,
A549-NT,SY-5609,10,0.9328,0.8383,
A549-NT,SY-5609,20,0.8269,0.7411,
A549-NT,SY-5609,20,0.8462,0.76,
A549-NT,SY-5609,20,0.8767,0.7873,
A549-NT,SY-5609,20,0.8513,0.7658,
A549-NT,SY-5609,50,0.7596,0.6775,
A549-NT,SY-5609,50,0.8422,0.7528,
A549-NT,SY-5609,50,0.864,0.774,
A549-NT,SY-5609,50,0.8088,0.7245,
A549-NT,SY-5609,100,0.8096,0.723,
A549-NT,SY-5609,100,0.7849,0.7009,
A549-NT,SY-5609,100,0.8014,0.7156,
A549-NT,SY-5609,100,0.7785,0.6953,
A549-NT,SY-5609,200,0.7564,0.6728,
A549-NT,SY-5609,200,0.7767,0.6933,
A549-NT,SY-5609,200,0.7487,0.666,
A549-NT,SY-5609,200,0.6846,0.6074,
A549-NT,SY-5609,500,0.6364,0.5595,
A549-NT,SY-5609,500,0.6828,0.6035,
A549-NT,SY-5609,500,0.6903,0.6117,
A549-NT,SY-5609,500,0.6791,0.6005,
A549-NT,SY-5609,1000,0.6625,0.5857,
A549-NT,SY-5609,1000,0.6277,0.5527,
A549-NT,SY-5609,1000,0.6007,0.5269,
A549-NT,SY-5609,1000,0.607,0.5333,
A549-NT,SY-5609,2000,0.4679,0.4031,
A549-NT,SY-5609,2000,0.4727,0.4064,
A549-NT,SY-5609,2000,0.4791,0.4127,
A549-NT,SY-5609,2000,0.4558,0.3915,
A549-WT,SY-5609,0,1.3494,1.2346,
A549-WT,SY-5609,0,1.364,1.2458,
A549-WT,SY-5609,0,1.3285,1.209,
A549-WT,SY-5609,0,1.3072,1.1859,
A549-WT,SY-5609,1,1.2454,1.1309,
A549-WT,SY-5609,1,1.2509,1.1353,
A549-WT,SY-5609,1,1.3439,1.2227,
A549-WT,SY-5609,1,1.3206,1.2009,
A549-WT,SY-5609,2,1.3041,1.187,
A549-WT,SY-5609,2,1.3467,1.2261,
A549-WT,SY-5609,2,1.2116,1.1009,
A549-WT,SY-5609,2,1.1819,1.0739,
A549-WT,SY-5609,5,1.0616,0.9643,
A549-WT,SY-5609,5,1.13,1.0285,
A549-WT,SY-5609,5,1.0743,0.976,
A549-WT,SY-5609,5,1.0181,0.922,
A549-WT,SY-5609,10,0.7853,0.7018,
A549-WT,SY-5609,10,0.8227,0.7371,
A549-WT,SY-5609,10,0.8273,0.7413,
A549-WT,SY-5609,10,0.8396,0.7535,
A549-WT,SY-5609,20,0.7452,0.6642,
A549-WT,SY-5609,20,0.7544,0.6712,
A549-WT,SY-5609,20,0.8042,0.7195,
A549-WT,SY-5609,20,0.7199,0.6388,
A549-WT,SY-5609,50,0.6478,0.5715,
A549-WT,SY-5609,50,0.7215,0.6429,
A549-WT,SY-5609,50,0.7287,0.6498,
A549-WT,SY-5609,50,0.7003,0.6213,
A549-WT,SY-5609,100,0.6704,0.5938,
A549-WT,SY-5609,100,0.6518,0.5751,
A549-WT,SY-5609,100,0.6873,0.6103,
A549-WT,SY-5609,100,0.6819,0.6052,
A549-WT,SY-5609,200,0.6292,0.5557,
A549-WT,SY-5609,200,0.6851,0.6063,
A549-WT,SY-5609,200,0.6984,0.6181,
A549-WT,SY-5609,200,0.6432,0.5664,
A549-WT,SY-5609,500,0.5454,0.4745,
A549-WT,SY-5609,500,0.5743,0.503,
A549-WT,SY-5609,500,0.5678,0.4969,
A549-WT,SY-5609,500,0.5531,0.4825,
A549-WT,SY-5609,1000,0.4772,0.4112,
A549-WT,SY-5609,1000,0.4621,0.3969,
A549-WT,SY-5609,1000,0.4921,0.425,
A549-WT,SY-5609,1000,0.489,0.4226,
A549-WT,SY-5609,2000,0.3306,0.2722,
A549-WT,SY-5609,2000,0.3357,0.2769,
A549-WT,SY-5609,2000,0.3498,0.2908,
A549-WT,SY-5609,2000,0.3335,0.2748,
No Cells,SY-5609,0,0.1278,0.0811,
No Cells,SY-5609,0,0.1246,0.0783,
No Cells,SY-5609,0,0.1251,0.0782,
No Cells,SY-5609,0,0.1242,0.0774,
No Cells,SY-5609,0,0.1236,0.0786,
No Cells,SY-5609,0,0.1234,0.0783,
No Cells,SY-5609,0,0.1221,0.0762,
No Cells,SY-5609,0,0.1249,0.0779,
No Cells,SY-5609,0,0.1271,0.0819,
No Cells,SY-5609,0,0.1326,0.0865,
No Cells,SY-5609,0,0.1273,0.0824,
No Cells,SY-5609,0,0.133,0.0881,
