Cell Line,Drug,gRNA_number,Concentration (nM or % for DMSO),Measurement,Measurement-Ref,Error?
A549-CBE,SEL120,13,2000,0.6291,0.5536,
A549-CBE,SEL120,13,4000,0.2976,0.2422,
A549-CBE,SEL120,13,4000,0.2845,0.2308,
A549-CBE,SEL120,13,4000,0.2777,0.2256,
A549-CBE,SEL120,13,8000,0.1048,0.0602,
A549-CBE,SEL120,13,8000,0.1016,0.0592,
A549-CBE,SEL120,13,8000,0.1045,0.0625,
A549-CBE,SEL120,13,10000,0.1153,0.0721,
A549-CBE,SEL120,13,10000,0.1044,0.0625,
A549-CBE,SEL120,13,10000,0.1024,0.0592,
A549-CBE,SEL120,16,0,1.2355,1.1257,
A549-CBE,SEL120,16,0,1.1211,1.0182,
A549-CBE,SEL120,16,0,0.9697,0.8749,
A549-CBE,SEL120,16,100,0.8617,0.7736,
A549-CBE,SEL120,16,100,0.8472,0.7596,
A549-CBE,SEL120,16,100,0.8127,0.7268,
A549-CBE,SEL120,16,500,0.7238,0.6424,
A549-CBE,SEL120,16,500,0.7802,0.697,
A549-CBE,SEL120,16,500,0.7803,0.6961,
A549-CBE,SEL120,16,1000,0.8431,0.7552,
A549-CBE,SEL120,16,1000,0.8774,0.7874,
A549-CBE,SEL120,16,1000,0.9327,0.841,
A549-CBE,SEL120,16,2000,0.6925,0.6122,
A549-CBE,SEL120,16,2000,0.6632,0.5859,
A549-CBE,SEL120,16,2000,0.6655,0.5879,
A549-CBE,SEL120,16,4000,0.3069,0.2513,
A549-CBE,SEL120,16,4000,0.278,0.2258,
A549-CBE,SEL120,16,4000,0.2942,0.2366,
A549-CBE,SEL120,16,8000,0.1068,0.0635,
A549-CBE,SEL120,16,8000,0.1072,0.0647,
A549-CBE,SEL120,16,8000,0.1056,0.0629,
A549-CBE,SEL120,16,10000,0.1136,0.07,
A549-CBE,SEL120,16,10000,0.1045,0.0616,
A549-CBE,SEL120,16,10000,0.1042,0.0624,
A549-CBE,SEL120,17,0,1.318,1.2019,
A549-CBE,SEL120,17,0,1.2175,1.1098,
A549-CBE,SEL120,17,0,1.1637,1.0599,
A549-CBE,SEL120,17,100,1.0595,0.9606,
A549-CBE,SEL120,17,100,1.0417,0.941,
A549-CBE,SEL120,17,100,0.9929,0.8971,
A549-CBE,SEL120,17,500,0.8427,0.7545,
A549-CBE,SEL120,17,500,0.8658,0.7757,
A549-CBE,SEL120,17,500,0.8993,0.8081,
A549-CBE,SEL120,17,1000,0.8834,0.7947,
A549-CBE,SEL120,17,1000,0.9416,0.8492,
A549-CBE,SEL120,17,1000,0.9068,0.8179,
A549-CBE,SEL120,17,2000,0.6875,0.6088,
A549-CBE,SEL120,17,2000,0.652,0.5755,
A549-CBE,SEL120,17,2000,0.6837,0.6074,
A549-CBE,SEL120,17,4000,0.3055,0.249,
A549-CBE,SEL120,17,4000,0.3014,0.2448,
A549-CBE,SEL120,17,4000,0.2946,0.2394,
A549-CBE,SEL120,17,8000,0.1086,0.0658,
A549-CBE,SEL120,17,8000,0.1053,0.0642,
A549-CBE,SEL120,17,8000,0.1082,0.0625,
A549-CBE,SEL120,17,10000,0.1156,0.0719,
A549-CBE,SEL120,17,10000,0.1103,0.066,
A549-CBE,SEL120,17,10000,0.1042,0.0631,
A549-CBE,Senexin B,2,0,1.3585,1.2418,
A549-CBE,Senexin B,2,0,1.3558,1.242,
A549-CBE,Senexin B,2,0,1.3803,1.2653,
A549-CBE,Senexin B,2,100,1.2943,1.1846,
A549-CBE,Senexin B,2,100,1.2633,1.1567,
A549-CBE,Senexin B,2,100,1.2531,1.1483,
A549-CBE,Senexin B,2,500,1.0295,0.9339,
A549-CBE,Senexin B,2,500,1.0165,0.925,
A549-CBE,Senexin B,2,500,1.0227,0.9286,
A549-CBE,Senexin B,2,1000,0.939,0.8505,
A549-CBE,Senexin B,2,1000,0.8852,0.7984,
A549-CBE,Senexin B,2,1000,0.9648,0.8728,
A549-CBE,Senexin B,2,2000,0.9151,0.8259,
A549-CBE,Senexin B,2,2000,0.9051,0.8142,
A549-CBE,Senexin B,2,2000,0.8663,0.7769,
A549-CBE,Senexin B,2,4000,0.7708,0.6893,
A549-CBE,Senexin B,2,4000,0.7479,0.6659,
A549-CBE,Senexin B,2,4000,0.7687,0.6858,
A549-CBE,Senexin B,2,8000,0.5463,0.4765,
A549-CBE,Senexin B,2,8000,0.5846,0.5142,
A549-CBE,Senexin B,2,8000,0.5636,0.492,
A549-CBE,Senexin B,2,10000,0.5378,0.4711,
A549-CBE,Senexin B,2,10000,0.5032,0.4372,
A549-CBE,Senexin B,2,10000,0.4923,0.4259,
A549-CBE,Senexin B,13,0,1.2984,1.187,
A549-CBE,Senexin B,13,0,1.2404,1.1294,
A549-CBE,Senexin B,13,0,1.1837,1.0768,
A549-CBE,Senexin B,13,100,1.1431,1.0377,
A549-CBE,Senexin B,13,100,1.0571,0.9583,
A549-CBE,Senexin B,13,100,1.0899,0.9895,
