Cell Line,Drug,Concentration (nM or % for DMSO),Measurement,Measurement-Ref,Error?
A549,HQ461,20,1.2753,1.1623,
A549,HQ461,20,1.3231,1.2088,
A549,HQ461,50,1.2043,1.0965,
A549,HQ461,50,1.1767,1.0702,
A549,HQ461,50,1.1666,1.0601,
A549,HQ461,50,1.2577,1.1463,
A549,HQ461,100,1.2758,1.1639,
A549,HQ461,100,1.3,1.187,
A549,HQ461,100,1.3348,1.2195,
A549,HQ461,100,1.3766,1.2605,
A549,DMSO,0.2,1.3652,1.251,
A549,DMSO,0.2,1.4638,1.3412,
A549,DMSO,0.2,1.3801,1.2614,
A549,DMSO,0.2,1.3534,1.2375,
A549,DMSO,0.2,1.4378,1.3165,
A549,DMSO,0.2,1.402,1.2833,
A549,DMSO,0.2,1.3101,1.1964,
A549,DMSO,0.2,1.3758,1.2579,
A549,DMSO,0.2,1.3447,1.2278,
A549,DMSO,0.2,1.3398,1.2247,
A549,DMSO,0.2,1.3598,1.2432,
A549,DMSO,0.2,1.3955,1.28,
A549,HQ461,200,1.3866,1.2706,
A549,HQ461,200,1.3932,1.2761,
A549,HQ461,200,1.3276,1.2142,
A549,HQ461,200,1.363,1.2472,
A549,HQ461,500,1.2665,1.157,
A549,HQ461,500,1.3364,1.222,
A549,HQ461,500,1.4148,1.2964,
A549,HQ461,500,1.3402,1.2272,
A549,HQ461,1000,1.1967,1.0907,
A549,HQ461,1000,0.8451,0.7012,TRUE
A549,HQ461,1000,1.3059,1.1958,
A549,HQ461,1000,1.2596,1.1502,
A549,HQ461,2000,0.391,0.3306,
A549,HQ461,2000,0.4133,0.3521,
A549,HQ461,2000,0.4139,0.3529,
A549,HQ461,2000,0.4177,0.3551,
A549,HQ461,4000,0.1619,0.1152,
A549,HQ461,4000,0.1615,0.1146,
A549,HQ461,4000,0.1513,0.1053,
A549,HQ461,4000,0.149,0.1026,
A549,HQ461,10000,0.1807,0.1334,
A549,HQ461,10000,0.5823,-0.0879,TRUE
A549,HQ461,10000,0.2371,0.0908,TRUE
A549,HQ461,10000,0.1801,0.1321,
A549,BSJ-4-116,1,1.376,1.2595,
A549,BSJ-4-116,1,1.3428,1.2283,
A549,BSJ-4-116,1,1.2402,1.1307,
A549,BSJ-4-116,1,1.2168,1.1084,
A549,BSJ-4-116,5,1.235,1.1262,
A549,BSJ-4-116,5,1.0502,0.9522,TRUE
A549,BSJ-4-116,5,1.2703,1.1601,
A549,BSJ-4-116,5,1.2643,1.1541,
A549,BSJ-4-116,10,1.2601,1.1501,
A549,BSJ-4-116,10,0.6856,0.6116,TRUE
A549,BSJ-4-116,10,0.7723,0.6929,TRUE
A549,BSJ-4-116,10,1.4499,1.3287,
A549,BSJ-4-116,20,1.2743,1.1644,
A549,BSJ-4-116,20,1.2616,1.1503,
A549,BSJ-4-116,20,1.2735,1.1617,
A549,BSJ-4-116,20,1.1962,1.089,
A549,BSJ-4-116,50,1.2106,1.1037,
A549,BSJ-4-116,50,0.6792,0.5522,TRUE
A549,BSJ-4-116,50,1.2489,1.1386,
A549,BSJ-4-116,50,1.2651,1.1544,
A549,BSJ-4-116,100,1.2507,1.1404,
A549,BSJ-4-116,100,1.1934,1.0861,
A549,BSJ-4-116,100,1.1997,1.0931,
A549,BSJ-4-116,100,1.2347,1.1259,
A549,BSJ-4-116,200,0.5553,0.485,
A549,BSJ-4-116,200,0.6579,0.5818,
A549,BSJ-4-116,200,0.8998,0.4779,
A549,BSJ-4-116,200,0.702,0.6232,
A549,BSJ-4-116,500,0.3712,0.3117,
A549,BSJ-4-116,500,0.3643,0.3045,
A549,BSJ-4-116,500,0.3704,0.3104,
A549,BSJ-4-116,500,0.3706,0.3115,
A549,BSJ-4-116,1000,0.3481,0.2892,
A549,BSJ-4-116,1000,0.3532,0.2942,
A549,BSJ-4-116,1000,0.3449,0.287,
A549,BSJ-4-116,1000,0.3407,0.284,
A549,BSJ-4-116,2000,0.3041,0.2478,
A549,BSJ-4-116,2000,0.3219,0.2651,
A549,BSJ-4-116,2000,0.3422,0.2839,
A549,BSJ-4-116,2000,0.3257,0.2699,
A549,BSJ-4-116,4000,0.2927,0.2391,
A549,BSJ-4-116,4000,0.2739,0.2198,
A549,BSJ-4-116,4000,0.2849,0.2299,
A549,BSJ-4-116,4000,0.2692,0.2149,
A549,BSJ-4-116,10000,0.2514,0.1989,
A549,BSJ-4-116,10000,0.2524,0.2008,
A549,BSJ-4-116,10000,0.2536,0.2016,
A549,BSJ-4-116,10000,0.2569,0.2058,
NO CELLS,None,0,0.1243,0.0794,
NO CELLS,None,0,0.119,0.075,
NO CELLS,None,0,0.1239,0.0797,
NO CELLS,None,0,0.1175,0.0745,
NO CELLS,None,0,0.1208,0.0758,
NO CELLS,None,0,0.1189,0.0745,
NO CELLS,None,0,0.1153,0.0722,
NO CELLS,None,0,0.1168,0.0744,
NO CELLS,None,0,0.1179,0.073,
NO CELLS,None,0,0.1167,0.0727,
NO CELLS,None,0,0.1179,0.0743,
NO CELLS,None,0,0.114,0.0716,
