Cell Line,Drug,Concentration,Measurement,Measurement-Ref
A2780,SY-5609,5,0.5256,0.4554
A2780,SY-5609,10,0.4379,0.3733
A2780,SY-5609,10,0.4481,0.3827
A2780,SY-5609,10,0.4465,0.3823
A2780,SY-5609,100,0.2816,0.2243
A2780,SY-5609,100,0.2899,0.2334
A2780,SY-5609,100,0.2659,0.2107
A2780,SY-5609,500,0.1888,0.1381
A2780,SY-5609,500,0.1825,0.1327
A2780,SY-5609,500,0.1898,0.139
A2780,SY-5609,1000,0.127,0.0804
A2780,SY-5609,1000,0.1281,0.0817
A2780,SY-5609,1000,0.1258,0.0796
A2780,Senexin B,10,1.0158,0.9061
A2780,Senexin B,10,1.0403,0.9269
A2780,Senexin B,10,1.0818,0.9663
A2780,Senexin B,100,0.9383,0.8276
A2780,Senexin B,100,0.919,0.8105
A2780,Senexin B,100,0.9084,0.8018
A2780,Senexin B,500,0.6296,0.5396
A2780,Senexin B,500,0.645,0.5567
A2780,Senexin B,500,0.6292,0.5415
A2780,Senexin B,1000,0.5515,0.4696
A2780,Senexin B,1000,0.5734,0.4899
A2780,Senexin B,1000,0.5488,0.4675
A2780,Senexin B,2500,0.5023,0.4288
A2780,Senexin B,2500,0.502,0.428
A2780,Senexin B,2500,0.5107,0.4361
A2780,Senexin B,5000,0.4577,0.3895
A2780,Senexin B,5000,0.4319,0.3653
A2780,Senexin B,5000,0.4329,0.3666
A2780,SEL120,10,1.008,0.8977
A2780,SEL120,10,1.0339,0.921
A2780,SEL120,10,0.9991,0.8901
A2780,SEL120,100,0.9486,0.8411
A2780,SEL120,100,0.9755,0.866
A2780,SEL120,100,1.0175,0.9042
A2780,SEL120,500,0.8581,0.7595
A2780,SEL120,500,0.8838,0.7848
A2780,SEL120,500,0.9055,0.8029
A2780,SEL120,1000,0.9584,0.8544
A2780,SEL120,1000,0.9635,0.8596
A2780,SEL120,1000,0.9434,0.8417
A2780,SEL120,2500,0.7663,0.6799
A2780,SEL120,2500,0.7504,0.666
A2780,SEL120,2500,0.7366,0.654
A2780,SEL120,5000,0.3906,0.3292
A2780,SEL120,5000,0.4231,0.3603
A2780,SEL120,5000,0.4204,0.3575
A2780,None,0,1.0611,0.9447
A2780,None,0,1.0785,0.9599
A2780,None,0,1.0563,0.9405
A549,DMSO,,0.7734,0.6891
A549,DMSO,,0.7092,0.6296
A549,DMSO,,0.7133,0.6334
A549,KI-CDK9d-32,2,1.137,1.0313
A549,KI-CDK9d-32,2,1.1505,1.0424
A549,KI-CDK9d-32,2,1.1625,1.0553
A549,KI-CDK9d-32,5,1.1315,1.0267
A549,KI-CDK9d-32,5,1.1732,1.0658
A549,KI-CDK9d-32,5,1.1748,1.0665
A549,KI-CDK9d-32,10,1.1651,1.0574
A549,KI-CDK9d-32,10,1.1764,1.0691
A549,KI-CDK9d-32,10,1.2319,1.1208
A549,KI-CDK9d-32,100,0.9138,0.8251
A549,KI-CDK9d-32,100,0.8256,0.7407
A549,KI-CDK9d-32,100,0.8468,0.761
A549,KI-CDK9d-32,500,0.4923,0.4258
A549,KI-CDK9d-32,500,0.4999,0.433
A549,KI-CDK9d-32,500,0.4819,0.4153
A549,KI-CDK9d-32,1000,0.4399,0.3767
A549,KI-CDK9d-32,1000,0.4388,0.3775
A549,KI-CDK9d-32,1000,0.4929,0.4273
A549,KB-0742,10,1.0326,0.935
A549,KB-0742,10,1.1367,1.0335
A549,KB-0742,10,1.16,1.0509
A549,KB-0742,100,1.1569,1.0524
A549,KB-0742,100,1.0268,0.9292
A549,KB-0742,100,0.9666,0.8733
A549,KB-0742,500,0.9774,0.8835
A549,KB-0742,500,0.9563,0.8623
A549,KB-0742,500,0.9595,0.865
A549,KB-0742,1000,0.8853,0.7975
A549,KB-0742,1000,0.854,0.7675
A549,KB-0742,1000,0.8298,0.7445
A549,KB-0742,2500,0.3703,0.3098
A549,KB-0742,2500,0.3664,0.3059
A549,KB-0742,2500,0.3452,0.2864
A549,KB-0742,5000,0.3577,0.2987
A549,KB-0742,5000,0.3064,0.2501
A549,KB-0742,5000,0.3126,0.2557
A549,SY-5609,2,0.9208,0.8302
A549,SY-5609,2,0.9073,0.8184
A549,SY-5609,2,0.9054,0.8171
A549,SY-5609,5,0.8453,0.7587
A549,SY-5609,5,0.8937,0.8052
A549,SY-5609,5,0.8469,0.7606
A549,SY-5609,10,0.8275,0.7412
A549,SY-5609,10,0.8103,0.7252
A549,SY-5609,10,0.8302,0.7452
A549,SY-5609,100,0.8224,0.7374
A549,SY-5609,100,0.6695,0.5929
A549,SY-5609,100,0.6521,0.5764
A549,SY-5609,500,0.6542,0.5788
A549,SY-5609,500,0.6376,0.5637
A549,SY-5609,500,0.6572,0.5821
A549,SY-5609,1000,0.5636,0.4934
A549,SY-5609,1000,0.6048,0.533
A549,SY-5609,1000,0.5999,0.5284
A549,Senexin B,10,0.9656,0.8721
A549,Senexin B,10,1.0685,0.9694
A549,Senexin B,10,1.1161,1.0139
A549,Senexin B,100,1.168,1.0602
A549,Senexin B,100,1.111,1.0071
A549,Senexin B,100,1.0616,0.9601
A549,Senexin B,500,0.9458,0.8508
A549,Senexin B,500,0.8939,0.8033
A549,Senexin B,500,0.9049,0.8131
A549,Senexin B,1000,0.8055,0.7191
A549,Senexin B,1000,0.829,0.7406
A549,Senexin B,1000,0.8338,0.7463
A549,Senexin B,2500,0.6382,0.5619
A549,Senexin B,2500,0.5227,0.4535
A549,Senexin B,2500,0.6653,0.5883
A549,Senexin B,5000,0.4746,0.4058
A549,Senexin B,5000,0.5125,0.442
A549,Senexin B,5000,0.494,0.4248
A549,SEL120,10,1.0718,0.9727
A549,SEL120,10,1.0217,0.9252
A549,SEL120,10,1.0595,0.9609
A549,SEL120,100,0.9812,0.885
A549,SEL120,100,1.0082,0.9093
A549,SEL120,100,1.003,0.9053
A549,SEL120,500,0.9594,0.8658
A549,SEL120,500,1.0056,0.9096
A549,SEL120,500,1.1079,1.0058
A549,SEL120,1000,1.1351,1.0298
A549,SEL120,1000,1.0719,0.9695
A549,SEL120,1000,1.0735,0.9725
A549,SEL120,2500,0.8334,0.7458
A549,SEL120,2500,0.8514,0.7634
A549,SEL120,2500,0.8288,0.7433
A549,SEL120,5000,0.7088,0.629
A549,SEL120,5000,0.755,0.6741
A549,SEL120,5000,0.7589,0.6772
A549,None,0,1.1678,1.0634
A549,None,0,1.2128,1.1048
A549,None,0,1.2719,1.1623
