gRNA_id,Gene,classification,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,LFC_avg_ABE_ABEMA,LFC_median_ABE_ABEMA,base_RPM,base_RAW,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,LFC_avg_ABE_ATIRMO,LFC_median_ABE_ATIRMO,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,LFC_avg_ABE_INX,LFC_median_ABE_INX,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,LFC_avg_ABE_PALBO,LFC_median_ABE_PALBO,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,LFC_avg_ABE_RIBO,LFC_median_ABE_RIBO,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,LFC_avg_ABE_TAGTO,LFC_median_ABE_TAGTO,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_ABEMA,FDR_ABE_ABEMA,p_ABE_ATIRMO,FDR_ABE_ATIRMO,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_INX,FDR_ABE_INX,p_ABE_PALBO,FDR_ABE_PALBO,p_ABE_RIBO,FDR_ABE_RIBO,p_ABE_TAGTO,FDR_ABE_TAGTO,p_Plasmid,FDR_Plasmid
gRNA_CDK2_targ_7381,CDK2,targeting,-5.705374382206003,-3.000499147467908,-3.8772458261111398,-4.194373118595017,-3.8772458261111398,703.2334107969839,1346.0,-0.1783843805765436,-1.4612707987421933,-5.075677539399677,-2.2384442395728046,-1.4612707987421933,-1.8798639591710358,-3.102416898126469,-1.7034353250650043,-2.2285720607875033,-1.8798639591710358,-0.7864310310509963,-3.5171763356166323,-2.166683739073587,-2.156763701913739,-2.166683739073587,-4.071321316003123,-3.390819371384275,-1.5310234760092172,-2.997721387798872,-3.390819371384275,-2.502500014753589,-3.2970992669736825,-3.0465717032618214,-2.9487236616630312,-3.0465717032618214,-1.489904960611363,0.6020776511717225,-0.8004363568295871,-0.5627545554230758,-0.8004363568295871,-0.6184039678195848,-0.6184039678195848,-0.6184039678195848,4.1025318572854354e-10,3.573521170424945e-08,0.0001107884950590262,0.0025465966572595605,0.004916400654493196,0.15067857561456,0.005144897763699782,0.052886992539895275,1.3429387188963498e-07,3.832006172023205e-06,1.4147073989345235e-06,0.00010642457932893802,0.42697006894754974,0.7517398554342497,0.011598840115988402,0.09097668432208912
gRNA_CDK2_targ_7382,CDK2,targeting,-3.2275848686224724,-3.244113704798712,-3.0689330606283853,-3.18021054468319,-3.2275848686224724,633.3294972372636,1444.0,-2.6540145950360503,-3.00356219134464,-0.9657910674363479,-2.2077892846056795,-2.6540145950360503,-0.37676829387148936,-0.9705709800665021,-7.067008256097659,-2.8047825100118833,-0.9705709800665021,-3.0097542259443104,-4.742821338163542,-1.9632987144744747,-3.238624759527442,-3.0097542259443104,-3.9856386960380576,-0.6347684753419179,-0.7384789180221707,-1.7862953631340488,-0.7384789180221707,-2.228403996637241,-2.466811066627397,-5.551842641417871,-3.415685901560836,-2.466811066627397,-1.011633541660481,0.8149889413952913,-3.0788732176332796,-1.091839272632823,-1.011633541660481,-0.40079549477249043,-0.40079549477249043,-0.40079549477249043,4.1025318572854354e-10,3.573521170424945e-08,0.0005763857572061483,0.008223434725656684,0.00047987356093699555,0.03309128097294699,0.0003269181558680393,0.010208482037011414,0.00030754450364524685,0.0025073209533639585,3.5420135366688775e-06,0.0001674866400910569,0.1454512681556107,0.4201600346176557,0.06059394060593942,0.3020571436832221
gRNA_CDK2_targ_7383,CDK2,targeting,-1.6601797542032524,-0.7343347773386152,-1.4628881713007016,-1.285800900947523,-1.4628881713007016,1155.5945236878742,2549.0,-0.021089291288903748,-1.5677772791651636,-2.43119681915417,-1.3400211298694125,-1.5677772791651636,-0.46257636634020927,0.4261762172854786,-2.903865923602076,-0.9800886908856022,-0.46257636634020927,-0.5006853076764055,-2.724750318927312,0.605122559555958,-0.8734376890159199,-0.5006853076764055,-3.075144021312725,-3.1582955461842177,-2.8513658816733227,-3.028268483056755,-3.075144021312725,-1.3640726807916776,-2.345312015831105,-1.6719383379591222,-1.793774344860635,-1.6719383379591222,-0.4177374851339576,-0.5729016355167463,-1.1092891547269914,-0.699976091792565,-0.5729016355167463,-0.622967597298371,-0.622967597298371,-0.622967597298371,0.010200138329322268,0.042845758718346075,0.004106218996543382,0.03315020702087462,0.10846013121773326,0.5854774539699363,0.09533219221215289,0.2930527196680824,4.1025318572854354e-10,3.573521170424945e-08,0.001337894210243202,0.01466367495332781,0.41910579623284117,0.7450269524869517,0.011598840115988402,0.09097668432208912
gRNA_CDK2_targ_7384,CDK2,targeting,-0.2693251749221847,-0.299032553996658,-0.37810384590128754,-0.31548719160671007,-0.299032553996658,394.86968620327127,871.0,-1.8870556752918068,-0.9793497912939214,0.7679068535914051,-0.6994995376647744,-0.9793497912939214,-0.16731368432508656,-1.555182071992689,0.1972224100016299,-0.5084244487720485,-0.16731368432508656,0.024837413740218077,-1.4518642041873515,-1.1568664171840384,-0.8612977358770572,-1.1568664171840384,-0.22539066874611188,0.03163348833516261,-0.27524592847610896,-0.1563343696290194,-0.22539066874611188,0.3041737094905035,-0.2751792608558982,-1.7286161932340023,-0.5665405815331324,-0.2751792608558982,0.05494456069155311,0.9882890455057494,0.1695199660337738,0.4042511907436921,0.1695199660337738,0.6473155218565599,0.6473155218565599,0.6473155218565599,0.22768759275477757,0.40954436639906927,0.033095238265623377,0.1449638432898795,0.23848878033227033,0.7150342961049047,0.17289843413811887,0.41231543011323735,0.36266958557512474,0.6026286788422002,0.0871710089791375,0.2380660393737171,0.29819982369013215,0.9999957837302795,0.3802619738026196,0.7765570906951698
gRNA_CDK2_targ_7385,CDK2,targeting,-2.3339590658605474,-2.8700228825134384,-3.759952758117312,-2.987978235497099,-2.8700228825134384,544.4050624446191,1204.0,-1.135898866992541,-0.14052812806650264,-0.1389175467989946,-0.47178151395267937,-0.14052812806650264,-0.486255967164821,0.3395072532497218,-0.42099240295452606,-0.18924703895654174,-0.42099240295452606,-0.5193265412244458,-1.7040227228931384,-0.476790581975351,-0.9000466153643116,-0.5193265412244458,-3.899425617752985,-1.3420326396639684,-1.5753633157462472,-2.272273857721067,-1.5753633157462472,0.19121810740326162,-0.16185754723517562,0.05111774080576869,0.02682610032461823,0.05111774080576869,-2.0707482975354305,-1.4294235817704635,-0.4376452969236981,-1.312605725409864,-1.4294235817704635,0.18999529541426574,0.18999529541426574,0.18999529541426574,6.980040150701307e-07,1.591533114949097e-05,0.15848430799624963,0.3920650668666564,0.4135192549003021,0.7872133275188058,0.19510202735121848,0.4400689949372239,5.021581422551734e-05,0.0005731529140912496,0.4972174960695056,0.7367009453849882,0.17607494777056895,0.4728279532388395,0.4094590540945906,0.7438581059566931
gRNA_CDK2_targ_7386,CDK2,targeting,0.27260163261575976,-0.19638400379216567,-0.5349005485298589,-0.15289430656875494,-0.19638400379216567,345.2486462815525,924.0,-0.4940592950231941,-0.9068087824265375,0.020835041097471307,-0.46001101211742007,-0.4940592950231941,1.0643785691687075,0.06525988501827053,-0.6563947509115107,0.1577479010918225,0.06525988501827053,-0.3918587843592696,-1.1152069252299577,0.6290124532385568,-0.29268441878355683,-0.3918587843592696,0.7871881549912362,-0.313153643563694,0.10587617511139205,0.19330356217964473,0.10587617511139205,-0.23543151348143315,0.1442740654167398,-0.1451584282071381,-0.07877195875727715,-0.1451584282071381,0.748648248671973,0.8151047271950378,-0.16268597137356738,0.4670223348311478,0.748648248671973,0.6425538322726546,0.6425538322726546,0.6425538322726546,0.330354020043141,0.542935355681627,0.17344233637227002,0.422749730038449,0.3329959037606059,0.9009730199430371,0.4228606300834636,0.6949695558968543,0.569125120100799,0.7982220964125614,0.4108138601512528,0.6512422783049074,0.28430885652736326,0.9999957837302795,0.3802619738026196,0.7765570906951698
gRNA_CDK2_targ_7387,CDK2,targeting,0.4298392066057106,0.6487955286428229,0.0009514936453684964,0.35986207629796735,0.4298392066057106,272.3877306701859,729.0,0.630502735948648,1.0942403250858452,0.9651828033402897,0.8966419547915944,0.9651828033402897,1.236651719924928,-0.8160827673533361,-1.8762595502342505,-0.4852301992208862,-0.8160827673533361,-0.4574918266481051,-2.559311468550082,-0.9684981556207876,-1.3284338169396583,-0.9684981556207876,1.9587720809550717,0.31787360664055275,0.3242234803991474,0.8669563893315906,0.3242234803991474,1.6614555061292522,1.5969012665193707,1.035552163958099,1.4313029788689073,1.5969012665193707,1.5881934478713993,-2.6970777618848403,-0.2764924074785639,-0.46179224049733497,-0.2764924074785639,1.0981863963662002,1.0981863963662002,1.0981863963662002,0.47810428107958225,0.9613444507603687,0.09894820471908301,0.9997453570640631,0.17628714235650414,0.6549714627919733,0.056215521013704174,0.21192867261430617,0.13196094889351445,0.9826751623943979,0.01816349250142507,0.9696961319309191,0.2933211849984226,0.6223673861184479,0.12558744125587443,0.9343565320679036
gRNA_CDK2_targ_7388,CDK2,targeting,-2.3788501169696725,-2.2226505874983924,-2.0978415280617857,-2.2331140775099505,-2.2226505874983924,661.8940779067464,1460.0,-1.329320650976933,-1.720381199254037,-0.6407622329989133,-1.230154694409961,-1.329320650976933,-0.22003741283088182,-0.8363081642633109,0.8300940683880692,-0.07541716956870785,-0.22003741283088182,-0.3366440016002739,-2.441676398282589,-2.127795843126504,-1.635372081003122,-2.127795843126504,-3.30738975753524,0.24798380006095372,-0.6134571033941829,-1.2242876869561565,-0.6134571033941829,-1.718462606049422,-2.062192365520388,-2.414627109201917,-2.065094026923909,-2.062192365520388,-1.9681383252966107,-1.4837496177942637,-0.11073985551056229,-1.1875425995338122,-1.4837496177942637,0.096374468979209,0.096374468979209,0.096374468979209,7.207222064004948e-05,0.0007597421984667636,0.007039044738908482,0.04986778159041299,0.4827251370617649,0.8261005104675861,0.025287883699511727,0.1325172746708873,0.0007450391096206491,0.005159162035239222,0.00045042134137666343,0.006715741621426829,0.1987843439603437,0.5053580480097831,0.32006799320067986,0.643632377158093
gRNA_CDK2_targ_7389,CDK2,targeting,-1.7978432953138976,-3.2302416895520634,-4.484938215541972,-3.171007733469311,-3.2302416895520634,653.5063661757958,1349.0,-3.515956567875129,-2.8579408993995687,-1.6632255935153057,-2.6790410202633343,-2.8579408993995687,-0.1860370397220602,-0.5088330013304714,-4.031261736115907,-1.5753772590561461,-0.5088330013304714,-4.333093296253798,-3.244213340860183,-1.8639723795033296,-3.1470930055391038,-3.244213340860183,-2.640353373621563,-1.1018343319298063,-2.099901132362571,-1.9473629459713138,-2.099901132362571,-1.3795964993649315,-3.477482953048725,-2.33911159444998,-2.3987303489545453,-2.33911159444998,-0.9882525716583613,-3.3897706028787846,-4.206845083749011,-2.8616227527620524,-3.3897706028787846,0.3381360288420003,0.3381360288420003,0.3381360288420003,7.993787222403152e-08,2.5441765102071566e-06,3.102130755046818e-06,0.00019746255383086471,0.030905878095092095,0.42693064609202463,0.00026454277086982017,0.010122032231242672,3.412356899904717e-05,0.0004554395701082505,1.1201009451501957e-05,0.0003310298328970668,0.0070271428061073095,0.10669652609273025,0.47985201479852024,0.7701843274201533
gRNA_CDK2_targ_7390,CDK2,targeting,-1.4173659876127247,-1.2777406886640887,-3.0429650646696067,-1.9126905803154735,-1.4173659876127247,725.2463446239105,1941.0,-2.5083944009241876,-1.3034764543530104,-1.839368330381164,-1.883746395219454,-1.839368330381164,0.17067003083757984,-0.5689992778829969,0.10437319505383337,-0.09798535066386123,0.10437319505383337,0.3997931273451789,-0.6049249339737052,-3.4601247412012732,-1.2217521826099331,-0.6049249339737052,-3.993659531832598,-0.45106542147182066,-1.0852870188106942,-1.843337324038371,-1.0852870188106942,-1.1891496108760233,-1.1823106056577006,-2.6066899008456583,-1.659383372459794,-1.1891496108760233,-1.1592337573202112,-2.2529085780432747,0.8194219717736755,-0.8642401211966034,-1.1592337573202112,-0.06233916001954138,-0.06233916001954138,-0.06233916001954138,4.003698211133524e-05,0.0004836584335347432,0.0005721688947922129,0.008223434725656684,0.5082921207884865,0.8392750197182225,0.04931956440069086,0.19715912822015305,0.0002640540315183302,0.0022183219399128755,0.0028344476475458363,0.024952185407916803,0.24853951823896492,0.5720902679909415,0.25337466253374663,0.6357542765317081
gRNA_CDK2_targ_7391,CDK2,targeting,-1.2114920826702742,-0.6614857457727464,-2.1092732098448774,-1.3274170127626326,-1.2114920826702742,212.23076957567295,568.0,-2.57981219492912,-1.1546754348573227,-1.3332759645634467,-1.6892545314499632,-1.3332759645634467,1.208913114083199,-1.092474806423672,-2.0902761178679383,-0.6579459367361371,-1.092474806423672,-1.8685730894966477,-1.7935382978707437,-3.8703388889407155,-2.510816758769369,-1.8685730894966477,-0.8445718918407238,-0.20875752759453192,-0.4819095440417859,-0.5117463211590138,-0.4819095440417859,0.19973225046265347,-1.4451376378478897,-0.8545906708250158,-0.6999986860700841,-0.8545906708250158,-4.020001000716751,-7.4791880979623135,-0.7482206482242574,-4.082469915634441,-4.020001000716751,0.45706929195225154,0.45706929195225154,0.45706929195225154,0.006141295023034159,0.029805991973963445,0.0017149155571327015,0.017608503856104258,0.15553810546152189,0.6355939865156018,0.0019987762234552424,0.029274111945295805,0.177400075526676,0.3706929450807556,0.05320023802054648,0.169973733444024,6.661727925527884e-05,0.010223899513683162,0.4561543845615438,0.7701843274201533
gRNA_CDK2_targ_7392,CDK2,targeting,-2.4662935198636506,-3.6545941994383315,-2.791534568459876,-2.9708074292539526,-2.791534568459876,541.7862955717004,1175.0,-4.182747728446337,-5.156681431063185,-4.487519059261201,-4.608982739590241,-4.487519059261201,-1.970782894485788,-0.3433147476465421,-3.0180169206928227,-1.7773715209417176,-1.970782894485788,-3.7012342448879076,-2.974190411611602,-4.219792046751034,-3.6317389010835144,-3.7012342448879076,-4.06457155105886,-4.403903954207892,-4.114496228638863,-4.194323911301872,-4.114496228638863,-2.0082898142912837,-1.6500354892800764,-3.3489231673883597,-2.3357494903199068,-2.0082898142912837,-1.734729218456615,-2.456044304510933,-4.600676247237164,-2.9304832567349037,-2.456044304510933,-0.2226378661564397,-0.2226378661564397,-0.2226378661564397,3.2991645070764967e-07,7.80016751315943e-06,4.1025318572854354e-10,3.394845111903698e-07,0.016199583337695778,0.3269550051693477,5.183011294634864e-05,0.003899038042100318,4.1025318572854354e-10,3.573521170424945e-08,5.990982040068865e-06,0.00022033500614031048,0.009053994837799713,0.11673958894531722,0.17448255174482552,0.6053849541670571
