gRNA_id,Gene,classification,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,base_RPM,base_RAW,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,LFC_avg_KB_2000,LFC_median_KB_2000,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,LFC_avg_KB_4000,LFC_median_KB_4000,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_DMSO,FDR_DMSO,p_KB_2000,FDR_KB_2000,p_KB_4000,FDR_KB_4000,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_423,CDK7,targeting,0.9506383643196386,0.4047437874876747,0.7760053846299243,0.7104625121457459,0.7760053846299243,86.16849785771858,2436.0,0.3840928800893815,-2.130296152693299,-0.4947362461523518,-0.746979839585423,-0.4947362461523518,0.17369291067131964,0.9503645185940731,-4.807669010844945,-1.2278705271931842,0.17369291067131964,1.4266535104405735,1.4266535104405735,1.4266535104405735,0.03318476990778551,0.5147410332287183,0.28283063764056776,0.7410054133961133,0.24448522195294303,0.8787379635596002,0.03709629037096289,0.7781494577814942
gRNA_CDK7_targ_424,CDK7,targeting,-0.01943245526371893,-0.2622671261251453,-2.7207599372691575,-1.000819839552674,-0.2622671261251453,96.17516212506654,2249.0,-2.700565092499021,-1.7958931881427478,-1.6908316213001167,-2.0624299673139617,-1.7958931881427478,-3.8039106017017152,0.37710688862244085,-1.0441701717326295,-1.4903246282706346,-1.0441701717326295,1.6174963570264846,1.6174963570264846,1.6174963570264846,0.028165005323603467,0.24786551855555786,0.023913203900103402,0.28977487445751576,0.19661456781175757,0.8548073953925528,0.021997800219977992,0.6127958632708156
gRNA_CDK7_targ_425,CDK7,targeting,1.6166543299893574,0.5904082274924249,-1.7964397583049996,0.13687426639226086,0.5904082274924249,16.25013855381293,380.0,-2.537194451523695,-3.0082069536140104,1.2674325719904271,-1.4259896110490926,-2.537194451523695,-3.5784151057102984,-2.7330775384233084,2.1546042681982245,-1.3856294586451272,-2.7330775384233084,3.3777324411868372,3.3777324411868372,3.3777324411868372,0.029847021835290994,0.5060504660560871,0.0570645346199651,0.4541871122813549,0.12269010443553179,0.8133950956763764,9.999000099990012e-05,0.0055708714842801505
gRNA_CDK7_targ_426,CDK7,targeting,0.3873760853770109,-0.13493533472901237,-1.497087017150172,-0.41488208883405786,-0.13493533472901237,114.33844794843802,3909.0,-1.2420559773497628,-1.4057512033690525,-1.5892869429126337,-1.4123647078771497,-1.4057512033690525,-2.8813017768600058,-2.949221583916851,-2.4397842146386384,-2.7567691918051653,-2.8813017768600058,1.2645807280324919,1.2645807280324919,1.2645807280324919,0.14464062348135306,0.5781389489078973,0.07794710970459548,0.4975737720844076,0.03538770088152186,0.6294259594873219,0.05909409059094091,0.8583261392170642
gRNA_CDK8_targ_427,CDK8,targeting,-0.6295055827980428,-0.3245129341675958,-0.4334758150906629,-0.4624981106854338,-0.4334758150906629,292.71631158118294,8879.0,-4.806800928993854,-0.8396190058525295,-0.2351815709335027,-1.9605338352599622,-0.8396190058525295,-1.6529373557621854,-1.6887805595614978,0.7595303151032716,-0.8607292000734704,-1.6529373557621854,0.05953911654887525,0.05953911654887525,0.05953911654887525,0.17260201137470743,0.6241105841760943,0.011920142707262557,0.19837401370981397,0.3442204304806345,0.8992552872843371,0.20077992200779926,0.47334126690957856
gRNA_CDK8_targ_428,CDK8,targeting,0.27135188993011844,-0.19186277368193527,-0.7246857711899565,-0.2150655516472578,-0.19186277368193527,175.7580775162399,5601.0,-0.2877541307100982,-0.4461784704540268,-0.6083131043069141,-0.44741523515701304,-0.4461784704540268,-3.812307369674614,-0.038975557998425246,-0.878522689898078,-1.5766018725237059,-0.878522689898078,0.5171442557684407,0.5171442557684407,0.5171442557684407,0.3446407048660465,0.8318913565732156,0.5113904915962084,0.9073721571194739,0.1882074445104772,0.8542777338336845,0.4373562643735628,0.7902728245693948
gRNA_CDK8_targ_429,CDK8,targeting,-1.206417016067266,-0.3505453240892498,-0.20155632940937754,-0.5861728898552978,-0.3505453240892498,359.8926230641037,12304.0,1.1583117788227173,-0.9161367040527886,-0.902021617312377,-0.21994884751414942,-0.902021617312377,0.3387624179596862,-0.693950426348993,-2.3884818640723724,-0.914556624153893,-0.693950426348993,0.2842759912477137,0.2842759912477137,0.2842759912477137,0.10768719182175236,0.49743829724768857,0.4572651014455352,0.8723506128206228,0.3616879824141724,0.9096005994506924,0.3837616238376163,0.6698652385400847
gRNA_CDK8_targ_430,CDK8,targeting,0.5505746450283636,0.8505834594966396,-0.08231563051738597,0.43961415800253906,0.5505746450283636,170.64479542880207,7540.0,-0.9170754541430021,0.48826832326745784,-0.18439412578343706,-0.2044004188863271,-0.18439412578343706,-0.8603288658798749,0.4685742065636694,-1.3220184037248888,-0.5712576876803648,-0.8603288658798749,1.1697998448295093,1.1697998448295093,1.1697998448295093,0.1310877138760216,0.7855931243756007,0.5812200062235795,0.9219817646661082,0.4978403351810946,0.9405511862456447,0.08929107089291072,0.8583261392170642
gRNA_CDK8_targ_431,CDK8,targeting,0.8266755447249996,-0.12888433917738326,0.12307963312885453,0.2736236128921569,0.12307963312885453,249.3208849690513,8456.0,-0.3972128100585571,1.2732780349541044,0.33665311250357643,0.404239445799708,0.33665311250357643,-1.125738872128801,0.09076518721395829,-0.5350001447474558,-0.5233246098874328,-0.5350001447474558,0.9901433767048126,0.9901433767048126,0.9901433767048126,0.23691952602833027,0.8835933142859859,0.22343525053689225,0.9999237466901253,0.5554634148079349,0.9534833116954484,0.1198880111988801,0.9871013692596599
gRNA_CDK8_targ_432,CDK8,targeting,0.18333021666613822,-0.01455073230633587,1.5329351397935993,0.5672382080511339,0.18333021666613822,353.19902730162096,21176.0,-0.3138992807625318,2.4671759682684162,3.216732568767023,1.7900030854243025,2.4671759682684162,0.0025841476940813087,-1.9293820032649254,1.9604685558463337,0.011223566758496561,0.0025841476940813087,-0.06916649436640014,-0.06916649436640014,-0.06916649436640014,0.04528585959279992,0.5516571945555939,6.197898229005e-05,0.028271842565537487,0.13038949005946773,0.9616058728968288,0.12298770122987703,0.3685580947942528
