gRNA_id,Gene,classification,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,LFC_avg_ABE_SY-5609_100nM,LFC_median_ABE_SY-5609_100nM,base_RPM,base_RAW,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,LFC_avg_ABE_SY-5609_10nM,LFC_median_ABE_SY-5609_10nM,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,LFC_avg_ABE_T0,LFC_median_ABE_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_SY-5609_100nM,FDR_ABE_SY-5609_100nM,p_ABE_SY-5609_10nM,FDR_ABE_SY-5609_10nM,p_ABE_T0,FDR_ABE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_216,CDK7,targeting,0.26479947716413926,2.2539643296577405,2.702727412098702,1.7404970729735272,2.2539643296577405,82.74677572537577,1539.0,-0.2439548132023406,1.1350377076582663,-1.5057395142960561,-0.20488553994671013,-0.2439548132023406,1.6339350497085154,1.6914182837100715,0.4889275611888255,1.2714269648691374,1.6339350497085154,2.2083913774269974,2.2083913774269974,2.2083913774269974,0.006818561691042809,0.7159489775594948,0.3054368442865152,0.6193168031728569,0.0037331074699241034,0.1377213972012541,0.030696930306969315,0.32356223837075765
gRNA_CDK7_targ_217,CDK7,targeting,0.42519789789077117,-1.2361961809019535,1.720246392030481,0.30308270300643286,0.42519789789077117,146.83654613775258,2731.0,-0.984584679336858,-0.030365560438662124,0.9084917432927058,-0.03548616549427145,-0.030365560438662124,-0.1301507400795637,-0.12551709419996027,1.0762714347922369,0.2735345335042376,-0.12551709419996027,1.606870255114009,1.606870255114009,1.606870255114009,0.244723407531479,0.6869261079585133,0.4543203113696529,0.7617034352501748,0.3382580936361871,0.9093373274496265,0.1211878812118787,0.6813737230928069
gRNA_CDK7_targ_218,CDK7,targeting,1.5374330339911109,1.353990621735567,-1.7751305352184867,0.37209770683606375,1.353990621735567,103.369852395806,2157.0,-1.5559799973651542,0.36678704302404264,0.825889407434695,-0.12110118230213891,0.36678704302404264,0.7826217398786056,0.6584855082242235,-0.5035954135045239,0.3125039448661017,0.6584855082242235,1.9022345189092773,1.9022345189092773,1.9022345189092773,0.11797890449582937,0.5910326421759046,0.35022620521543196,0.6557733472140804,0.27424146676747524,0.9315863702095414,0.054594540545945404,0.42102569404076534
gRNA_CDK7_targ_219,CDK7,targeting,-0.16233926071862076,0.11814727137767794,-0.2953041814459335,-0.11316539026229211,-0.16233926071862076,151.36184773607894,5312.0,-0.7542841029475873,-0.9922632699134725,-0.8944083676100348,-0.8803185801570316,-0.8944083676100348,0.14546101050706509,0.6966764849251474,1.248749737128559,0.6969624108535905,0.6966764849251474,1.1957808725734822,1.1957808725734822,1.1957808725734822,0.48628250716277555,0.7520305662685296,0.14208261582716167,0.43937948434888685,0.07965786903042969,0.8397876479050379,0.20997900209979006,0.7687366856534686
gRNA_CDK7_targ_220,CDK7,targeting,-0.8288041960756195,0.8524712152278547,-0.654037544217587,-0.21012350835511726,-0.654037544217587,106.58069157546248,2224.0,-1.1690748072517763,-3.0143404148894724,-5.636931794220691,-3.2734490054539798,-3.0143404148894724,0.5609555625386828,0.3873478156163888,-1.850189456516463,-0.30062869278713045,0.3873478156163888,1.420342044905944,1.420342044905944,1.420342044905944,0.28472345250255515,0.5888598676757391,3.894397132631093e-06,0.0011525982184756793,0.10104039551885427,0.5021407573564745,0.171982801719828,0.7687366856534686
gRNA_CDK7_targ_221,CDK7,targeting,-0.3205985874110073,-0.5242276715968943,-2.0237737211135594,-0.9561999933738203,-0.5242276715968943,261.1980743819853,4858.0,-0.5958911346777753,-0.9430986787534908,-0.287027681718279,-0.6086724983831818,-0.5958911346777753,0.015720822850587773,0.28058035952832905,0.8649016689367949,0.38706761710523724,0.28058035952832905,0.480879508261992,0.480879508261992,0.480879508261992,0.05289819786951998,0.2941176702092282,0.23429773343345311,0.5581438152472312,0.3069849589537163,0.9999999750956328,0.48335166483351655,0.9682381109864308
gRNA_CDK7_targ_222,CDK7,targeting,0.5939732639226769,-0.4966933218957841,-0.8533083433768035,-0.2520094671166369,-0.4966933218957841,164.92514583893544,3586.0,-1.186606017876735,0.9821646506518215,-0.8996678746145096,-0.3680364139464744,-0.8996678746145096,0.5394814766157865,0.35679991353724294,0.38066040969148107,0.4256472666148368,0.38066040969148107,1.150338061140835,1.150338061140835,1.150338061140835,0.2981188565227443,0.602416342196219,0.25919818342411094,0.5809614456057659,0.3198742688831134,0.9999999750956328,0.21597840215978403,0.7687366856534686
gRNA_CDK7_targ_223,CDK7,targeting,-2.5866832869671006,-2.5572155581988385,-0.5860642643890821,-1.909987703185007,-2.5572155581988385,9.536671593308016,199.0,-1.728915167678035,-2.9191328971280393,-2.2850037400760943,-2.3110172682940564,-2.2850037400760943,-1.857864096879654,-1.22473298659939,0.5508701252982902,-0.8439089860602512,-1.22473298659939,3.321122463741843,3.321122463741843,3.321122463741843,0.0033674619094079816,0.0859174860998485,8.397799648206768e-05,0.005210452963546471,0.011623802116001367,0.23333073365208626,0.008599140085991396,0.13114889628355592
gRNA_CDK7_targ_224,CDK7,targeting,-2.214791877396494,-2.053185291902566,-1.4938925189065564,-1.9206232294018724,-2.053185291902566,3.6421459351327097,76.0,-0.5463597411034903,-2.153128029805678,-2.1492490351862195,-1.6162456020317961,-2.1492490351862195,-1.5686214204863949,-1.264240108334137,-1.5315877277109644,-1.454816418843832,-1.5315877277109644,5.2079910679433725,5.2079910679433725,5.2079910679433725,0.001866069018378162,0.06454441564511099,0.0031054574361871175,0.03906865806816051,0.0015163318359912982,0.08116835122071067,9.999000099990012e-05,0.004135950041359505
gRNA_CDK7_targ_225,CDK7,targeting,-1.9315205408415408,-3.5573283110887477,-1.3210498732149365,-2.269966241715075,-1.9315205408415408,29.377647781607195,1031.0,-0.015683846627343987,-0.4008096589259774,0.6243588885692241,0.06928846100530088,-0.015683846627343987,-2.5956179270238353,0.5715118990606831,-1.0410345079536145,-1.0217135119722556,-1.0410345079536145,2.952142814786334,2.952142814786334,2.952142814786334,0.0013175444914536726,0.05459236159624975,0.5568886919423572,0.8376466613097923,0.009719467809831498,0.21595666970137065,0.008599140085991396,0.13114889628355592
