gRNA_id,Gene,classification,CBE_SY-5609_100nM_REP1,CBE_SY-5609_100nM_REP2,CBE_SY-5609_100nM_REP3,LFC_avg_CBE_SY-5609_100nM,LFC_median_CBE_SY-5609_100nM,base_RPM,base_RAW,CBE_SY-5609_10nM_REP1,CBE_SY-5609_10nM_REP2,CBE_SY-5609_10nM_REP3,LFC_avg_CBE_SY-5609_10nM,LFC_median_CBE_SY-5609_10nM,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_SY-5609_100nM,FDR_CBE_SY-5609_100nM,p_CBE_SY-5609_10nM,FDR_CBE_SY-5609_10nM,p_CBE_T0,FDR_CBE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK9_targ_1581,CDK9,targeting,-5.332597265380009,-2.4460268750854004,-1.2789042571476084,-3.0191761325376727,-2.4460268750854004,663.6646499035363,17882.0,-2.0066560381332845,-4.338184329506996,-1.2984524080476798,-2.5477642585626534,-2.0066560381332845,0.19705821185492012,0.6793917094995489,0.36134710263294473,0.41259900799580457,0.36134710263294473,-1.3597602679629266,-1.3597602679629266,-1.3597602679629266,0.4439880041593802,0.8209197867170867,0.4777512591714158,0.9078542137301218,0.3209598341481732,0.9953540028741913,9.999000099990012e-05,0.002201392763949414
gRNA_CDK9_targ_1582,CDK9,targeting,-5.592400422846572,-4.221546127284196,-2.95816600426832,-4.257370851466362,-4.221546127284196,848.935533044038,22874.0,-2.7265148110394337,2.5554760863674315,-0.14382207975876976,-0.104953601476924,-0.14382207975876976,-0.6430086591395742,-0.4069722365391986,-1.497251197118198,-0.849077364265657,-0.6430086591395742,-1.12059341048486,-1.12059341048486,-1.12059341048486,0.16979072014777005,0.6908027809290794,0.02284978041309168,0.6115676522327479,0.1235639690714499,0.660274910857506,9.999000099990012e-05,0.002201392763949414
gRNA_CDK9_targ_1583,CDK9,targeting,-6.533372885998427,-2.201366697989015,-3.5229966106157815,-4.085912064867741,-3.5229966106157815,630.6364458342465,20357.0,-4.019933407516635,-0.7576290329051037,1.7758343984767102,-1.0005760139816762,-0.7576290329051037,-0.13559692379988522,-1.0624604497524153,0.6752673638672043,-0.17426333656169876,-0.13559692379988522,-0.8489323536266046,-0.8489323536266046,-0.8489323536266046,0.06531898299534845,0.5283282596917486,0.07408963272812898,0.731089652226347,0.41382052994079543,0.8402712348311425,0.007399260073992597,0.06644730263815721
gRNA_CDK9_targ_1584,CDK9,targeting,-3.905321297365224,-5.16104359136076,-3.846285702509324,-4.304216863745102,-3.905321297365224,279.7597321351425,8249.0,-1.25368305084507,-0.08457503717707725,-3.2481572225597293,-1.528805103527292,-1.25368305084507,0.15517682845508268,0.5772801156849328,0.2462349591709119,0.3262306344369758,0.2462349591709119,-0.12057076667727491,-0.12057076667727491,-0.12057076667727491,0.19685686369322347,0.7001680125733938,0.2168457566612073,0.9076549034948301,0.38962520550907237,0.9829407070196285,0.10548945105489446,0.3243087853376823
gRNA_CDK9_targ_1585,CDK9,targeting,-2.2174504134985713,-4.08772240102744,-1.7649465182668462,-2.6900397775976193,-2.2174504134985713,441.87334554190414,11727.0,0.13888146739592436,-3.584177606935028,-2.577806144940587,-2.0077007614932305,-2.577806144940587,1.2074194927049358,0.8707483292573517,0.36440330370578267,0.8141903752226899,0.8707483292573517,-0.3841488512577751,-0.3841488512577751,-0.3841488512577751,0.5092561664962996,0.8553955919654377,0.3491398664001382,0.9422915417703301,0.06948234196876388,0.9320687692225159,0.0373962603739626,0.17421807307323872
gRNA_CDK9_targ_1586,CDK9,targeting,-4.0194537381717135,-3.0898190097911273,-0.5128321665457181,-2.5407016381695198,-3.0898190097911273,393.8313471138383,11205.0,-0.44495094326989154,-0.5413615505923589,-1.0470188378694858,-0.6777771105772454,-0.5413615505923589,0.5123293028295293,-0.05456307924883678,1.3501975435901317,0.6026545890569414,0.5123293028295293,-0.7852746518110638,-0.7852746518110638,-0.7852746518110638,0.28676178678122877,0.8542998492154674,0.0795455829599609,0.7446748101337861,0.11977138220504202,0.9955155744338934,0.007399260073992597,0.06644730263815721
gRNA_CDK9_targ_1587,CDK9,targeting,-4.338622008071167,-3.0975683862198484,-2.6240277041871347,-3.3534060328260504,-3.0975683862198484,616.4246746921227,18325.0,-2.8484891436129938,-1.9772801628885173,-3.0748539328766076,-2.6335410797927064,-2.8484891436129938,-0.5530403051912167,0.2269696573131123,-0.0977123403817635,-0.14126099608662265,-0.0977123403817635,-1.1051846848541311,-1.1051846848541311,-1.1051846848541311,0.4868750105943812,0.8234528654066642,0.47919523517808715,0.9078542137301218,0.4781354739111644,0.853794421629809,9.999000099990012e-05,0.002201392763949414
gRNA_CDK9_targ_1588,CDK9,targeting,-2.3104931401366073,-3.055774764142273,-0.5322283908645999,-1.9661654317144934,-2.3104931401366073,317.65778851413955,9072.0,-1.3450262155179422,1.0941392806507957,-2.826977566527673,-1.0259548337982733,-1.3450262155179422,1.2395308990004097,1.6997663664401355,2.0764596383963427,1.6719189679456292,1.6997663664401355,-0.02367468025297193,-0.02367468025297193,-0.02367468025297193,0.19371768640125378,0.9159449212667532,0.12091446976864201,0.7912148837725236,0.0003633146064169983,0.017100842681351817,0.1444855514448555,0.36726774249949307
gRNA_CDK9_targ_1589,CDK9,targeting,-2.9676728491961684,-6.134128556215793,-0.5639323132766592,-3.2219112395628735,-2.9676728491961684,253.6240717014204,7664.0,-4.831483669169917,-0.8237644671992882,0.11067125995693862,-1.848192292137422,-0.8237644671992882,0.914588580094425,-0.15561041616936563,-0.630212397944767,0.04292192199343078,-0.15561041616936563,-0.7698390210833659,-0.7698390210833659,-0.7698390210833659,0.2406494212925768,0.7477399560318952,0.18819361060715603,0.8862016652091037,0.4950853277302293,0.8780312111715511,0.007399260073992597,0.06644730263815721
gRNA_CDK9_targ_1590,CDK9,targeting,-3.1600573680528883,-3.5366243204050387,-2.9741675504737013,-3.2236164129772096,-3.1600573680528883,472.93807368978656,13758.0,-1.7094066612596264,-0.6760108119120568,1.6635822372964584,-0.24061174529174156,-0.6760108119120568,-0.199952035155503,-0.8532350384594901,-1.4825032435537804,-0.8452301057229246,-0.8532350384594901,-0.8436008645963073,-0.8436008645963073,-0.8436008645963073,0.5518828967859641,0.8397617404550214,0.043320019815854746,0.6827977662328413,0.11280679987398204,0.6511408892569784,0.007399260073992597,0.06644730263815721
