Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,0.0,100.0,489,489,474,0,474,0,0,0,474,0,0,474,0,0,0,0,gRNA_CDK7_targ_29_44
Reference,33.33333333,66.66666667,489,489,6,2,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_CDK7_targ_29_45
HDR,69.15113872,30.84886128,489,489,483,334,149,0,0,0,149,0,0,149,0,0,0,0,gRNA_CDK7_targ_29_45
Reference,13.33333333,86.66666667,489,489,15,2,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_CDK7_targ_29_46
HDR,0.0,100.0,489,489,474,0,474,0,0,0,474,0,0,474,0,0,0,0,gRNA_CDK7_targ_29_46
Reference,33.33333333,66.66666667,489,489,6,2,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_CDK7_targ_29_47
HDR,25.67287785,74.32712215,489,489,483,124,359,0,0,0,359,0,0,359,0,0,0,0,gRNA_CDK7_targ_29_47
Reference,33.33333333,66.66666667,489,489,6,2,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_CDK7_targ_29_48
HDR,0.21097046,99.78902954,489,489,474,1,473,0,0,0,473,0,0,473,0,0,0,0,gRNA_CDK7_targ_29_48
Reference,0.0,100.0,8496,8496,2970,0,2970,0,0,2,2970,0,0,2968,0,0,2,0,gRNA_CDK7_targ_30_49
HDR,0.0,100.0,8496,8496,5310,0,5310,0,139,3,5310,0,0,5168,0,139,3,0,gRNA_CDK7_targ_30_49
Reference,,,8496,8496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_30_50
HDR,5.7666463,94.2333537,8496,8496,8185,472,7713,0,140,5,7713,0,0,7568,0,140,5,0,gRNA_CDK7_targ_30_50
Reference,0.0,100.0,8496,8496,185,0,185,0,0,0,185,0,0,185,0,0,0,0,gRNA_CDK7_targ_30_51
HDR,79.73217517,20.26782483,8496,8496,5526,4406,1120,0,140,127,1119,0,1,853,0,140,126,0,gRNA_CDK7_targ_30_51
Reference,0.0,100.0,481,481,2,0,2,0,0,1,1,0,1,1,0,0,0,0,gRNA_CDK7_targ_31_52
HDR,58.90985325,41.09014675,481,481,477,281,196,0,0,0,196,0,0,196,0,0,0,0,gRNA_CDK7_targ_31_52
Reference,17.26384365,82.73615635,602,602,307,53,254,0,0,0,254,0,0,254,0,0,0,0,gRNA_CDK7_targ_33_53
HDR,80.33898305,19.66101695,602,602,295,237,58,0,0,0,58,0,0,58,0,0,0,0,gRNA_CDK7_targ_33_53
Reference,8.87772194,91.12227806,602,602,597,53,544,0,0,0,544,0,0,544,0,0,0,0,gRNA_CDK7_targ_33_54
HDR,,,602,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_33_54
